# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	0.998842	0.909930
ENSG00000241860	lincRNA	-1.000000	-1.000000	1.177560	5.404752	4.418303
ENSG00000241599	lincRNA	-1.000000	-1.000000	16.008772	0.000000	6.765524
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.131419	0.120805
CICP7	pseudogene	-1.000000	-1.000000	15.347334	0.000000	13.547237
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.012231	3.886196
SAMD11	protein coding	0.000000	0.000000	0.000000	4.808885	3.941507
KLHL17	protein coding	0.000000	0.000000	0.000000	5.799922	2.901655
PERM1	protein coding	0.000000	0.000000	0.000000	35.219194	17.184564
AGRN	protein coding	0.000000	0.000000	0.000000	1.246251	0.969498
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.605477	4.064957
C1orf159	protein coding	0.000000	0.000000	0.000000	1.330065	1.178242
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.228782	10.186106
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.666667	12.605239
SCNN1D	protein coding	1.968662	0.000000	1.217694	4.544854	3.389977
INTS11	protein coding	0.000000	0.000000	0.000000	7.156153	5.281636
TMEM88B	protein coding	0.000000	3.524229	2.985075	0.000000	2.189781
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.247004	2.788231
MIB2	protein coding	0.000000	0.000000	0.000000	1.238138	0.904231
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
CFAP74	protein coding	0.263692	0.000000	0.232850	0.558300	0.536111
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.897656	0.862324
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.543004	2.268990	0.160924	0.317484
PLCH2	protein coding	0.000000	0.000000	0.000000	0.851041	0.784393
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674894
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.000000	4.540967
TTC34	protein coding	0.000000	3.569068	2.082530	0.068821	0.163927
PRDM16	protein coding	0.000000	0.000000	0.000000	0.114016	0.111246
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.908572	0.782668
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.445948
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	8.356861	2.246850
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.286791	0.275627
NPHP4	protein coding	0.000000	0.000000	0.000000	0.027302	0.026222
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.477936	0.431683
ACOT7	protein coding	0.000000	0.000000	0.000000	0.053675	0.052510
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.014593	0.014427
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.186088	0.176734
