# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	16.040375	10.832959	11.253523
CEP170	protein coding	3.851471	20.542636	10.502554	32.289821	30.889093
SDCCAG8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
FCF1P7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AKT3	protein coding	84.601227	92.326960	91.401485	54.073571	55.473396
ENSG00000236031	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2G6	protein coding	0.000000	0.000000	0.000000	0.290787	0.197259
DUX4L29	pseudogene	-1.000000	-1.000000	0.147493	-1.000000	0.147493
NOS1	protein coding	0.000000	0.000000	0.000000	0.000000	0.059010
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
CYB5AP3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MOAP1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000259066	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
GON7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000240096	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
BTBD7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000241499	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UNC79	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1258P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRIMA1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000279593	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM181A-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM181A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ASB2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000258987	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
CCDC197	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
