region_id	chrom	length
1 #chrom 0
2 chr1 1631
3 chr1 29
4 chr1 821
5 chr1 752
6 chr1 1272
7 chr1 1072
8 chr1 1985
9 chr1 1335
10 chr1 740
11 chr1 1794
12 chr1 4759
13 chr1 327
14 chr1 157
15 chr1 284
16 chr1 1216
17 chr1 4268
18 chr1 374
19 chr1 324
20 chr1 341
21 chr1 360
22 chr1 359
23 chr1 172
24 chr1 327
25 chr1 128
26 chr1 527
27 chr1 1516
28 chr1 510
29 chr1 499
30 chr1 41
31 chr1 3862
32 chr1 4552
33 chr1 258
34 chr1 1655
35 chr1 405
36 chr1 3463
37 chr1 229
38 chr1 419
39 chr1 946
40 chr1 1228
41 chr1 2152
42 chr1 2175
43 chr1 1679
44 chr1 498
45 chr1 662
46 chr1 736
47 chr1 73
48 chr1 645
49 chr1 333
50 chr1 267
51 chr1 749
52 chr1 1581
53 chr1 1794
54 chr1 232
55 chr1 1632
56 chr1 165
57 chr1 1471
58 chr1 722
59 chr1 930
60 chr1 188
61 chr1 1374
62 chr1 99
63 chr1 259
64 chr1 333
65 chr1 414
66 chr1 310
67 chr1 402
68 chr1 252
69 chr1 604
70 chr1 886
71 chr1 723
72 chr1 9074
73 chr1 2924
74 chr1 843
75 chr1 7079
76 chr1 227
77 chr1 3666
78 chr1 17612
79 chr1 2838
80 chr1 1287
81 chr1 5828
82 chr1 1615
83 chr1 3256
84 chr1 4863
85 chr1 2862
86 chr1 15943
87 chr1 252
88 chr1 19448
89 chr1 2225
90 chr1 438
91 chr1 364
92 chr1 111
93 chr1 1693
94 chr1 888
95 chr1 933
96 chr1 1043
97 chr1 9264
98 chr1 5320
99 chr1 602
100 chr1 178
101 chr1 839
102 chr1 1667
103 chr1 106
104 chr1 1715
105 chr1 6344
106 chr1 412
107 chr1 152
108 chr1 271
109 chr1 131
110 chr1 116
111 chr1 1195
112 chr1 1109
113 chr1 1056
114 chr1 275
115 chr1 860
116 chr1 3480
117 chr1 1982
118 chr1 1036
119 chr1 842
120 chr1 350
121 chr1 253
122 chr1 440
123 chr1 340
124 chr1 42
125 chr1 536
126 chr1 337
127 chr1 107
128 chr1 537
129 chr1 1023
130 chr1 1033
131 chr1 816
132 chr1 539
133 chr1 313
134 chr1 132
135 chr1 165
136 chr1 85
137 chr1 787
138 chr1 396
139 chr1 752
140 chr1 662
141 chr1 519
142 chr1 681
143 chr1 1047
144 chr1 547
145 chr1 132
146 chr1 314
147 chr1 2683
148 chr1 420
149 chr1 838
150 chr1 842
151 chr1 3225
152 chr1 1655
153 chr1 1754
154 chr1 125
155 chr1 651
156 chr1 753
157 chr1 1259
158 chr1 3251
159 chr1 126
160 chr1 417
161 chr1 827
162 chr1 359
163 chr1 746
164 chr1 246
165 chr1 144
166 chr1 210
167 chr1 2451
168 chr1 670
169 chr1 1473
170 chr1 973
171 chr1 365
172 chr1 217
173 chr1 125
174 chr1 185
175 chr1 225
176 chr1 351
177 chr1 227
178 chr1 301
179 chr1 63
180 chr1 182
181 chr1 204
182 chr1 273
183 chr1 48
184 chr1 67
185 chr1 797
186 chr1 415
187 chr1 156
188 chr1 690
189 chr1 632
190 chr1 276
191 chr1 843
192 chr1 433
193 chr1 3019
194 chr1 649
195 chr1 4285
196 chr1 163
197 chr1 504
198 chr1 204
199 chr1 886
200 chr1 191
201 chr1 1982
202 chr1 659
203 chr1 107
204 chr1 133
205 chr1 476
206 chr1 289
207 chr1 1345
208 chr1 245
209 chr1 27
210 chr1 739
211 chr1 115
212 chr1 505
213 chr1 305
214 chr1 181
215 chr1 257
216 chr1 403
217 chr1 354
218 chr1 134
219 chr1 258
220 chr1 476
221 chr1 68
222 chr1 66
223 chr1 166
224 chr1 780
225 chr1 487
226 chr1 673
227 chr1 391
228 chr1 1332
229 chr1 185
230 chr1 1075
231 chr1 502
232 chr1 1885
233 chr1 792
234 chr1 1263
235 chr1 1238
236 chr1 303
237 chr1 633
238 chr1 62
239 chr1 174
240 chr1 303
241 chr1 1473
242 chr1 29
243 chr1 591
244 chr1 566
245 chr1 47
246 chr1 958
247 chr1 1043
248 chr1 4801
249 chr1 4303
250 chr1 11554
251 chr1 3947
252 chr1 3712
253 chr1 1995
254 chr1 1956
255 chr1 1909
256 chr1 1979
257 chr1 3885
258 chr1 4573
259 chr1 12023
260 chr1 4121
261 chr1 5015
262 chr1 978
263 chr1 1091
264 chr1 244
265 chr1 553
266 chr1 553
267 chr1 175
268 chr1 1499
269 chr1 523
270 chr1 259
271 chr1 875
272 chr1 125
273 chr1 459
274 chr1 793
275 chr1 1184
276 chr1 1326
277 chr1 1413
278 chr1 558
279 chr1 923
280 chr1 241
281 chr1 1590
282 chr1 741
283 chr1 442
284 chr1 873
285 chr1 619
286 chr1 360
287 chr1 219
288 chr1 648
289 chr1 351
290 chr1 172
291 chr1 193
292 chr1 681
293 chr1 334
294 chr1 1770
295 chr1 1135
296 chr1 384
297 chr1 420
298 chr1 467
299 chr1 280
300 chr1 229
301 chr1 193
302 chr1 313
303 chr1 1042
304 chr1 1112
305 chr1 7231
306 chr1 1546
307 chr1 832
308 chr1 210
309 chr1 408
310 chr1 307
311 chr1 1259
312 chr1 7160
313 chr1 744
314 chr1 30
315 chr1 197
316 chr1 570
317 chr1 377
318 chr1 160
319 chr1 975
320 chr1 201
321 chr1 331
322 chr1 27
323 chr1 484
324 chr1 29
325 chr1 586
326 chr1 769
327 chr1 374
328 chr1 3440
329 chr1 159
330 chr1 3487
331 chr1 432
332 chr1 209
333 chr1 543
334 chr1 609
335 chr1 1137
336 chr1 266
337 chr1 856
338 chr1 686
339 chr1 120
340 chr1 28
341 chr1 327
342 chr1 1990
343 chr1 435
344 chr1 34
345 chr1 76
346 chr1 363
347 chr1 1294
348 chr1 755
349 chr1 37
350 chr1 54
351 chr1 31
352 chr1 96
353 chr1 212
354 chr1 426
355 chr1 70
356 chr1 237
357 chr1 180
358 chr1 168
359 chr1 24
360 chr1 165
361 chr1 1469
362 chr1 542
363 chr1 650
364 chr1 50
365 chr1 403
366 chr1 64
367 chr1 894
368 chr1 1352
369 chr1 208
370 chr1 1011
371 chr1 295
372 chr1 200
373 chr1 434
374 chr1 399
375 chr1 1416
376 chr1 2189
377 chr1 62
378 chr1 163
379 chr1 127
380 chr1 215
381 chr1 156
382 chr1 2482
383 chr1 1030
384 chr1 1253
385 chr1 647
386 chr1 667
