# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	94.309560	100.000000	94.322483
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	73.501873	54.686633
AC114498.1	lincRNA	-1.000000	-1.000000	0.946372	23.808757	21.691499
AL731661.1	lincRNA	-1.000000	-1.000000	62.981366	51.923077	57.361026
WBP1LP6	pseudogene	-1.000000	-1.000000	1.418440	-1.000000	1.418440
OR4F21	protein coding	18.328298	-1.000000	18.328298	-1.000000	18.328298
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.652174	19.857372	16.576549
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	13.285280	11.666161
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	18.537023	14.801555
AL645608.6	lincRNA	-1.000000	-1.000000	0.000000	3.053508	2.954524
PERM1	protein coding	0.000000	-1.000000	0.000000	55.188166	31.633416
AGRN	protein coding	0.000000	-1.000000	0.000000	1.221696	0.854297
AL390719.1	pseudogene	-1.000000	-1.000000	0.000000	4.834606	3.733582
C1orf159	protein coding	0.000000	-1.000000	0.000000	1.371019	1.128962
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	18.047610	13.895993
C1QTNF12	protein coding	0.000000	-1.000000	0.000000	33.161866	20.535145
SCNN1D	protein coding	1.217694	-1.000000	1.217694	18.021412	13.229875
INTS11	protein coding	0.000000	-1.000000	0.000000	14.181227	5.313642
TMEM88B	protein coding	0.000000	-1.000000	0.000000	67.275056	58.135030
ATAD3A	protein coding	0.000000	-1.000000	0.000000	0.218978	0.186476
TMEM240	protein coding	0.000000	-1.000000	0.000000	3.595623	2.360588
MIB2	protein coding	0.000000	-1.000000	0.000000	1.157742	0.473840
MMP23B	protein coding	52.495463	-1.000000	52.495463	7.502800	39.522118
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.068596	4.960836
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.237894	0.175710
MMP23A	pseudogene	-1.000000	-1.000000	70.065253	75.732899	71.956522
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	4.248026	3.974668
CFAP74	protein coding	0.124271	-1.000000	0.124271	2.085638	1.837733
PRKCZ	protein coding	0.000000	-1.000000	0.000000	0.113613	0.107111
FAAP20	protein coding	0.000000	-1.000000	0.000000	1.826659	1.160562
SKI	protein coding	1.516070	-1.000000	1.516070	0.393062	0.482945
MORN1	protein coding	0.000000	-1.000000	0.000000	1.841326	1.558456
RER1	protein coding	0.000000	-1.000000	0.000000	5.144578	3.052617
PLCH2	protein coding	1.093099	-1.000000	1.093099	1.852036	1.750944
MMEL1	protein coding	0.000000	-1.000000	0.000000	0.742626	0.674878
TTC34	protein coding	1.690684	-1.000000	1.690684	10.800913	10.442910
AC242022.2	lincRNA	-1.000000	-1.000000	0.000000	0.000000	13.417424
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.470411	0.462041
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	11.424783	9.305323
MEGF6	protein coding	0.000000	-1.000000	0.000000	1.060819	0.985276
WRAP73	protein coding	0.000000	-1.000000	0.000000	1.834992	1.192989
TP73	protein coding	0.000000	-1.000000	0.000000	0.302626	0.278646
C1orf174	protein coding	8.069296	-1.000000	8.069296	0.000000	3.169771
AL805961.1	lincRNA	-1.000000	-1.000000	0.000000	17.848037	5.165289
AJAP1	protein coding	0.000000	-1.000000	0.000000	0.097929	0.089049
NPHP4	protein coding	0.000000	-1.000000	0.000000	1.300681	1.170214
KCNAB2	protein coding	0.000000	-1.000000	0.000000	0.666027	0.561175
ACOT7	protein coding	0.000000	-1.000000	0.000000	0.016667	0.016139
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.281211	0.278392
SLC45A1	protein coding	0.000000	-1.000000	0.000000	0.288481	0.257808
SLC2A5	protein coding	0.000000	-1.000000	0.000000	0.082741	0.072535
CLSTN1	protein coding	0.000000	-1.000000	0.000000	0.330172	0.311998
CASZ1	protein coding	0.000000	-1.000000	0.000000	0.096081	0.089282
DISP3	protein coding	0.000000	-1.000000	0.000000	0.096923	0.086983
PLOD1	protein coding	0.000000	-1.000000	0.000000	1.105126	0.962911
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	1.740260	1.246744
PRAMEF7	protein coding	35.984606	-1.000000	35.984606	29.475309	33.029772
RNU6-1072P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF29P	pseudogene	-1.000000	-1.000000	40.246046	0.000000	21.903396
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.629103	0.505772
PRAMEF26	protein coding	13.104189	-1.000000	13.104189	0.000000	3.457070
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF31P	pseudogene	-1.000000	-1.000000	8.540146	0.000000	4.195052
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	27.522037	40.852490
PRAMEF8	protein coding	15.368421	3.326810	12.190083	24.012710	18.482725
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	5.660867	4.061103
LRRC38	protein coding	0.000000	-1.000000	0.000000	0.146468	0.138337
KAZN	protein coding	0.000000	-1.000000	0.000000	0.018462	0.018254
FHAD1	protein coding	0.000000	-1.000000	0.000000	0.053342	0.048890
CASP9	protein coding	0.759301	-1.000000	0.759301	0.538906	0.571429
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.694417	0.543974
AL355149.1	pseudogene	-1.000000	-1.000000	54.143019	39.685198	42.979054
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	37.685765	-1.000000	37.685765	42.402693	41.955000
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AL137798.3	pseudogene	-1.000000	-1.000000	42.424242	0.000000	20.467836
MST1P2	pseudogene	-1.000000	-1.000000	46.681223	36.811106	41.654168
CROCCP4	pseudogene	-1.000000	-1.000000	0.000000	5.850422	5.434681
LINC01783	lincRNA	-1.000000	-1.000000	4.263566	0.000000	3.854577
MST1L	pseudogene	-1.000000	-1.000000	5.395349	38.997186	27.213414
AL137802.2	lincRNA	-1.000000	-1.000000	9.630963	-1.000000	9.630963
CROCC	protein coding	1.385165	-1.000000	1.385165	13.706993	13.362484
MST1L	pseudogene	-1.000000	-1.000000	4.663897	29.693888	21.044046
AL137798.2	lincRNA	-1.000000	-1.000000	0.000000	17.860399	16.496678
MST1P2	pseudogene	-1.000000	-1.000000	25.212121	25.136861	25.176773
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PADI4	protein coding	0.000000	-1.000000	0.000000	0.293950	0.278276
ARHGEF10L	protein coding	0.000000	-1.000000	0.000000	0.961583	0.913623
VWA5B1	protein coding	0.000000	-1.000000	0.000000	0.560715	0.504837
EIF4G3	protein coding	0.000000	-1.000000	0.000000	0.037938	0.036952
ECE1	protein coding	0.000000	-1.000000	0.000000	0.152057	0.143398
NBPF2P	pseudogene	-1.000000	-1.000000	6.818182	1.164725	2.182810
ALPL	protein coding	0.000000	-1.000000	0.000000	0.134822	0.128997
RAP1GAP	protein coding	0.000000	-1.000000	0.000000	0.065243	0.060115
LDLRAD2	protein coding	0.000000	-1.000000	0.000000	0.396016	0.285368
EPHB2	protein coding	0.000000	-1.000000	0.000000	0.018615	0.017512
LUZP1	protein coding	0.000000	-1.000000	0.000000	0.047553	0.042655
GRHL3	protein coding	0.000000	-1.000000	0.000000	0.822182	0.751449
AL445648.1	lincRNA	-1.000000	-1.000000	0.000000	0.178739	0.165185
CLIC4	protein coding	0.000000	-1.000000	0.000000	0.156561	0.149347
LINC02793	lincRNA	-1.000000	-1.000000	0.000000	1.134752	0.879811
AL050344.1	lincRNA	-1.000000	-1.000000	0.000000	0.081126	0.080126
RSRP1	protein coding	1.679049	-1.000000	1.679049	6.490713	6.153381
RHD	protein coding	6.700875	-1.000000	6.700875	10.070668	9.878435
RHCE	protein coding	8.922697	-1.000000	8.922697	9.808408	9.776725
FAM110D	protein coding	4.394427	-1.000000	4.394427	0.000000	2.518428
CNKSR1	protein coding	0.000000	-1.000000	0.000000	2.047033	1.355495
RPS6KA1	protein coding	0.000000	-1.000000	0.000000	0.154870	0.135631
WDTC1	protein coding	0.000000	-1.000000	0.000000	0.051389	0.047539
EPB41	protein coding	0.000000	-1.000000	0.000000	0.103411	0.094564
MATN1	protein coding	0.000000	-1.000000	0.000000	1.894873	1.186220
MATN1-AS1	lincRNA	-1.000000	-1.000000	3.529704	0.000000	1.706116
AL137857.1	lincRNA	-1.000000	-1.000000	0.000000	14.678326	10.986442
SDC3	protein coding	0.000000	-1.000000	0.000000	0.261032	0.214040
PUM1	protein coding	0.000000	-1.000000	0.000000	0.109595	0.104197
SERINC2	protein coding	0.000000	-1.000000	0.000000	1.103952	0.976211
SPOCD1	protein coding	0.000000	-1.000000	0.000000	2.124053	1.544684
AL445248.1	lincRNA	-1.000000	-1.000000	0.000000	0.262378	0.254669
LCK	protein coding	0.000000	-1.000000	0.000000	0.727848	0.658309
YARS1	protein coding	0.000000	-1.000000	0.000000	0.166576	0.128163
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.640193	3.380360
AL513327.1	lincRNA	-1.000000	-1.000000	0.000000	1.278158	1.155655
PHC2	protein coding	0.000000	-1.000000	0.000000	0.264522	0.252274
CSMD2	protein coding	0.000000	-1.000000	0.000000	0.026980	0.026229
THRAP3	protein coding	0.000000	-1.000000	0.000000	0.116850	0.110035
AL353604.1	lincRNA	-1.000000	-1.000000	0.000000	0.049056	0.048148
LINC01137	lincRNA	-1.000000	-1.000000	0.000000	0.237730	0.231951
BMP8A	protein coding	0.000000	-1.000000	0.000000	0.623109	0.532369
NT5C1A	protein coding	0.000000	-1.000000	0.000000	7.722431	7.106819
BMP8B	protein coding	0.000000	-1.000000	0.000000	2.977520	2.524217
HIVEP3	protein coding	0.000000	-1.000000	0.000000	0.015137	0.014719
MSTRG.161	protein coding	0.000000	-1.000000	0.000000	0.127077	0.121313
AL451062.3	protein coding	0.000000	-1.000000	0.000000	0.173037	0.170556
RAD54L	protein coding	0.000000	-1.000000	0.000000	0.465199	0.405971
FAAH	protein coding	0.000000	-1.000000	0.000000	1.576536	1.356748
CYP4Z2P	pseudogene	-1.000000	-1.000000	0.000000	1.837120	1.783442
CYP4Z1	protein coding	0.000000	-1.000000	0.000000	0.444281	0.424707
CYP4A22-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.059932	0.059265
PDZK1IP1	protein coding	0.000000	-1.000000	0.000000	5.472924	4.536749
TRABD2B	protein coding	0.000000	-1.000000	0.000000	0.100742	0.097542
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.150645	0.147139
FAF1	protein coding	0.000000	-1.000000	0.000000	0.056981	0.056160
RAB3B	protein coding	0.000000	-1.000000	0.000000	0.772075	0.653351
LRP8	protein coding	0.000000	-1.000000	0.000000	1.155010	0.892323
GLIS1	protein coding	0.000000	-1.000000	0.000000	0.335917	0.331423
ACOT11	protein coding	0.000000	-1.000000	0.000000	0.027360	0.024512
AL603840.1	lincRNA	-1.000000	-1.000000	0.000000	0.011456	0.011325
DAB1	protein coding	0.000000	-1.000000	0.000000	0.020662	0.020567
CACHD1	protein coding	0.000000	-1.000000	0.000000	0.078168	0.075710
JAK1	protein coding	0.000000	-1.000000	0.000000	0.013519	0.012791
MSTRG.215	protein coding	0.000000	-1.000000	0.000000	0.670353	0.635655
AL033530.1	lincRNA	-1.000000	-1.000000	0.000000	0.205691	0.203507
LRRC7	protein coding	0.000000	-1.000000	0.000000	0.088694	0.084147
NEGR1	protein coding	0.000000	-1.000000	0.000000	0.126117	0.124240
TYW3	protein coding	0.000000	-1.000000	0.000000	0.438612	0.378721
SLC44A5	protein coding	0.000000	-1.000000	0.000000	0.052829	0.052005
MSH4	protein coding	0.000000	-1.000000	0.000000	0.157334	0.152964
ST6GALNAC5	protein coding	0.000000	-1.000000	0.000000	0.066806	0.064789
AL157944.1	lincRNA	-1.000000	-1.000000	0.000000	0.069852	0.069063
AC104454.2	lincRNA	-1.000000	-1.000000	0.000000	16.757462	16.479288
COL24A1	protein coding	0.000000	-1.000000	0.000000	0.373368	0.365010
CLCA4-AS1	lincRNA	-1.000000	-1.000000	0.000000	2.140803	2.093973
PKN2-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.010306	0.010145
MSTRG.265	protein coding	0.000000	-1.000000	0.000000	0.110930	0.102685
TGFBR3	protein coding	0.000000	-1.000000	0.000000	0.137292	0.131707
BCAR3	protein coding	0.000000	-1.000000	0.000000	0.043448	0.042393
SLC44A3-AS1	pseudogene	-1.000000	-1.000000	0.000000	0.032850	0.031457
PTBP2	protein coding	0.000000	-1.000000	0.000000	0.075538	0.070269
AGL	protein coding	0.000000	-1.000000	0.000000	0.128327	0.113991
AMY2A	protein coding	37.269373	-1.000000	37.269373	53.839554	50.303712
AMY1A	protein coding	82.953181	-1.000000	82.953181	75.136814	77.246220
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	85.823268	100.000000	90.441492	84.867282	86.270912
AMYP1	pseudogene	-1.000000	-1.000000	62.915851	30.628170	35.995446
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1B	protein coding	98.243949	-1.000000	98.243949	93.189033	94.367600
AMYP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AMY1A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AC105272.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AMY1A	protein coding	78.211009	100.000000	80.971457	84.546390	80.924107
AMYP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AMY1C	protein coding	100.000000	-1.000000	100.000000	100.000000	100.000000
NBPF6	protein coding	30.986460	-1.000000	30.986460	14.450000	16.526597
AL390038.1	lincRNA	-1.000000	-1.000000	83.185484	82.661210	82.765242
SLC25A24P2	pseudogene	-1.000000	-1.000000	68.762279	43.337921	43.682445
NBPF5P	pseudogene	-1.000000	-1.000000	42.866044	43.851293	43.806094
SLC25A24P1	pseudogene	-1.000000	-1.000000	26.103137	26.816538	26.795865
AL359258.1	lincRNA	-1.000000	-1.000000	66.451613	78.192711	75.862345
NBPF4	protein coding	33.114120	-1.000000	33.114120	22.789697	24.078007
GSTM5	protein coding	0.000000	-1.000000	0.000000	0.090154	0.081575
TMIGD3	protein coding	0.000000	-1.000000	0.000000	0.172249	0.167075
