# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.798155	47.766749	32.086614
WASH7P	pseudogene	-1.000000	-1.000000	11.111111	51.874638	48.246077
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.196078	42.429907	47.524116
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.127139	14.176538	4.282897	8.481998
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.426897	8.057981
CICP27	pseudogene	-1.000000	-1.000000	12.227762	-1.000000	12.227762
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	93.794655	76.105518	80.233420
ENSG00000241599	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
WASH9P	pseudogene	-1.000000	-1.000000	17.191977	21.857240	21.218364
ENSG00000228463	pseudogene	-1.000000	-1.000000	27.824395	14.199628	15.299999
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.108844	0.000000	4.944444
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.658581	85.295344
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.412759	4.510436
MTND2P28	pseudogene	-1.000000	-1.000000	19.846596	-1.000000	19.846596
