# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.740484	47.766749	32.047244
WASH7P	pseudogene	-1.000000	-1.000000	14.148148	52.460915	49.050508
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.294118	42.429907	47.588424
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.616137	14.482232	4.282897	8.611742
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.670123	8.280814
CICP27	pseudogene	-1.000000	-1.000000	13.093676	-1.000000	13.093676
ENSG00000268903	pseudogene	-1.000000	-1.000000	5.437666	-1.000000	5.437666
ENSG00000239906	lincRNA	-1.000000	-1.000000	32.608696	0.000000	19.125683
ENSG00000241860	lincRNA	-1.000000	-1.000000	94.046044	76.375352	80.498950
ENSG00000241599	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	23.721300	22.856582
ENSG00000228463	pseudogene	-1.000000	-1.000000	28.043293	14.204970	15.322589
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.244898	0.000000	5.000000
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.560236	85.211953
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.089931	4.216277
MTND2P28	pseudogene	-1.000000	-1.000000	15.819751	-1.000000	15.819751
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	4.197229	71.708683	12.771256
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.040030	3.913122
SAMD11	protein coding	0.000000	0.000000	0.000000	4.838424	3.965718
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.862707
PERM1	protein coding	0.000000	0.000000	0.000000	35.545024	17.343547
AGRN	protein coding	0.000000	0.000000	0.000000	1.206970	0.938941
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.605477	4.064957
C1orf159	protein coding	0.000000	0.000000	0.000000	1.330065	1.178242
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	16.808118	12.942179
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.697588	12.628625
SCNN1D	protein coding	1.968662	0.000000	1.217694	6.328445	4.554473
INTS11	protein coding	0.000000	0.000000	0.000000	7.156153	5.281636
TMEM88B	protein coding	0.000000	3.487518	2.953980	0.000000	2.166971
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.247004	2.788231
MIB2	protein coding	0.000000	0.000000	0.000000	1.265251	0.924031
MMP23B	protein coding	38.110964	0.000000	36.107635	24.636058	25.709677
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
MMP23A	pseudogene	-1.000000	-1.000000	36.712598	38.470874	37.500000
CDK11A	protein coding	1.075269	0.000000	0.716846	3.302272	2.875603
CFAP74	protein coding	0.263692	0.000000	0.232850	0.555679	0.533669
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.909995	0.874178
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.517330	2.252549	0.158286	0.313820
PLCH2	protein coding	0.000000	0.000000	0.000000	0.852404	0.785650
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674894
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.108696	4.639684
TTC34	protein coding	0.000000	3.569068	2.082530	11.901636	11.437887
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	6.645836
PRDM16	protein coding	0.000000	0.000000	0.000000	0.107081	0.104479
ARHGEF16	protein coding	0.000000	0.000000	0.000000	2.071720	1.784634
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.445948
WRAP73	protein coding	0.000000	0.000000	0.000000	2.024820	1.832318
C1orf174	protein coding	0.000000	0.000000	0.000000	3.933333	3.169771
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	8.356861	2.246850
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.294985	0.283502
NPHP4	protein coding	0.000000	0.000000	0.000000	0.027302	0.026222
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.463879	0.418987
ACOT7	protein coding	0.000000	0.000000	0.000000	0.052096	0.050966
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.063512	0.062789
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.184980	0.175682
CASZ1	protein coding	0.000000	0.000000	0.000000	0.044950	0.042488
PLOD1	protein coding	0.000000	0.000000	0.000000	1.074468	0.977427
PRAMEF10	protein coding	0.000000	0.000000	0.000000	1.714286	1.228135
PRAMEF7	protein coding	32.912281	21.946170	30.136268	24.003583	26.829268
PRAMEF29P	pseudogene	-1.000000	-1.000000	49.121265	41.657922	45.719751
PRAMEF6	protein coding	29.839273	6.250000	25.182277	51.945392	46.706192
PRAMEF27	protein coding	0.000000	0.000000	0.000000	18.591112	13.494858
HNRNPCL3	protein coding	12.585034	66.272189	41.297468	0.000000	37.126600
PRAMEF25	protein coding	69.659012	62.254025	67.585170	47.316600	51.710655
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF26	protein coding	65.428571	50.879765	61.348684	47.647146	51.264792
HNRNPCL4	protein coding	31.746032	80.359281	55.387303	-1.000000	55.387303
PRAMEF9	protein coding	0.000000	0.000000	0.000000	21.196814	14.334516
PRAMEF31P	pseudogene	-1.000000	-1.000000	37.080292	18.886540	27.823593
PRAMEF5	protein coding	23.969252	12.765957	21.413161	51.848842	45.739959
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	53.476983	53.544061
PRAMEF8	protein coding	23.649123	22.162162	23.478261	28.924876	26.637099
PRAMEF33	protein coding	0.000000	0.000000	0.000000	5.686835	4.079732
KAZN	protein coding	0.000000	0.000000	0.000000	0.011197	0.011100
CASP9	protein coding	0.000000	1.386667	1.017812	0.715850	0.759061
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.659080	0.540524
NBPF1	protein coding	11.929825	62.007168	33.131007	5.035701	8.280155
CROCCP2	pseudogene	-1.000000	-1.000000	0.000000	0.583205	0.495138
ENSG00000282143	lincRNA	-1.000000	-1.000000	88.357843	48.489165	51.545326
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	6.293882	5.353769
ENSG00000279151	lincRNA	-1.000000	-1.000000	0.000000	8.427121	7.583992
ENSG00000282740	lincRNA	-1.000000	-1.000000	88.264059	39.499644	43.244766
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	2.581105
MST1L	pseudogene	-1.000000	-1.000000	0.000000	1.531540	1.043909
ENSG00000223643	lincRNA	-1.000000	-1.000000	46.770335	43.146718	44.764957
MFAP2	protein coding	0.000000	7.113821	3.352490	0.000000	0.570962
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.097822	0.094831
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.565745	0.488032
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.050357	0.049058
ECE1	protein coding	0.000000	0.000000	0.000000	0.153220	0.145724
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.932140	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.126697	0.121716
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.402459	0.277778
ENSG00000289694	protein coding	0.000000	0.000000	0.000000	0.045380	0.042772
LUZP1	protein coding	0.000000	0.000000	0.000000	0.038037	0.034123
GRHL3	protein coding	0.000000	0.000000	0.000000	0.022388	0.021828
ENSG00000284699	lincRNA	-1.000000	-1.000000	0.000000	0.177710	0.165328
CLIC4	protein coding	0.000000	0.000000	0.000000	2.153833	2.059855
RSRP1	protein coding	0.000000	0.000000	0.000000	4.304138	4.173440
RHD	protein coding	1.955990	0.000000	1.047806	6.940476	6.625095
RHCE	protein coding	0.000000	0.000000	0.000000	5.292636	5.132243
FAM110D	protein coding	0.000000	6.357215	4.503217	0.000000	2.580381
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.769078	1.362903
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.125126	0.114869
WDTC1	protein coding	0.000000	0.000000	0.000000	0.046177	0.043241
EPB41	protein coding	0.000000	0.000000	0.000000	0.023967	0.022751
MATN1	protein coding	0.000000	0.000000	0.000000	2.889492	1.990575
MATN1-AS1	lincRNA	-1.000000	-1.000000	4.076560	0.000000	1.970443
SDC3	protein coding	0.000000	0.000000	0.000000	0.288432	0.239234
PUM1	protein coding	0.000000	0.000000	0.000000	0.143899	0.137562
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.207449	0.171875
LCK	protein coding	0.000000	0.000000	0.000000	0.723696	0.670084
YARS1	protein coding	0.000000	0.000000	0.000000	0.171384	0.158901
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.809166	3.537538
ENSG00000225313	lincRNA	-1.000000	-1.000000	0.000000	1.338331	1.210111
PHC2	protein coding	0.000000	0.000000	0.000000	0.265996	0.254020
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109978
ENSG00000223944	lincRNA	-1.000000	-1.000000	0.000000	0.048449	0.047552
ZC3H12A-DT	lincRNA	-1.000000	-1.000000	0.000000	0.223264	0.217008
BMP8A	protein coding	0.000000	0.000000	0.000000	0.641144	0.546648
BMP8B	protein coding	0.000000	0.000000	0.000000	2.021744	1.713853
RLF	protein coding	0.000000	0.000000	0.000000	0.039562	0.036462
HIVEP3	protein coding	0.000000	0.000000	0.000000	0.008505	0.006420
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.141692	0.135561
RAD54L	protein coding	0.000000	0.000000	0.000000	0.000000	0.452856
FAAH	protein coding	0.000000	0.000000	0.000000	1.624064	1.454099
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	3.641582	3.618639
CYP4Z1	protein coding	2.964427	0.000000	2.082369	3.059723	3.018380
TRABD2B	protein coding	0.000000	0.000000	0.000000	0.106395	0.103016
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.142303	0.138992
RAB3B	protein coding	0.000000	0.000000	0.000000	0.343029	0.290051
ZYG11B	protein coding	0.000000	0.000000	0.000000	0.030212	0.027755
LRP8	protein coding	0.000000	0.000000	0.000000	0.427300	0.379769
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.053770	0.053155
LINC01753	lincRNA	-1.000000	-1.000000	0.000000	1.081232	1.055247
FYB2	protein coding	0.000000	0.000000	0.000000	0.034896	0.033694
DAB1	protein coding	0.000000	0.000000	0.000000	0.016289	0.074164
PATJ	protein coding	0.000000	0.000000	0.000000	0.023458	0.022925
DOCK7	protein coding	0.000000	0.000000	0.000000	0.144523	0.137982
CACHD1	protein coding	0.000000	0.000000	0.000000	0.087798	0.085229
JAK1	protein coding	0.000000	0.000000	0.000000	0.045648	0.044344
LEPR	protein coding	0.000000	0.000000	0.000000	0.172906	0.164323
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.288784	0.285714
ENSG00000287453	lincRNA	-1.000000	-1.000000	0.000000	0.477074	0.455043
LRRC7	protein coding	0.000000	0.000000	0.000000	0.005668	0.005308
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.075424	0.072678
NEGR1	protein coding	0.000000	0.000000	0.000000	0.083887	0.082676
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035373	0.034377
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.164331	0.161864
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.098639	0.097516
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	16.694805	16.417629
BCL10-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.091634	0.089090
COL24A1	protein coding	0.000000	0.000000	0.000000	0.253784	0.249702
CLCA4-AS1	lincRNA	-1.000000	-1.000000	19.421829	1.542702	2.661302
ZNF644	protein coding	0.000000	0.000000	0.000000	0.033667	0.031783
BCAR3	protein coding	0.000000	0.000000	0.000000	0.076437	0.075330
SLC44A3-AS1	pseudogene	-1.000000	-1.000000	0.000000	0.038426	0.036836
TLCD4-RWDD3	protein coding	0.000000	0.000000	0.000000	0.193181	0.190252
RWDD3-DT	lincRNA	-1.000000	-1.000000	0.000000	0.363336	0.340136
PTBP2	protein coding	0.000000	0.000000	0.000000	0.092485	0.081314
AGL	protein coding	0.000000	0.000000	0.000000	0.083176	0.074665
AMY2A	protein coding	26.888021	72.340426	28.237524	23.426883	24.338561
AMY1A	protein coding	83.268229	100.000000	85.925520	64.853617	69.229020
AMY1B	protein coding	85.481771	100.000000	88.833250	89.264414	89.169156
AMYP1	pseudogene	-1.000000	-1.000000	28.375734	24.287944	24.967469
AMY1C	protein coding	78.385417	12.662942	61.360347	64.421889	63.948370
NBPF4	protein coding	53.942116	0.000000	31.224726	51.005233	47.837350
ENSG00000238122	lincRNA	-1.000000	-1.000000	96.653226	40.707081	51.813015
SLC25A24P1	pseudogene	-1.000000	-1.000000	26.049973	43.625950	43.116623
NBPF5P	pseudogene	-1.000000	-1.000000	52.024922	87.806778	86.164799
SLC25A24P2	pseudogene	-1.000000	-1.000000	68.958743	82.904184	82.715195
ENSG00000224698	lincRNA	-1.000000	-1.000000	100.000000	53.999001	63.129252
NBPF6	protein coding	51.447106	0.000000	29.431916	48.475324	45.392365
GSTM2	protein coding	0.000000	7.770961	6.333333	1.510971	1.998603
LINC02884	lincRNA	-1.000000	-1.000000	0.000000	0.698806	0.672510
MAGI3	protein coding	0.000000	0.000000	0.000000	0.821546	0.801603
MAN1A2	protein coding	0.000000	0.000000	0.000000	0.051398	0.048320
NOTCH2	protein coding	0.000000	0.000000	0.000000	4.068079	3.797047
RNU6-465P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B	protein coding	0.000000	0.000000	0.000000	2.767728	1.791429
ENSG00000274642	pseudogene	-1.000000	-1.000000	27.582160	36.396343	36.335087
ENSG00000223804	pseudogene	-1.000000	-1.000000	37.070524	51.185467	50.976025
NBPF8	protein coding	13.821138	7.953005	10.241213	20.252817	18.923519
PDE4DIPP2	pseudogene	-1.000000	-1.000000	1.959123	24.055628	23.068737
7SK	other	-1.000000	-1.000000	8.835341	-1.000000	8.835341
NBPF26	protein coding	11.699827	19.100603	14.053974	12.085653	12.198610
LINC00623	lincRNA	-1.000000	-1.000000	0.000000	3.924798	3.818660
PDE4DIPP4	pseudogene	-1.000000	-1.000000	0.000000	0.899297	0.881534
ENSG00000227193	lincRNA	-1.000000	-1.000000	0.000000	0.716134	0.703833
FAM72B	protein coding	0.000000	0.000000	0.000000	1.040848	0.888616
SRGAP2C	protein coding	7.391304	12.782350	11.733183	3.939564	4.202093
SRGAP2-AS1	lincRNA	-1.000000	-1.000000	0.000000	4.746959	4.421734
