# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	34.025375	69.975186	45.433071
WASH7P	pseudogene	-1.000000	-1.000000	29.629630	64.533874	61.426876
MIR1302-2HG	lincRNA	-1.000000	-1.000000	69.901961	54.579439	64.630225
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4G4P	pseudogene	-1.000000	-1.000000	19.547080	-1.000000	19.547080
OR4G11P	pseudogene	-1.000000	-1.000000	0.000000	3.623898	2.838294
OR4F5	protein coding	15.494393	42.420538	32.327092	37.757115	35.452481
ENSG00000238009	lincRNA	-1.000000	-1.000000	9.288591	23.941724	22.713154
CICP27	pseudogene	-1.000000	-1.000000	24.586723	-1.000000	24.586723
ENSG00000239906	lincRNA	-1.000000	-1.000000	63.975155	0.000000	37.522769
ENSG00000241860	lincRNA	-1.000000	-1.000000	94.231278	82.702376	85.392738
ENSG00000241599	lincRNA	-1.000000	-1.000000	78.070175	95.666132	88.229842
WASH9P	pseudogene	-1.000000	-1.000000	21.060172	25.903614	25.240337
ENSG00000228463	pseudogene	-1.000000	-1.000000	40.605618	16.887835	18.803343
ENSG00000286448	lincRNA	-1.000000	-1.000000	23.673469	0.000000	9.666667
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	88.165874	89.965254
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	98.101777	100.000000	98.324421
ENSG00000235146	lincRNA	-1.000000	-1.000000	23.659306	7.947733	9.343045
MTCO1P12	pseudogene	-1.000000	-1.000000	8.300908	-1.000000	8.300908
WBP1LP6	pseudogene	-1.000000	-1.000000	13.947991	-1.000000	13.947991
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	29.217604	100.000000	38.207044
ENSG00000229905	lincRNA	-1.000000	-1.000000	0.000000	4.012841	2.319109
LINC01128	lincRNA	-1.000000	-1.000000	0.322247	0.000000	0.163227
PERM1	protein coding	0.000000	0.000000	0.000000	1.540284	0.751554
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	7.047970	5.426907
MMP23B	protein coding	51.915456	0.000000	49.186483	30.459127	34.129032
CDK11B	protein coding	4.962513	20.494186	8.025222	3.355010	4.040022
SLC35E2B	protein coding	0.000000	0.846433	0.698404	0.457143	0.508026
MMP23A	pseudogene	-1.000000	-1.000000	47.637795	49.635922	48.532609
CDK11A	protein coding	9.346567	0.000000	6.231045	7.231214	7.066157
CFAP74	protein coding	0.000000	0.000000	0.000000	0.066839	0.062282
SKI	protein coding	0.000000	0.000000	0.000000	0.449797	0.416392
PLCH2	protein coding	97.663551	82.110092	94.398074	68.257822	70.304958
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PANK4	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
HES5	protein coding	51.696607	100.000000	81.708239	100.000000	84.057971
ENSG00000272449	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
