region_id	chrom	length
1 #chrom 0
2 chr1 180
3 chr1 21234
4 chr1 21
5 chr1 241
6 chr1 120
7 chr1 790
8 chr1 2304
9 chr1 101
10 chr1 152
11 chr1 124972
12 chr1 1896
13 chr1 28
14 chr1 293
15 chr1 283
16 chr1 39
17 chr1 21034
18 chr1 194604
19 chr1 20598
20 chr1 1468269
21 chr1 217379
22 chr1 1691
23 chr1 1559
24 chr1 1408
25 chr1 310
26 chr1 1172118
27 chr1 305206
28 chr1 942
29 chr1 203668
30 chr1 3641
31 chr1 25
32 chr1 24
33 chr1 681
34 chr1 268
35 chr1 400569
36 chr1 48
37 chr1 1049
38 chr1 301
39 chr1 284
40 chr1 23
41 chr1 62
42 chr1 9036
43 chr1 12261
44 chr1 2550
45 chr1 158
46 chr1 80
47 chr1 40
48 chr1 5307
49 chr1 82
50 chr1 10818
51 chr1 206
52 chr1 48
53 chr1 87
54 chr1 652
55 chr1 17633
56 chr1 24949
57 chr1 13144
58 chr1 3604
59 chr1 207
60 chr1 249
61 chr1 254634
62 chr1 301
63 chr1 3093
64 chr1 225
65 chr1 137
66 chr1 65
67 chr1 91
68 chr1 136
69 chr1 91
70 chr1 520
71 chr1 512152
72 chr1 45792
73 chr1 12839
74 chr1 602
75 chr1 270
76 chr1 3096
77 chr1 247
78 chr1 411
79 chr1 2537
80 chr1 156
81 chr1 71946
82 chr1 135
83 chr1 4496
84 chr1 74
85 chr1 6137
86 chr1 150650
87 chr1 1246
88 chr1 359
89 chr1 153542
90 chr1 1238
91 chr1 78168
92 chr1 68104
93 chr1 776
94 chr1 455
95 chr1 55855
96 chr1 604
97 chr1 1067
98 chr1 172
99 chr1 1352
100 chr1 731
101 chr1 198
102 chr1 80894
103 chr1 38854
104 chr1 24
105 chr1 60556
106 chr1 508
107 chr1 148
108 chr1 158188
109 chr1 786
110 chr1 567
111 chr1 257097
112 chr1 107
113 chr1 4611
114 chr1 119311
115 chr1 1985
116 chr1 91310
117 chr1 190
118 chr1 188
119 chr1 42212
120 chr1 59
121 chr1 197
122 chr1 2018
123 chr1 998
124 chr1 42177
125 chr1 118
126 chr1 7915
127 chr1 3102
128 chr1 229
129 chr1 28810
130 chr1 99904
131 chr1 272311
132 chr1 7760
133 chr1 526
134 chr1 320
135 chr1 428
136 chr1 1049
137 chr1 3335
138 chr1 1732
139 chr1 164
140 chr1 419
141 chr1 43
142 chr1 907
143 chr1 1408
144 chr1 192593
145 chr1 2578
146 chr1 4065
147 chr1 80
148 chr1 4862
149 chr1 15200
150 chr1 1305
151 chr1 255
152 chr1 3848
153 chr1 626
154 chr1 21972
155 chr1 1472
156 chr1 8208
157 chr1 194
158 chr1 127
159 chr1 40
160 chr1 184080
161 chr1 5236
162 chr1 402
163 chr1 626
164 chr1 6160
165 chr1 771
166 chr1 473
167 chr1 48226
168 chr1 21849
169 chr1 60
170 chr1 1797
171 chr1 177
172 chr1 394
173 chr1 93974
174 chr1 1441
175 chr1 40
176 chr1 8010
177 chr1 161822
178 chr1 119
179 chr1 9227
180 chr1 259947
181 chr1 448
182 chr1 467
183 chr1 23
184 chr1 28125
185 chr1 2623
186 chr1 68554
187 chr1 2980
188 chr1 1664
189 chr1 379
190 chr1 18716
191 chr1 396
192 chr1 730
193 chr1 505
194 chr1 13496
195 chr1 77365
196 chr1 3615
197 chr1 12736
198 chr1 169322
199 chr1 362
200 chr1 128
201 chr1 117063
202 chr1 46253
203 chr1 44
204 chr1 672
205 chr1 956
206 chr1 63
207 chr1 23
208 chr1 40150
209 chr1 34351
210 chr1 11180
211 chr1 214180
212 chr1 750
213 chr1 36
214 chr1 23
215 chr1 3807
216 chr1 133922
217 chr1 35577
218 chr1 381
219 chr1 171
220 chr1 18529
221 chr1 1044
222 chr1 208
223 chr1 396
224 chr1 119
225 chr1 1002
226 chr1 1066
227 chr1 402838
228 chr1 239
229 chr1 201297
230 chr1 62358
231 chr1 8714
232 chr1 1060
233 chr1 35867
234 chr1 1031
235 chr1 160468
236 chr1 298
237 chr1 13698
238 chr1 40
239 chr1 41629
240 chr1 42
241 chr1 152648
242 chr1 74683
243 chr1 40083
244 chr1 144
245 chr1 476
246 chr1 94
247 chr1 69068
248 chr1 91
249 chr1 273
250 chr1 3890
251 chr1 137
252 chr1 1697
253 chr1 302
254 chr1 59
255 chr1 674
256 chr1 593
257 chr1 25084
258 chr1 14527
259 chr1 314
260 chr1 845
261 chr1 42831
262 chr1 145
263 chr1 102425
264 chr1 426
265 chr1 261
266 chr1 87235
267 chr1 6163
268 chr1 352
269 chr1 1847
270 chr1 493
271 chr1 1605
272 chr1 92
273 chr1 1155
274 chr1 1308
275 chr1 9083
276 chr1 76808
277 chr1 169373
278 chr1 134
279 chr1 1478
280 chr1 173
281 chr1 229
