# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
CICP7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP5-857K21.15	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-219C24.6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF9	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP11-219C24.10	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF18	protein coding	44.753301	-1.000000	44.753301	68.149211	56.265443
PRAMEF21	protein coding	39.355742	41.666667	39.598997	5.926086	10.866967
XX-FW84067D5.2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SRSF10	protein coding	100.000000	77.911877	81.101459	100.000000	92.848725
RP11-347K2.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-153F1.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF6	protein coding	0.000000	0.000000	0.000000	5.999264	5.824396
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	14.966262	14.763439
RP6-206I17.1	lincRNA	-1.000000	-1.000000	0.000000	0.709942	0.691355
RP6-206I17.2	lincRNA	-1.000000	-1.000000	0.000000	2.240636	2.029786
NBPF8	protein coding	2.692842	0.000000	2.631579	2.827311	2.797626
GPR89C	protein coding	78.066528	100.000000	88.847780	67.865745	68.845822
PDZK1P1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNU1-137P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-94I2.4	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNVU1-7	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP4-565E6.1	other	-1.000000	-1.000000	30.233874	71.677646	68.341709
RNA5SP57	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89B	protein coding	40.350877	74.690265	50.387998	36.295381	36.890585
RP6-74O6.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
XXyac-YX155B6.7	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU1-129P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-74O6.3	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNVU1-9	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NBPF24	protein coding	3.425712	79.978118	23.348519	16.119597	31.590526
ABHD17AP1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XXyac-YX155B6.5	lincRNA	-1.000000	-1.000000	46.506905	84.386652	80.487499
XXyac-YX155B6.6	lincRNA	-1.000000	-1.000000	49.506454	67.018870	66.668691
RNA5SP58	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC01138	lincRNA	-1.000000	-1.000000	0.000000	29.734933	29.039522
RNVU1-12	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-495P10.1	lincRNA	-1.000000	-1.000000	58.810450	86.374302	82.871875
NBPF20	protein coding	21.116400	0.000000	18.028447	20.545324	20.125030
