# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
NOS1	protein coding	0.000000	0.000000	0.000000	0.000000	0.059010
ENSG00000284209	protein coding	67.715618	13.274707	27.664818	84.012896	77.835939
ENSG00000288300	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TRIM37	protein coding	0.000000	0.000000	0.000000	0.036047	0.034598
ENSG00000280145	lincRNA	-1.000000	-1.000000	2.509678	44.530919	36.761040
ENSG00000279788	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000279895	pseudogene	-1.000000	-1.000000	81.614786	63.282873	67.568797
MAP4	protein coding	0.000000	0.000000	0.000000	0.019158	0.018023
PRYP1	pseudogene	-1.000000	-1.000000	0.000000	0.348742	0.338466
CDY9P	pseudogene	-1.000000	-1.000000	44.711843	-1.000000	44.711843
PRYP3	pseudogene	-1.000000	-1.000000	41.760722	55.518755	55.031949
XKRYP3	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
USP9YP25	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
USP9YP29	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RAB9AP1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TRAPPC2P9	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
OFD1P11Y	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ELOCP9	pseudogene	-1.000000	-1.000000	47.478992	-1.000000	47.478992
CDY15P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CDY22P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OFD1P18Y	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
TRAPPC2P4	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RAB9AP3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
USP9YP20	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
USP9YP21	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XKRYP6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRYP4	pseudogene	-1.000000	-1.000000	0.000000	0.770059	0.742812
