# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	103504156	103504794	AMY1A_exon_1	CDS	protein_coding	chr1	103504156	103504794
chr1	103504794	103504883	AMY1A_intron_1	intron	protein_coding	chr1	103504794	103504883
chr1	103504883	103504925	AMY1A_exon_2	CDS	protein_coding	chr1	103504883	103504925
chr1	103504925	103505151	AMY1A_intron_2	intron	protein_coding	chr1	103504925	103505151
chr1	103505151	103505365	AMY1A_exon_3	CDS	protein_coding	chr1	103505151	103505365
chr1	103505365	103505673	AMY1A_intron_3	intron	protein_coding	chr1	103505365	103505673
chr1	103505673	103505857	AMY1A_exon_4	CDS	protein_coding	chr1	103505673	103505857
chr1	103505857	103506660	AMY1A_intron_4	intron	protein_coding	chr1	103505857	103506660
chr1	103506660	103506858	AMY1A_exon_5	CDS	protein_coding	chr1	103506660	103506858
chr1	103506858	103507306	AMY1A_intron_5	intron	protein_coding	chr1	103506858	103507306
chr1	103507306	103507537	AMY1A_exon_6	CDS	protein_coding	chr1	103507306	103507537
chr1	103507537	103508276	AMY1A_intron_6	intron	protein_coding	chr1	103507537	103508276
chr1	103508276	103508410	AMY1A_exon_7	CDS	protein_coding	chr1	103508276	103508410
chr1	103508410	103509226	AMY1A_intron_7	intron	protein_coding	chr1	103508410	103509226
chr1	103509226	103509349	AMY1A_exon_8	CDS	protein_coding	chr1	103509226	103509349
chr1	103509349	103509443	AMY1A_intron_8	intron	protein_coding	chr1	103509349	103509443
chr1	103509443	103509543	AMY1A_exon_9	CDS	protein_coding	chr1	103509443	103509543
chr1	103509543	103511523	AMY1A_intron_9	intron	protein_coding	chr1	103509543	103511523
chr1	103511523	103511642	AMY1A_exon_10	CDS	protein_coding	chr1	103511523	103511642
chr1	103511642	103511752	AMY1A_intron_10	intron	protein_coding	chr1	103511642	103511752
