# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11211	11635	AL627309.3_exon_1	exon	lncRNA	chr1	11136	11635
chr1	11638	12457	AL627309.3_exon_2	exon	lncRNA	chr1	11638	12457
chr1	11630	11831	AP006222.2_exon_1	exon	lncRNA	chr1	11630	11831
chr1	11831	12616	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	14353	14445	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	19057	19308	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	16189	17325	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	52976	53391	AL731661.1_exon_1	exon	lncRNA	chr1	52976	53422
chr1	54089	54521	AL731661.1_intron_2	intron	lncRNA	chr1	53826	54521
chr1	54521	54613	AL731661.1_exon_3	exon	lncRNA	chr1	54521	54613
chr1	112505	112615	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	112810	112882	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	132243	133260	AC092192.1_exon_1	exon	lncRNA	chr1	132243	133260
chr1	143163	143321	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	144235	144503	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146202	146546	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146546	146715	CICP18_exon_2	exon	transcribed_processed_pseudogene	chr1	146546	146715
chr1	146715	147063	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	147363	148222	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	161134	161388	AL669831.1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	159874	161932
chr1	167788	168229	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	168780	169504	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	171916	172508	AL669831.1_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	171335	173226
chr1	173510	173805	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	174301	176704	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	177448	177521	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	177561	177584	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	178222	178518	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	180446	180842	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	186247	186614	AL669831.1_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	185656	191259
chr1	194486	194778	AL669831.1_intron_11	intron	transcribed_unprocessed_pseudogene	chr1	192924	195084
chr1	304831	306278	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	338512	338831	AL645608.6_intron_1	intron	lncRNA	chr1	334946	345393
chr1	405427	407964	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	463766	463894	AGRN_intron_2	intron	protein_coding	chr1	452593	464241
chr1	471072	471156	AGRN_intron_5	intron	protein_coding	chr1	471017	471298
chr1	479148	479243	AGRN_intron_24	intron	protein_coding	chr1	479123	479298
chr1	494936	495297	AL390719.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	494633	495366
chr1	516755	516996	C1orf159_intron_4	intron	protein_coding	chr1	516250	518966
chr1	544132	544281	C1orf159_intron_8	intron	protein_coding	chr1	543690	544674
chr1	567936	567990	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	568004	568235	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	568428	568646	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	569726	570201	LINC01342_intron_2	intron	lncRNA	chr1	569647	571353
chr1	673263	674230	C1QTNF12_intron_4	intron	protein_coding	chr1	673224	675446
chr1	713048	713097	SCNN1D_exon_4	CDS	protein_coding	chr1	712984	713097
chr1	713097	713577	SCNN1D_intron_4	intron	protein_coding	chr1	713097	714773
chr1	718409	718446	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	718468	719182	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721093	721300	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721326	721358	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	720691	721039	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	747257	747360	INTS11_intron_4	intron	protein_coding	chr1	747253	747670
chr1	754041	754265	INTS11_intron_7	intron	protein_coding	chr1	753497	754283
chr1	755401	755772	INTS11_intron_8	intron	protein_coding	chr1	754800	756165
chr1	859293	861394	TMEM88B_intron_1	intron	protein_coding	chr1	858314	861437
chr1	953134	953176	ATAD3A_intron_4	intron	protein_coding	chr1	952279	953424
chr1	974513	974651	TMEM240_intron_3	intron	protein_coding	chr1	974294	974793
chr1	1064356	1064405	MIB2_intron_10	intron	protein_coding	chr1	1064209	1064796
chr1	1064716	1064739	MIB2_intron_10	intron	protein_coding	chr1	1064209	1064796
chr1	1067340	1067417	MMP23B_exon_2	CDS	protein_coding	chr1	1067213	1067417
chr1	1067417	1067484	MMP23B_intron_2	intron	protein_coding	chr1	1067417	1067484
chr1	1067484	1068564	MMP23B_exon_3	CDS	protein_coding	chr1	1067484	1068832
chr1	1076739	1076832	CDK11B_intron_11	intron	protein_coding	chr1	1076487	1076832
chr1	1076832	1076994	CDK11B_exon_12	CDS	protein_coding	chr1	1076832	1076994
chr1	1076994	1077614	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1078459	1078762	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1101509	1101568	SLC35E2B_intron_2	intron	protein_coding	chr1	1100459	1102766
chr1	1134439	1134946	MMP23A_exon_1	exon	unprocessed_pseudogene	chr1	1134374	1134946
chr1	1134946	1135338	MMP23A_intron_1	intron	unprocessed_pseudogene	chr1	1134946	1135338
chr1	1135338	1135690	MMP23A_exon_2	exon	unprocessed_pseudogene	chr1	1135338	1135690
chr1	1135690	1135763	MMP23A_intron_2	intron	unprocessed_pseudogene	chr1	1135690	1135792
chr1	1143717	1143938	AL031282.2_intron_11	intron	lncRNA	chr1	1143554	1143938
chr1	1143938	1144061	AL031282.2_exon_12	exon	lncRNA	chr1	1143938	1144061
chr1	1144061	1144696	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1145514	1145922	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1358475	1358816	CFAP74_intron_5	intron	protein_coding	chr1	1358346	1358907
chr1	1363903	1364929	CFAP74_intron_11	intron	protein_coding	chr1	1363399	1365604
chr1	1404288	1404402	CFAP74_intron_27	intron	protein_coding	chr1	1403907	1405732
chr1	1424005	1424032	CFAP74_intron_36	intron	protein_coding	chr1	1423799	1424032
chr1	1604679	1604756	PRKCZ_intron_27	intron	protein_coding	chr1	1604569	1606521
chr1	1610364	1610431	PRKCZ_intron_33	intron	protein_coding	chr1	1610282	1616800
chr1	1639871	1640204	FAAP20_intron_8	intron	protein_coding	chr1	1638607	1641280
chr1	1716488	1716550	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1716793	1716819	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1716901	1716955	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1717149	1717185	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1718072	1718098	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1725449	1725543	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1745642	1745742	SKI_exon_10	CDS	protein_coding	chr1	1742541	1746139
chr1	1761128	1761197	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1761960	1762531	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1762630	1763010	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1763144	1763274	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1840554	1840981	RER1_intron_6	intron	protein_coding	chr1	1840246	1841539
chr1	1875634	1875670	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1880793	1881468	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1891721	1892072	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1903239	1903478	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	1941869	1941987	PLCH2_exon_22	CDS	protein_coding	chr1	1940749	1946621
chr1	2033966	2034252	MMEL1_intron_3	intron	protein_coding	chr1	2033672	2034298
chr1	2082307	2082456	TTC34_exon_1	CDS	protein_coding	chr1	2077220	2083139
chr1	2193818	2194170	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196343	2196540	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196845	2197630	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2198622	2199683	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2200044	2200419	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2201136	2201211	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2202315	2204376	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2206790	2206999	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2207088	2207225	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2210701	2211338	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211518	2211575	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211577	2211784	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211857	2214744	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2214814	2215223	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2215353	2216379	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2217061	2217313	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2217718	2219852	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2219937	2220805	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2221034	2221202	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2222691	2222981	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2223720	2223835	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2224007	2224101	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2258447	2260612	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2261810	2264945	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2264982	2265035	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2265559	2266464	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2268397	2268549	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2269588	2270093	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2271547	2272054	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2273299	2273944	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2276131	2276609	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2195370	2195700	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2652991	2653103	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2665474	2665548	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2670079	2670230	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2670398	2670509	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2670642	2670896	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2715737	2715876	PRDM16_intron_2	intron	protein_coding	chr1	2689613	2741309
chr1	2855730	2856476	PRDM16_intron_4	intron	protein_coding	chr1	2747510	2889979
chr1	2884234	2884352	PRDM16_intron_4	intron	protein_coding	chr1	2747510	2889979
chr1	2979992	2980355	ARHGEF16_intron_10	intron	protein_coding	chr1	2979545	2980732
chr1	2982027	2984335	ARHGEF16_intron_11	intron	protein_coding	chr1	2980825	2984896
chr1	3009141	3009181	MEGF6_intron_20	intron	protein_coding	chr1	3008935	3013522
chr1	3009248	3009324	MEGF6_intron_20	intron	protein_coding	chr1	3008935	3013522
