# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.509804	47.766749	31.889764
WASH7P	pseudogene	-1.000000	-1.000000	12.814815	44.448466	41.632599
MIR1302-2HG	lincRNA	-1.000000	-1.000000	35.196078	42.429907	37.684887
FAM138A	lincRNA	-1.000000	-1.000000	99.671593	100.000000	99.738048
OR4F5	protein coding	0.000000	9.535452	5.961024	0.000000	2.530003
ENSG00000238009	lincRNA	-1.000000	-1.000000	0.000000	7.321328	6.707482
CICP27	pseudogene	-1.000000	-1.000000	13.093676	-1.000000	13.093676
ENSG00000268903	pseudogene	-1.000000	-1.000000	5.437666	-1.000000	5.437666
ENSG00000239906	lincRNA	-1.000000	-1.000000	32.608696	0.000000	19.125683
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.259857	68.695127	74.194146
ENSG00000241599	lincRNA	-1.000000	-1.000000	84.429825	100.000000	93.419833
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	19.697659	19.383951
ENSG00000228463	pseudogene	-1.000000	-1.000000	19.956220	5.457615	6.628559
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.244898	0.000000	5.000000
ENSG00000236601	lincRNA	-1.000000	-1.000000	32.175503	53.171611	49.979152
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	82.673667	100.000000	84.705882
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	2.444274	3.627959
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	4.197229	71.708683	12.771256
MMP23B	protein coding	37.318362	0.000000	35.356696	13.997760	22.258065
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
MMP23A	pseudogene	-1.000000	-1.000000	36.712598	38.470874	37.500000
CDK11A	protein coding	0.000000	0.000000	0.000000	2.261457	1.888252
PRAMEF10	protein coding	0.000000	0.000000	0.000000	1.714286	1.228135
PRAMEF7	protein coding	23.649123	8.488613	19.811321	19.570085	19.681236
PRAMEF29P	pseudogene	-1.000000	-1.000000	48.769772	41.657922	45.528455
PRAMEF6	protein coding	29.839273	0.000000	23.948402	44.027304	40.096618
PRAMEF27	protein coding	0.000000	0.000000	0.000000	17.737240	12.875053
HNRNPCL3	protein coding	12.585034	66.173570	41.244726	0.000000	37.079184
PRAMEF25	protein coding	69.659012	59.212880	66.733467	44.792678	49.549256
PRAMEF34P	pseudogene	-1.000000	-1.000000	99.930844	100.000000	99.964183
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.586492	100.000000	99.785484
PRAMEF26	protein coding	57.200000	48.533724	54.769737	47.647146	49.527739
HNRNPCL4	protein coding	12.585034	80.359281	45.544554	-1.000000	45.544554
PRAMEF9	protein coding	0.000000	0.000000	0.000000	17.757917	12.008934
PRAMEF5	protein coding	23.969252	0.000000	18.500539	43.681430	38.627260
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	37.218413	45.593870
PRAMEF8	protein coding	23.649123	22.162162	23.478261	19.658120	21.262718
PRAMEF33	protein coding	0.000000	0.000000	0.000000	1.713841	1.229508
NBPF1	protein coding	2.923977	0.000000	1.686056	1.052236	1.124056
ENSG00000282143	lincRNA	-1.000000	-1.000000	88.357843	34.886560	38.985439
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	1.099728	0.935462
ENSG00000279151	lincRNA	-1.000000	-1.000000	0.000000	8.427121	7.583992
ENSG00000282740	lincRNA	-1.000000	-1.000000	88.141809	34.872369	38.963478
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	1.639943
CLIC4	protein coding	0.000000	0.000000	0.000000	0.926846	0.886405
RSRP1	protein coding	0.000000	0.000000	0.000000	4.098872	3.974407
RHD	protein coding	0.000000	0.000000	0.000000	6.940476	6.569972
RHCE	protein coding	0.000000	0.000000	0.000000	5.118086	4.962984
BMP8A	protein coding	0.000000	0.000000	0.000000	0.641144	0.546648
BMP8B	protein coding	0.000000	0.000000	0.000000	0.778167	0.659660
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	2.317697	2.331624
CYP4Z1	protein coding	2.964427	0.000000	2.082369	2.640723	2.617104
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.142303	0.138992
FYB2	protein coding	0.000000	0.000000	0.000000	0.033869	0.032703
DOCK7	protein coding	0.000000	0.000000	0.000000	0.034005	0.032466
LEPR	protein coding	0.000000	0.000000	0.000000	0.172906	0.164323
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.288784	0.285714
ENSG00000287453	lincRNA	-1.000000	-1.000000	0.000000	0.424066	0.404483
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.053838	0.051878
NEGR1	protein coding	0.000000	0.000000	0.000000	0.083887	0.082676
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.050143	0.049391
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.072070	0.071250
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	14.100990	13.866878
COL24A1	protein coding	0.000000	0.000000	0.000000	0.245467	0.241519
CLCA4-AS1	lincRNA	-1.000000	-1.000000	19.421829	1.542702	2.661302
BCAR3	protein coding	0.000000	0.000000	0.000000	0.076437	0.075330
AMY2A	protein coding	18.880208	0.000000	18.319646	16.617430	16.940022
AMY1A	protein coding	83.268229	100.000000	85.925520	62.901837	67.682511
AMY1B	protein coding	85.481771	62.689805	80.220330	80.076683	80.108419
AMYP1	pseudogene	-1.000000	-1.000000	28.375734	21.946937	23.015615
AMY1C	protein coding	78.385417	6.331471	59.720212	40.785525	43.714094
NBPF4	protein coding	49.151697	0.000000	28.451762	49.854035	46.426424
ENSG00000238122	lincRNA	-1.000000	-1.000000	96.653226	40.707081	51.813015
SLC25A24P1	pseudogene	-1.000000	-1.000000	26.049973	43.118247	42.623633
NBPF5P	pseudogene	-1.000000	-1.000000	52.024922	87.348296	85.727356
SLC25A24P2	pseudogene	-1.000000	-1.000000	68.958743	79.465587	79.323198
ENSG00000224698	lincRNA	-1.000000	-1.000000	99.959677	40.698952	52.460984
NBPF6	protein coding	49.950100	0.000000	28.575507	44.538186	41.953970
GSTM2	protein coding	0.000000	0.000000	0.000000	1.178771	1.059501
MAGI3	protein coding	0.000000	0.000000	0.000000	0.804199	0.784677
NOTCH2	protein coding	0.000000	0.000000	0.000000	3.024023	2.822551
RNU6-465P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000274642	pseudogene	-1.000000	-1.000000	27.582160	35.533049	35.477793
ENSG00000223804	pseudogene	-1.000000	-1.000000	33.544304	50.643461	50.389739
NBPF8	protein coding	6.221280	7.953005	7.277739	13.843751	12.971944
PDE4DIPP2	pseudogene	-1.000000	-1.000000	1.959123	22.344123	21.433673
NBPF26	protein coding	10.575260	16.318962	12.402301	9.342790	9.518369
LINC00623	lincRNA	-1.000000	-1.000000	0.000000	3.654233	3.555412
PDE4DIPP4	pseudogene	-1.000000	-1.000000	0.000000	0.524846	0.514479
ENSG00000227193	lincRNA	-1.000000	-1.000000	0.000000	0.716134	0.703833
FAM72B	protein coding	0.000000	0.000000	0.000000	0.883739	0.754485
SRGAP2C	protein coding	7.391304	12.589739	11.578057	3.351443	3.629189
SRGAP2-AS1	lincRNA	-1.000000	-1.000000	0.000000	4.746959	4.421734
EMBP1	pseudogene	-1.000000	-1.000000	0.000000	1.116239	1.000018
ENSG00000276118	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000277095	pseudogene	-1.000000	-1.000000	13.510520	27.439004	26.651217
KMT2CP3	pseudogene	-1.000000	-1.000000	28.919578	16.549635	16.955202
NKAIN1P1	pseudogene	-1.000000	-1.000000	30.292599	-1.000000	30.292599
LINC02799	lincRNA	-1.000000	-1.000000	18.918919	10.566449	13.132075
LINC02591	lincRNA	-1.000000	-1.000000	49.523083	0.000000	36.573683
PDE4DIPP3	pseudogene	-1.000000	-1.000000	0.000000	3.097046	2.845697
FCGR1CP	pseudogene	-1.000000	-1.000000	0.000000	5.120167	4.463676
FAM72C	protein coding	21.111111	38.683128	35.380117	13.666550	16.779448
ENSG00000289318	lincRNA	-1.000000	-1.000000	13.985555	0.000000	8.849190
SRGAP2D	pseudogene	-1.000000	-1.000000	20.196078	13.281225	13.356851
IGKV1OR1-1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000275075	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	87.192609	87.938157
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	93.612846	93.853286
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	91.728814	90.441203	90.507388
PPIAL4E	protein coding	100.000000	95.454545	98.418972	-1.000000	98.418972
ENSG00000229002	pseudogene	-1.000000	-1.000000	0.000000	9.236948	8.159645
PPIAL4F	protein coding	100.000000	95.454545	98.418972	-1.000000	98.418972
LINC01632	lincRNA	-1.000000	-1.000000	62.579957	44.094930	45.237154
ENSG00000224363	lincRNA	-1.000000	-1.000000	39.624150	42.979024	42.948900
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	88.504794	89.183368
ENSG00000287607	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SRGAP2B	protein coding	14.927536	43.991641	38.360011	8.773447	9.785223
FAM72D	protein coding	21.111111	28.955375	27.497936	11.545455	13.855998
ENSG00000283752	pseudogene	-1.000000	-1.000000	0.000000	5.347871	4.911193
LINC01145	pseudogene	-1.000000	-1.000000	25.106724	2.545062	4.172521
NBPF20	protein coding	66.153120	0.000000	56.922999	58.317459	58.115149
ENSG00000278182	pseudogene	-1.000000	-1.000000	57.620818	90.380313	82.803095
PDE4DIPP5	pseudogene	-1.000000	-1.000000	0.000000	0.963222	0.857366
NBPF10	protein coding	23.656749	0.000000	19.100341	35.239582	33.828802
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000277655	pseudogene	-1.000000	-1.000000	0.000000	7.040816	5.726141
HYDIN2	pseudogene	-1.000000	-1.000000	7.732426	4.247703	4.386863
NBPF12	protein coding	1.097394	2.493917	1.696685	1.031544	1.119596
PDE4DIPP1	pseudogene	-1.000000	-1.000000	9.451220	7.788751	7.993978
NBPF11	protein coding	0.000000	2.506879	1.397172	0.279242	0.409746
LINC02805	lincRNA	-1.000000	-1.000000	0.000000	2.339373	1.854674
ENSG00000227733	lincRNA	-1.000000	-1.000000	40.396237	13.413503	17.934425
NBPF14	protein coding	16.984499	5.071263	13.985314	30.903478	29.536860
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	99.816850	0.000000	14.968415	-1.000000	14.968415
SEC22B3P	pseudogene	-1.000000	-1.000000	99.304348	100.000000	99.966538
PDE4DIP	protein coding	5.621238	6.540054	6.173316	14.520586	12.787221
RN7SKP88	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000254913	lincRNA	-1.000000	-1.000000	0.000000	20.263064	17.712865
NBPF9	protein coding	0.000000	0.000000	0.000000	0.074550	0.062287
ENSG00000274019	pseudogene	-1.000000	-1.000000	0.000000	0.458122	0.435524
ENSG00000274265	lincRNA	-1.000000	-1.000000	0.000000	15.025829	14.260616
ENSG00000215861	pseudogene	-1.000000	-1.000000	22.794553	24.604859	24.580236
ENSG00000272755	lincRNA	-1.000000	-1.000000	10.283688	-1.000000	10.283688
7SK	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B2P	pseudogene	-1.000000	-1.000000	99.825175	100.000000	99.991632
ENSG00000286185	protein coding	61.853972	0.000000	49.452302	27.879773	29.757207
LINC00869	pseudogene	-1.000000	-1.000000	18.131964	1.266772	3.213844
PDE4DIPP7	pseudogene	-1.000000	-1.000000	0.000000	5.234518	4.988234
FCGR1A	protein coding	0.000000	0.000000	0.000000	5.464767	4.642381
H2BC18	protein coding	0.000000	0.000000	0.000000	1.460619	1.408166
H4C14	protein coding	100.000000	67.469880	93.164557	-1.000000	5.175809
H3C14	protein coding	100.000000	95.454545	99.040307	-1.000000	99.040307
H2AC18	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
H2BC19P	pseudogene	-1.000000	-1.000000	5.150928	-1.000000	5.150928
H2BC20P	pseudogene	-1.000000	-1.000000	2.888647	-1.000000	2.888647
