# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	18819	18871	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	26961	27056	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	149821	149892	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153600	153740	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	160176	160240	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	161439	161521	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	163791	163823	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	166023	166096	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	168352	168419	ENSG00000241860_intron_6	intron	lncRNA	chr1	168165	168609
chr1	168904	168998	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	170483	170763	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	171459	171913	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	172556	172645	ENSG00000241860_exon_9	exon	lncRNA	chr1	172556	172688
chr1	173680	173727	ENSG00000241860_intron_9	intron	lncRNA	chr1	172688	173752
chr1	161439	161521	ENSG00000241599_exon_2	exon	lncRNA	chr1	161313	161525
chr1	297893	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	347968	348011	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	487932	487977	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	488577	488710	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	488913	489136	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	875855	876355	FAM41C_intron_4	intron	lncRNA	chr1	875155	876745
chr1	905050	905120	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	908497	908814	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	909425	909485	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	934062	934876	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	964639	964788	KLHL17_intron_11	intron	protein_coding	chr1	964530	964962
chr1	976777	976899	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977040	977297	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977318	978128	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
