# This table shows the intersection of dark by MAPQ regions by a gene annotation gff3, showing where dark by MAPQ regions fall within gene body elements
# chrom : Chromosome of dark by MAPQ region
# region_start : start position of dark by MAPQ region within gene-body element
# region_end : end position of dark by MAPQ region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by MAPQ region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by MAPQ reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11869	12227	DDX11L1_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	11869	12227
chr1	12227	12612	DDX11L1_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12227	12612
chr1	12612	12683	DDX11L1_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12612	12721
chr1	17940	17969	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	17998	18061	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	18061	18267	WASH7P_intron_8	intron	unprocessed_pseudogene	chr1	18061	18267
chr1	18267	18366	WASH7P_exon_9	exon	unprocessed_pseudogene	chr1	18267	18366
chr1	18366	18819	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	20663	21415	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	21770	23042	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	23505	24577	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	24984	26969	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	27067	28402	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	29767	30039	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-2HG_intron_1	intron	lncRNA	chr1	30039	30266
chr1	30266	30507	MIR1302-2HG_exon_2	exon	lncRNA	chr1	30266	30667
chr1	34554	35174	FAM138A_exon_1	exon	lncRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lncRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lncRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lncRNA	chr1	35481	35720
chr1	35720	36081	FAM138A_exon_3	exon	lncRNA	chr1	35720	36081
chr1	65433	65519	OR4F5_intron_1	intron	protein_coding	chr1	65433	65519
chr1	65519	65564	OR4F5_UTR_2	five_prime_UTR	protein_coding	chr1	65519	65564
chr1	65573	65639	OR4F5_intron_2	intron	protein_coding	chr1	65573	69036
chr1	71274	71585	OR4F5_UTR_3	three_prime_UTR	protein_coding	chr1	70008	71585
chr1	92090	92240	ENSG00000238009_exon_2	exon	lncRNA	chr1	92090	92240
chr1	96892	97219	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
