# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.621083	46.573604	30.043256
WASH7P	pseudogene	-1.000000	-1.000000	4.633205	48.896866	42.957974
MIR1302-10	lincRNA	-1.000000	-1.000000	50.490196	42.429907	47.717042
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-34P13.7	lincRNA	-1.000000	-1.000000	4.204036	8.775766	8.407310
CICP27	pseudogene	-1.000000	-1.000000	13.513514	-1.000000	13.513514
AL627309.1	protein coding	0.000000	3.297872	2.330827	2.530253	2.411791
RP11-34P13.13	other	-1.000000	-1.000000	75.944462	52.271513	56.798814
RP11-34P13.9	lincRNA	-1.000000	-1.000000	36.622807	27.929374	31.603336
AP006222.2	lincRNA	-1.000000	-1.000000	6.248419	8.093036	7.909077
CICP7	pseudogene	-1.000000	-1.000000	86.470113	100.000000	88.057041
OR4F29	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	84.258812	85.716372
RP5-857K21.15	lincRNA	-1.000000	-1.000000	88.296296	100.000000	96.562228
RP4-669L17.1	pseudogene	-1.000000	-1.000000	95.312500	-1.000000	95.312500
RP5-857K21.1	lincRNA	-1.000000	-1.000000	0.000000	22.119532	14.569805
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.412759	4.510436
MTND2P28	pseudogene	-1.000000	-1.000000	19.846596	-1.000000	19.846596
OR4F16	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.952730	42.016807	8.786909
RP11-206L10.3	lincRNA	-1.000000	-1.000000	50.463058	37.051435	44.995733
RP11-206L10.2	lincRNA	-1.000000	-1.000000	0.000000	2.922990	2.643620
RP11-206L10.9	lincRNA	-1.000000	-1.000000	0.000000	0.651820	0.536913
C1orf170	protein coding	0.000000	0.000000	0.000000	0.933852	0.520382
RP11-465B22.5	lincRNA	-1.000000	-1.000000	0.000000	3.357934	2.585595
SCNN1D	protein coding	0.000000	0.000000	0.000000	1.506143	0.983352
MMP23B	protein coding	59.511229	0.000000	54.081633	37.528090	39.020537
CDK11B	protein coding	7.414830	40.378549	14.093960	3.022520	4.765979
MMP23A	pseudogene	-1.000000	-1.000000	62.511131	74.504624	67.340426
CDK11A	protein coding	11.042184	13.838748	11.757464	3.657074	4.875677
TTC34	protein coding	0.000000	0.000000	0.000000	10.066838	9.883278
ARHGEF16	protein coding	0.000000	0.000000	0.000000	1.132423	0.966763
WRAP73	protein coding	0.000000	0.000000	0.000000	1.981638	1.795944
C1orf174	protein coding	0.000000	0.000000	0.000000	3.833597	3.259312
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.048497	0.048050
PEX14	protein coding	0.000000	0.000000	0.000000	0.031876	0.030921
CASZ1	protein coding	0.000000	0.000000	0.000000	0.046272	0.043737
MASP2	protein coding	0.000000	0.000000	0.000000	0.220921	0.193143
PRAMEF10	protein coding	0.000000	0.000000	0.000000	4.519481	3.237812
PRAMEF7	protein coding	48.561404	2.870813	38.198589	16.783831	26.365623
PRAMEF6	protein coding	40.600978	19.076923	35.131613	22.884571	23.277578
PRAMEF22	protein coding	37.231834	-1.000000	37.231834	59.081120	47.956307
PRAMEF25	pseudogene	-1.000000	-1.000000	35.669236	11.549567	19.124120
RP13-221M14.3	pseudogene	-1.000000	-1.000000	0.000000	25.538233	12.294496
WI2-2994D6.1	pseudogene	-1.000000	-1.000000	0.000000	15.750371	7.579550
PRAMEF26	protein coding	30.069930	0.000000	23.322034	0.000000	10.666667
PRAMEF3	protein coding	73.928077	31.811263	60.770328	89.160086	72.082380
PRAMEF5	protein coding	28.092243	23.404255	27.022654	63.881365	56.484087
RP11-219C24.8	pseudogene	-1.000000	-1.000000	0.000000	26.738492	13.074713
PRAMEF8	protein coding	91.578947	91.148325	91.481281	100.000000	96.188395
RP11-219C24.6	pseudogene	-1.000000	-1.000000	60.744382	69.210352	65.097236
PRAMEF9	protein coding	100.000000	100.000000	100.000000	80.205705	85.459729
PRAMEF13	protein coding	60.771930	13.956640	44.798890	97.953881	76.020603
PRAMEF18	protein coding	60.180681	-1.000000	60.180681	85.868006	72.820332
PRAMEF16	protein coding	36.280702	18.012422	34.426230	28.873239	31.803061
PRAMEF21	protein coding	69.257703	41.666667	66.353383	38.788924	42.833502
XX-FW84067D5.1	pseudogene	-1.000000	-1.000000	87.303310	93.936731	90.968682
XX-FW84067D5.2	pseudogene	-1.000000	-1.000000	67.907303	83.477107	75.912658
PRAMEF15	protein coding	83.368128	100.000000	87.164339	78.012808	80.441910
PRAMEF14	protein coding	60.771930	22.371638	46.767722	98.999667	76.650134
PRAMEF19	protein coding	65.972222	100.000000	76.908577	87.948350	81.285552
PRAMEF17	protein coding	22.456140	16.447368	21.876982	32.253521	26.793460
PRAMEF20	protein coding	78.291317	41.666667	74.436090	32.741935	38.849119
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.641491	0.527953
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM231A	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
FAM231C	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	2.488118
RP11-108M9.1	lincRNA	-1.000000	-1.000000	46.411483	43.146718	44.604701
MFAP2	protein coding	0.000000	12.164074	6.830818	0.000000	1.357966
CELA3B	protein coding	0.000000	0.000000	0.000000	0.104275	0.097128
CDC42	protein coding	0.000000	0.000000	0.000000	0.149262	0.136419
CNR2	protein coding	0.000000	0.000000	0.000000	10.382106	9.741001
PNRC2	protein coding	0.000000	26.014199	20.015607	0.000000	11.784976
SRSF10	protein coding	30.646992	44.674330	42.648746	22.166966	31.073622
CLIC4	protein coding	0.000000	0.000000	0.000000	1.608505	1.537886
C1orf63	protein coding	0.000000	0.000000	0.000000	4.293571	4.205218
RHD	protein coding	0.000000	0.000000	0.000000	6.945936	6.575140
RHCE	protein coding	0.000000	0.000000	0.000000	5.284263	5.120469
BMP8A	protein coding	0.000000	0.000000	0.000000	0.656482	0.624107
BMP8B	protein coding	0.000000	0.000000	0.000000	2.019821	1.691973
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	3.505247	3.486101
CYP4Z1	protein coding	2.964427	0.000000	2.362205	3.100601	3.072928
SKINTL	pseudogene	-1.000000	-1.000000	0.000000	0.109099	0.106560
ZYG11B	protein coding	0.000000	0.000000	0.000000	0.030212	0.027754
LRP8	protein coding	0.000000	0.000000	0.000000	0.413765	0.390185
C1orf168	protein coding	0.000000	0.000000	0.000000	0.039001	0.037664
DOCK7	protein coding	0.000000	0.000000	0.000000	0.019056	0.018410
LEPR	protein coding	0.000000	0.000000	0.000000	0.184223	0.175118
ZRANB2-AS2	other	-1.000000	-1.000000	0.000000	0.051870	0.051145
NEGR1	protein coding	0.000000	0.000000	0.000000	0.074502	0.073411
TNNI3K	protein coding	0.000000	0.000000	0.000000	0.007305	0.007222
LRRC53	protein coding	0.000000	0.000000	0.000000	0.064304	0.058499
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.084155	0.082888
COL24A1	protein coding	0.000000	0.000000	0.000000	0.262808	0.258586
BCAR3	protein coding	0.000000	0.000000	0.000000	0.027380	0.026984
RP11-347K2.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-347K2.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-153F1.2	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AMY2A	protein coding	26.888021	35.051546	27.372933	21.240768	22.432465
AMY1A	protein coding	83.463542	71.730515	79.590057	64.451780	68.199978
AMY1B	protein coding	85.481771	94.868421	88.588850	89.065863	88.947652
AMYP1	pseudogene	-1.000000	-1.000000	28.375734	24.502536	25.146389
AMY1C	protein coding	78.190104	33.684211	75.597793	69.502480	70.702559
NBPF4	protein coding	52.060511	0.000000	40.177134	51.293718	49.961401
RP11-483I13.2	lincRNA	-1.000000	-1.000000	95.524194	40.717068	51.596894
NBPF6	protein coding	51.914470	0.000000	37.621622	63.176743	62.431856
SLC25A24P2	pseudogene	-1.000000	-1.000000	68.958743	82.434548	82.251924
GSTM2	protein coding	0.000000	7.917032	6.452381	1.492217	1.993883
GSTM5	protein coding	0.000000	0.000000	0.000000	0.000000	0.064888
MAGI3	protein coding	0.000000	0.000000	0.000000	0.810791	0.791736
NOTCH2	protein coding	0.000000	0.000000	0.000000	0.224864	0.202450
RNU6-465P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM72B	protein coding	0.000000	0.000000	0.000000	0.950849	0.758717
RP11-439A17.4	lincRNA	-1.000000	-1.000000	0.000000	0.670903	0.659364
RP11-343N15.1	lincRNA	-1.000000	-1.000000	0.000000	2.769368	2.579627
SRGAP2C	pseudogene	-1.000000	-1.000000	10.537190	4.094798	4.368018
EMBP1	pseudogene	-1.000000	-1.000000	0.000000	1.128826	1.108235
RP11-417J8.3	lincRNA	-1.000000	-1.000000	0.000000	0.252548	0.247289
RP11-417J8.6	lincRNA	-1.000000	-1.000000	0.000000	0.270050	0.251550
RP11-423O2.7	lincRNA	-1.000000	-1.000000	5.781058	32.248882	28.494155
RP11-435B5.3	lincRNA	-1.000000	-1.000000	9.216102	12.656117	12.431159
RP11-435B5.4	lincRNA	-1.000000	-1.000000	8.000810	9.332417	9.274068
RP11-435B5.5	lincRNA	-1.000000	-1.000000	0.000000	7.469650	6.139700
RNVU1-1	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-206I17.1	lincRNA	-1.000000	-1.000000	15.312500	58.137557	57.016333
RP6-206I17.2	lincRNA	-1.000000	-1.000000	78.876835	92.681472	91.382417
FAM72D	protein coding	21.111111	17.250257	17.976589	12.923981	13.648074
SRGAP2B	pseudogene	-1.000000	-1.000000	23.702665	3.393856	3.554027
RP11-289H16.1	lincRNA	-1.000000	-1.000000	30.266789	0.000000	24.084919
