# This table shows the intersection of dark by MAPQ regions by a gene annotation gff3, showing where dark by MAPQ regions fall within gene body elements
# chrom : Chromosome of dark by MAPQ region
# region_start : start position of dark by MAPQ region within gene-body element
# region_end : end position of dark by MAPQ region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by MAPQ region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by MAPQ reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11211	11635	AL627309.3_exon_1	exon	lncRNA	chr1	11136	11635
chr1	11638	12457	AL627309.3_exon_2	exon	lncRNA	chr1	11638	12457
chr1	11630	11831	AP006222.2_exon_1	exon	lncRNA	chr1	11630	11831
chr1	11831	12554	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	19057	19308	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	16189	17325	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	52976	53391	AL731661.1_exon_1	exon	lncRNA	chr1	52976	53422
chr1	54089	54521	AL731661.1_intron_2	intron	lncRNA	chr1	53826	54521
chr1	54521	54613	AL731661.1_exon_3	exon	lncRNA	chr1	54521	54613
chr1	112810	112882	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	132243	133260	AC092192.1_exon_1	exon	lncRNA	chr1	132243	133260
chr1	143163	143321	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	144235	144503	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146202	146546	CICP18_intron_1	intron	transcribed_processed_pseudogene	chr1	138478	146546
chr1	146546	146715	CICP18_exon_2	exon	transcribed_processed_pseudogene	chr1	146546	146715
chr1	146715	147063	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	147363	148222	CICP18_intron_2	intron	transcribed_processed_pseudogene	chr1	146715	148603
chr1	161134	161388	AL669831.1_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	159874	161932
chr1	167788	168229	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	168780	169504	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	171916	172508	AL669831.1_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	171335	173226
chr1	173510	173805	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	174301	176704	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	177448	177521	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	177561	177584	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	178222	178434	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	180446	180842	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	186247	186614	AL669831.1_intron_9	intron	transcribed_unprocessed_pseudogene	chr1	185656	191259
chr1	194486	194778	AL669831.1_intron_11	intron	transcribed_unprocessed_pseudogene	chr1	192924	195084
chr1	568004	568235	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	718409	718446	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	718468	718745	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	718836	719182	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721176	721300	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	721326	721358	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	720691	721039	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	1067340	1067417	MMP23B_exon_2	CDS	protein_coding	chr1	1067213	1067417
chr1	1067417	1067484	MMP23B_intron_2	intron	protein_coding	chr1	1067417	1067484
chr1	1067484	1068564	MMP23B_exon_3	CDS	protein_coding	chr1	1067484	1068832
chr1	1076739	1076832	CDK11B_intron_11	intron	protein_coding	chr1	1076487	1076832
chr1	1076832	1076994	CDK11B_exon_12	CDS	protein_coding	chr1	1076832	1076994
chr1	1076994	1077614	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1078459	1078762	CDK11B_intron_12	intron	protein_coding	chr1	1076994	1079611
chr1	1134439	1134946	MMP23A_exon_1	exon	unprocessed_pseudogene	chr1	1134374	1134946
chr1	1134946	1135338	MMP23A_intron_1	intron	unprocessed_pseudogene	chr1	1134946	1135338
chr1	1135338	1135690	MMP23A_exon_2	exon	unprocessed_pseudogene	chr1	1135338	1135690
chr1	1135690	1135763	MMP23A_intron_2	intron	unprocessed_pseudogene	chr1	1135690	1135792
chr1	1143717	1143938	AL031282.2_intron_11	intron	lncRNA	chr1	1143554	1143938
chr1	1143938	1144061	AL031282.2_exon_12	exon	lncRNA	chr1	1143938	1144061
chr1	1144061	1144696	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1145514	1145922	AL031282.2_intron_12	intron	lncRNA	chr1	1144061	1146683
chr1	1880793	1881468	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	2193818	2194170	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196343	2196540	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2196845	2197630	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2198622	2199683	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2200044	2200419	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2201136	2201211	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2202315	2204376	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2206790	2206999	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2207088	2207225	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2210701	2211338	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211577	2211784	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2211857	2214744	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2214814	2215223	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2215353	2216379	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2217061	2217313	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2217718	2219852	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2219937	2220805	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2221034	2221202	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2222691	2222981	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2258447	2260612	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2261810	2264945	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2265559	2266464	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2268397	2268549	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2269588	2270093	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2271547	2272054	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2273299	2273944	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2276131	2276609	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2195370	2195700	TTC34_intron_3	intron	protein_coding	chr1	2086807	2283339
chr1	2665474	2665548	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2670470	2670509	PRDM16_intron_1	intron	protein_coding	chr1	2571337	2689146
chr1	2979992	2980355	ARHGEF16_intron_10	intron	protein_coding	chr1	2979545	2980732
chr1	3009727	3009781	MEGF6_intron_20	intron	protein_coding	chr1	3008935	3013522
chr1	3009878	3009943	MEGF6_intron_20	intron	protein_coding	chr1	3008935	3013522
chr1	3153817	3154077	WRAP73_intron_3	intron	protein_coding	chr1	3149698	3156547
chr1	3403964	3404318	C1orf174_exon_2	CDS	protein_coding	chr1	3402472	3404900
chr1	6644019	6644679	CAMTA1_intron_10	intron	protein_coding	chr1	6620439	6778804
chr1	7863643	7863713	SLC45A1_intron_5	intron	protein_coding	chr1	7863121	7867918
chr1	10288103	10288246	CASZ1_intron_22	intron	protein_coding	chr1	10249173	10304370
chr1	12440824	12440891	PRAMEF10_intron_3	intron	protein_coding	chr1	12439839	12442182
chr1	12461720	12461805	PRAMEF7_exon_1	CDS	protein_coding	chr1	12461544	12461898
chr1	12461846	12461898	PRAMEF7_exon_1	CDS	protein_coding	chr1	12461544	12461898
chr1	12461898	12462280	PRAMEF7_intron_1	intron	protein_coding	chr1	12461898	12462280
chr1	12462280	12462704	PRAMEF7_exon_2	CDS	protein_coding	chr1	12462280	12462856
chr1	12466473	12466579	RNU6-1072P_exon_1	exon	snRNA	chr1	12466473	12466579
chr1	12471722	12472180	PRAMEF29P_exon_2	exon	unprocessed_pseudogene	chr1	12471621	12472180
chr1	12596139	12596383	PRAMEF26_exon_4	CDS	protein_coding	chr1	12595809	12596703
chr1	12614041	12614629	PRAMEF36P_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	12614041	12614629
chr1	12614629	12615580	PRAMEF36P_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12614629	12615580
chr1	12615580	12616156	PRAMEF36P_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12615580	12616156
chr1	12616156	12616552	PRAMEF36P_intron_2	intron	transcribed_unprocessed_pseudogene	chr1	12616156	12616552
chr1	12616552	12616839	PRAMEF36P_exon_3	exon	transcribed_unprocessed_pseudogene	chr1	12616552	12616839
chr1	12647702	12647988	PRAMEF34P_exon_1	exon	unprocessed_pseudogene	chr1	12647702	12647988
chr1	12647988	12648384	PRAMEF34P_intron_1	intron	unprocessed_pseudogene	chr1	12647988	12648384
chr1	12648384	12648960	PRAMEF34P_exon_2	exon	unprocessed_pseudogene	chr1	12648384	12648960
chr1	12648960	12649911	PRAMEF34P_intron_2	intron	unprocessed_pseudogene	chr1	12648960	12649911
chr1	12649911	12650495	PRAMEF34P_exon_3	exon	unprocessed_pseudogene	chr1	12649911	12650495
chr1	12714773	12715345	PRAMEF32P_exon_1	exon	unprocessed_pseudogene	chr1	12714773	12715345
chr1	12715345	12715564	PRAMEF32P_intron_1	intron	unprocessed_pseudogene	chr1	12715345	12716366
chr1	12723214	12723254	PRAMEF8_intron_1	intron	protein_coding	chr1	12723166	12724080
chr1	12724437	12724656	PRAMEF8_exon_2	CDS	protein_coding	chr1	12724080	12724656
chr1	12724656	12724743	PRAMEF8_intron_2	intron	protein_coding	chr1	12724656	12725038
chr1	12725797	12726199	PRAMEF8_intron_3	intron	protein_coding	chr1	12725403	12726310
chr1	12746033	12746251	PRAMEF33_intron_1	intron	protein_coding	chr1	12744823	12747166
chr1	15937097	15937270	CROCCP3_intron_15	intron	transcribed_unprocessed_pseudogene	chr1	15934359	15940871
chr1	15992521	15992909	AL355149.1_exon_2	exon	unprocessed_pseudogene	chr1	15992380	15992909
chr1	15992909	15994094	AL355149.1_intron_2	intron	unprocessed_pseudogene	chr1	15992909	15994094
chr1	15994094	15994183	AL355149.1_exon_3	exon	unprocessed_pseudogene	chr1	15994094	15994211
chr1	15996489	15996621	BX284668.1_exon_1	exon	lncRNA	chr1	15996489	15996621
chr1	15996621	15996818	BX284668.1_intron_1	intron	lncRNA	chr1	15996621	15996818
chr1	15996818	15996856	BX284668.1_exon_2	exon	lncRNA	chr1	15996818	15996856
chr1	15996856	15997248	BX284668.1_intron_2	intron	lncRNA	chr1	15996856	15997248
chr1	15997248	15997543	BX284668.1_exon_3	exon	lncRNA	chr1	15997248	15997543
chr1	15997543	15997894	BX284668.1_intron_3	intron	lncRNA	chr1	15997543	15997894
chr1	15997894	15998044	BX284668.1_exon_4	exon	lncRNA	chr1	15997894	15998044
chr1	15998044	15998140	BX284668.1_intron_4	intron	lncRNA	chr1	15998044	15998140
chr1	15998140	15998361	BX284668.1_exon_5	exon	lncRNA	chr1	15998140	15998361
chr1	16006492	16006526	NBPF1_exon_2	CDS	protein_coding	chr1	16006467	16006526
chr1	16006526	16006636	NBPF1_intron_2	intron	protein_coding	chr1	16006526	16007297
chr1	16007322	16007466	NBPF1_exon_3	CDS	protein_coding	chr1	16007297	16007466
chr1	16007466	16007822	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16008104	16009951	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16011201	16012163	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16012721	16012836	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16012982	16013837	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16014379	16016143	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
chr1	16016464	16017391	NBPF1_intron_3	intron	protein_coding	chr1	16007466	16020628
