# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	91.654021	100.000000	91.672975
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	67.509363	51.136994
AC114498.1	lincRNA	-1.000000	-1.000000	0.000000	22.279459	20.216185
AL731661.1	lincRNA	-1.000000	-1.000000	62.360248	50.120192	56.139279
WBP1LP6	pseudogene	-1.000000	-1.000000	0.945626	-1.000000	0.945626
OR4F21	protein coding	7.552870	-1.000000	7.552870	-1.000000	7.552870
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.652174	20.168742	16.816005
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	13.309019	11.687007
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	4.262779	3.282182
SCNN1D	protein coding	0.000000	-1.000000	0.000000	11.786281	8.425454
MMP23B	protein coding	53.312160	-1.000000	53.312160	7.502800	40.103326
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.218259	5.087173
MMP23A	pseudogene	-1.000000	-1.000000	68.923328	75.244300	71.032609
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	4.160645	3.900160
PLCH2	protein coding	0.000000	-1.000000	0.000000	0.972284	0.842773
TTC34	protein coding	0.000000	-1.000000	0.000000	10.666314	10.247161
AC242022.2	lincRNA	-1.000000	-1.000000	0.000000	0.000000	13.458492
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.050490	0.049591
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	1.539843	1.254181
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.109652	0.101843
WRAP73	protein coding	0.000000	-1.000000	0.000000	1.827934	1.188400
C1orf174	protein coding	8.297242	-1.000000	8.297242	0.000000	3.259312
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.068027	0.067345
SLC45A1	protein coding	0.000000	-1.000000	0.000000	0.288481	0.257808
CASZ1	protein coding	0.000000	-1.000000	0.000000	0.090034	0.083663
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	2.883117	2.065501
PRAMEF7	protein coding	33.354715	-1.000000	33.354715	29.475309	31.593695
RNU6-1072P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF29P	pseudogene	-1.000000	-1.000000	40.158172	0.000000	21.855571
PRAMEF26	protein coding	12.728249	-1.000000	12.728249	0.000000	3.357892
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
