# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
SDCCAG8	protein coding	6.621679	16.603364	10.987186	36.247118	35.810077
FCF1P7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AKT3	protein coding	8.098160	47.616265	42.882340	5.268312	6.678867
ENSG00000236031	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000259066	protein coding	0.000000	0.000000	0.000000	87.810842	69.440395
GON7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
BTBD7	protein coding	0.000000	0.000000	0.000000	3.185284	2.863662
ENSG00000241499	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UNC79	protein coding	0.000000	0.000000	0.000000	36.600432	35.614442
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1258P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM181A-AS1	lincRNA	-1.000000	-1.000000	59.703104	35.070581	39.156519
FAM181A	protein coding	9.295775	30.769231	19.971671	93.345742	78.840769
ASB2	protein coding	28.607595	0.000000	14.431673	19.866453	19.357339
ENSG00000258987	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OTUB2	protein coding	0.000000	85.188332	70.943396	0.000000	13.315626
DDX24	protein coding	0.000000	97.025401	52.099785	0.000000	8.819687
IGHG3	other	-1.000000	0.000000	0.000000	7.133949	4.143726
IGHJ5	other	-1.000000	-1.000000	70.833333	-1.000000	70.833333
IGHJ4	other	-1.000000	-1.000000	75.555556	-1.000000	75.555556
FAM30A	lincRNA	-1.000000	-1.000000	0.000000	17.574842	14.134356
IGHD5-5	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-4	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-3	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-2	other	-1.000000	0.000000	9.855769	0.000000	8.183633
IGHV4-4	other	-1.000000	0.000000	0.000000	78.048780	12.851406
IGHV7-4-1	other	-1.000000	0.000000	10.224439	0.000000	8.453608
IGHV1-12	pseudogene	-1.000000	-1.000000	0.000000	41.176471	12.110727
IGHV1-17	pseudogene	-1.000000	-1.000000	0.000000	41.176471	8.373206
LINC00221	lincRNA	-1.000000	-1.000000	30.942092	54.478095	51.658989
IGHVIV-44-1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHVII-44-2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-45	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV1-46	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-46-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-47	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-48	other	-1.000000	39.240506	7.192575	0.000000	5.805243
IGHV3-49	other	-1.000000	38.750000	7.077626	0.000000	5.730129
IGHV4-59	other	-1.000000	0.000000	0.000000	78.048780	11.111111
BMERB1	protein coding	0.000000	7.666851	5.082267	17.982302	17.797148
MARF1	protein coding	62.672018	91.106719	71.940222	61.460797	63.128755
NDE1	protein coding	17.209632	72.505508	62.451713	35.083315	37.408120
MYH11	protein coding	46.608608	89.152893	52.543594	20.609851	22.049736
ENSG00000263065	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000257366	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3180-2	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000183889	protein coding	92.967651	62.324930	82.724719	90.167692	50.497798
ENSG00000277920	pseudogene	-1.000000	-1.000000	97.222222	-1.000000	97.222222
PKD1P2	pseudogene	-1.000000	-1.000000	1.913201	16.649049	9.773058
NPIPA7	protein coding	91.243433	74.345550	88.822206	100.000000	98.995415
ENSG00000261181	pseudogene	-1.000000	-1.000000	40.856031	0.000000	2.851711
ENSG00000260126	lincRNA	-1.000000	-1.000000	0.000000	90.913203	90.353702
ENSG00000261362	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TBC1D3G	protein coding	97.030303	98.067633	97.238372	100.000000	99.475862
TBC1D3F	protein coding	96.706989	90.605096	94.896030	100.000000	99.013518
TBC1D3JP	pseudogene	-1.000000	-1.000000	48.421053	51.475520	50.886453
ZNHIT3	protein coding	25.596184	72.357724	55.414747	71.951344	64.017033
RNA5SP439	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MYO19	protein coding	5.247225	33.625411	16.045009	5.389656	5.500115
GGNBP2	protein coding	0.000000	0.000000	0.000000	19.097135	16.879562
ENSG00000274756	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC02210-CRHR1	protein coding	0.000000	0.000000	0.000000	35.685753	35.239602
ENSG00000265547	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000265964	lincRNA	-1.000000	-1.000000	69.588551	100.000000	87.082067
ENSG00000279788	pseudogene	-1.000000	-1.000000	25.436893	4.357298	10.095137
ENSG00000279895	pseudogene	-1.000000	-1.000000	26.167315	4.214901	9.347282
