# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.507123	46.573604	29.964609
WASH7P	pseudogene	-1.000000	-1.000000	4.633205	35.988333	31.781390
MIR1302-10	lincRNA	-1.000000	-1.000000	50.490196	42.429907	47.717042
FAM138A	lincRNA	-1.000000	-1.000000	95.320197	98.381877	95.939751
RP11-34P13.7	lincRNA	-1.000000	-1.000000	0.000000	6.353340	5.841296
CICP27	pseudogene	-1.000000	-1.000000	13.513514	-1.000000	13.513514
AL627309.1	protein coding	0.000000	2.234043	1.578947	0.000000	0.937919
RP11-34P13.13	other	-1.000000	-1.000000	51.533742	28.262197	32.712733
RP11-34P13.9	lincRNA	-1.000000	-1.000000	36.622807	27.929374	31.603336
AP006222.2	lincRNA	-1.000000	-1.000000	6.223122	4.231470	4.430092
CICP7	pseudogene	-1.000000	-1.000000	86.470113	100.000000	88.057041
OR4F29	protein coding	100.000000	67.272727	98.189135	-1.000000	98.189135
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	64.044944	0.000000	63.333333
RP4-669L17.2	lincRNA	-1.000000	-1.000000	15.930599	28.488653	27.325836
RP5-857K21.15	lincRNA	-1.000000	-1.000000	49.777778	71.534196	65.143603
RP4-669L17.1	pseudogene	-1.000000	-1.000000	95.312500	-1.000000	95.312500
RP5-857K21.1	lincRNA	-1.000000	-1.000000	0.000000	22.119532	14.569805
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.412759	4.510436
OR4F16	protein coding	100.000000	65.454545	98.088531	-1.000000	98.088531
CICP3	pseudogene	-1.000000	-1.000000	3.952730	42.016807	8.786909
RP11-206L10.3	lincRNA	-1.000000	-1.000000	47.478905	32.565789	41.399488
RP11-206L10.2	lincRNA	-1.000000	-1.000000	0.000000	2.922990	2.643620
MMP23B	protein coding	56.605020	0.000000	51.440576	37.528090	37.630332
CDK11B	protein coding	7.414830	18.138801	9.587728	3.022520	4.056366
MMP23A	pseudogene	-1.000000	-1.000000	58.414960	70.673712	63.351064
CDK11A	protein coding	7.650951	13.838748	9.233610	2.757794	3.732000
MASP2	protein coding	0.000000	0.000000	0.000000	0.209875	0.183486
PRAMEF10	protein coding	0.000000	0.000000	0.000000	4.519481	3.237812
PRAMEF7	protein coding	42.315789	2.870813	33.369506	16.783831	24.204904
PRAMEF6	protein coding	40.600978	15.487179	34.219442	8.093629	8.932006
