# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000241860	lincRNA	-1.000000	-1.000000	18.444033	31.135723	28.174015
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	6.304891	5.795692
TMEM88B	protein coding	47.560976	38.032305	39.490050	69.520548	47.490876
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	11.006563	10.501487
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	9.913630	9.779281
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	0.239850	0.238183
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.397652	0.391752
PDE4DIPP2	pseudogene	-1.000000	-1.000000	0.000000	1.446635	1.382024
ENSG00000275075	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
PPIAL4F	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
LINC01632	lincRNA	-1.000000	-1.000000	37.420043	87.256003	84.176548
ENSG00000224363	lincRNA	-1.000000	-1.000000	0.000000	53.949208	53.464785
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	12.761938	0.000000	10.981308	10.338318	10.431604
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	100.000000	67.689822	72.535018	-1.000000	72.535018
ENSG00000271546	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B2P	pseudogene	-1.000000	-1.000000	47.202797	50.259249	50.112961
LINC01036	lincRNA	-1.000000	-1.000000	0.000000	0.272091	0.266300
RNA5S5	rRNA	-1.000000	-1.000000	84.745763	-1.000000	84.745763
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S9	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S11	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2G6	protein coding	0.000000	0.000000	0.000000	12.251301	8.310839
DUX4L29	pseudogene	-1.000000	-1.000000	0.294985	-1.000000	0.294985
ENSG00000276951	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
IGHJ3	other	-1.000000	-1.000000	2.083333	-1.000000	2.083333
IGHJ2P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000289536	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM30A	lincRNA	-1.000000	-1.000000	1.697381	2.089432	2.012684
IGHD1-26	other	-1.000000	-1.000000	10.526316	-1.000000	10.526316
IGHV3-64D	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-10-1	other	-1.000000	100.000000	25.183374	73.493976	33.333333
ENSG00000260409	lincRNA	-1.000000	-1.000000	15.865084	2.617274	3.419579
POTEB2	protein coding	17.308869	0.000000	16.785291	24.230927	23.825221
OR4N3BP	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000281113	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000281087	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000281179	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000260739	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RPS8P10	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1OR15-1	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000278552	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NPIPA3	protein coding	8.403361	18.396226	11.482558	19.777639	19.031006
ENSG00000261695	lincRNA	-1.000000	-1.000000	16.955017	25.059557	24.651932
NPIPA2	protein coding	8.403361	29.396985	12.979189	27.133583	26.006367
NOMO3	protein coding	11.646998	74.448529	19.338136	1.820476	6.402635
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000257563	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3180-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3670-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000257527	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3179-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NOMO2	protein coding	26.221597	63.715847	32.048234	22.347084	22.741328
NPIPB3	protein coding	13.058252	86.440678	28.097260	61.293918	59.395640
NPIPB5	protein coding	0.665004	69.372214	41.799177	44.113853	35.134288
ENSG00000261391	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
HERC2P5	pseudogene	-1.000000	-1.000000	51.110745	56.906787	55.897024
ENSG00000261682	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ABHD17AP9	pseudogene	-1.000000	-1.000000	35.100548	75.166667	67.729895
ENSG00000260419	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TP53TG3C	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000261507	lincRNA	-1.000000	-1.000000	69.573284	52.006128	52.082543
TP53TG3E	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
