# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000241860	lincRNA	-1.000000	-1.000000	20.150834	31.014901	28.479684
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	2.368742	2.177436
TMEM88B	protein coding	47.560976	38.032305	39.490050	69.520548	47.490876
TTC34	protein coding	0.000000	0.000000	0.000000	0.883845	0.842101
LINC01036	lincRNA	-1.000000	-1.000000	0.000000	0.314818	0.308117
AKT3	protein coding	2.822086	1.661518	1.800544	2.776036	2.739454
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2T1	protein coding	0.000000	74.520070	40.608654	21.087487	29.344328
OR2G6	protein coding	0.000000	0.000000	0.000000	12.350781	8.378322
DUX4L29	pseudogene	-1.000000	-1.000000	0.294985	-1.000000	0.294985
AP2A2	protein coding	23.746975	0.000000	11.125506	18.968087	18.413763
MUC6	protein coding	12.469055	7.480315	12.018490	26.898693	21.644696
ENSG00000231487	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM99A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276951	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000288954	lincRNA	-1.000000	-1.000000	0.000000	0.268959	0.265580
PRH1	protein coding	0.000000	0.000000	0.000000	0.000000	1.093328
BORCS5	protein coding	0.000000	0.000000	0.000000	1.349620	1.273707
ATP8A2	protein coding	0.000000	0.000000	0.000000	4.666906	4.596889
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC02336	lincRNA	-1.000000	-1.000000	0.000000	0.620372	0.616986
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
5_8S_rRNA	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UNC79	protein coding	0.000000	0.000000	0.000000	0.021121	0.020552
IGHJ4	other	-1.000000	-1.000000	11.111111	-1.000000	11.111111
IGHJ3	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ2P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000289536	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM30A	lincRNA	-1.000000	-1.000000	3.879728	82.687223	67.259712
IGHD1-26	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-25	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-24	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-23	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-22	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-21	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-20	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-19	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-18	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-17	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-16	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-15	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-14	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-13	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-12	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-11	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-10	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-9	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000288730	lincRNA	-1.000000	-1.000000	85.425101	-1.000000	85.425101
IGHD2-8	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-7	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-6	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-5	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-4	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-3	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-64D	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-10-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000260409	lincRNA	-1.000000	-1.000000	15.865084	2.391786	3.207747
ENSG00000259214	pseudogene	-1.000000	-1.000000	18.817204	-1.000000	18.817204
POTEB2	protein coding	17.308869	0.000000	16.785291	24.230927	23.825221
ENSG00000260739	lincRNA	-1.000000	-1.000000	11.580882	15.605278	14.648010
ENSG00000278552	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
HERC2	protein coding	0.000000	0.000000	0.000000	7.930492	7.353450
RPL41P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4509-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000274814	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000261041	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
HERC2P11	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
HERC2P9	pseudogene	-1.000000	-1.000000	13.650324	4.472208	5.314474
APBA2	protein coding	0.000000	0.000000	0.000000	2.090879	2.044203
FAM189A1	protein coding	0.000000	0.000000	0.000000	6.363136	6.289838
ENSG00000284906	protein coding	0.000000	0.000000	0.000000	1.578796	1.482614
KLF13	protein coding	0.000000	2.788162	2.452055	6.621881	10.914270
OTUD7A	protein coding	0.000000	0.000000	0.000000	5.911481	5.742670
ENSG00000277500	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CHRNA7	protein coding	0.000000	0.000000	0.000000	4.190404	4.052408
ENSG00000262728	lincRNA	-1.000000	-1.000000	5.905077	36.417224	34.551529
GOLGA8N	protein coding	91.153239	68.883056	76.820571	72.085386	73.906453
MEGF11	protein coding	2.675489	0.000000	1.341991	5.154557	5.080895
CPEB1	protein coding	0.000000	0.000000	0.000000	1.622228	1.505773
ABCC6	protein coding	8.692853	0.000000	7.049608	11.360436	11.021269
ENSG00000183889	protein coding	0.000000	0.000000	0.000000	0.000000	2.404513
PKD1P2	pseudogene	-1.000000	-1.000000	0.000000	3.585271	1.912324
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NOMO2	protein coding	0.000000	0.000000	0.000000	5.049713	4.844498
ENSG00000261507	lincRNA	-1.000000	-1.000000	0.000000	4.376196	4.357160
ENSG00000286968	pseudogene	-1.000000	-1.000000	38.375559	91.231733	60.391304
CCNYL3	pseudogene	-1.000000	-1.000000	10.030090	8.377364	8.414687
SNTB2	protein coding	0.000000	0.000000	0.000000	4.047800	3.723391
LINC02887	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280136	lincRNA	-1.000000	-1.000000	85.714286	81.484334	81.678191
ABR	protein coding	21.428571	0.000000	10.116320	8.191247	8.263674
ENSG00000285471	protein coding	0.000000	0.000000	0.000000	0.086614	0.086401
GGNBP2	protein coding	0.000000	0.000000	0.000000	11.435621	10.107709
ENSG00000274756	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
TADA2A	protein coding	6.447092	0.000000	1.991342	6.807488	6.502011
