# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11873	12227	DDX11L1_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	11869	12227
chr1	12227	12612	DDX11L1_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	12227	12612
chr1	12612	12683	DDX11L1_exon_2	exon	transcribed_unprocessed_pseudogene	chr1	12612	12721
chr1	17940	17969	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	17998	18061	WASH7P_exon_8	exon	unprocessed_pseudogene	chr1	17914	18061
chr1	18061	18249	WASH7P_intron_8	intron	unprocessed_pseudogene	chr1	18061	18267
chr1	18285	18366	WASH7P_exon_9	exon	unprocessed_pseudogene	chr1	18267	18366
chr1	18366	18517	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	18746	18819	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	20663	21061	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	21770	23042	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	23506	24577	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	24984	26641	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	26802	26969	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	27067	28231	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	29909	29959	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	29974	30039	MIR1302-2HG_exon_1	exon	lncRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-2HG_intron_1	intron	lncRNA	chr1	30039	30266
chr1	30266	30507	MIR1302-2HG_exon_2	exon	lncRNA	chr1	30266	30667
chr1	34554	35174	FAM138A_exon_1	exon	lncRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lncRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lncRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lncRNA	chr1	35481	35720
chr1	35720	36077	FAM138A_exon_3	exon	lncRNA	chr1	35720	36081
chr1	71274	71430	OR4F5_UTR_3	three_prime_UTR	protein_coding	chr1	70008	71585
chr1	96892	97219	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	100142	100270	ENSG00000238009_intron_2	intron	lncRNA	chr1	92240	110952
chr1	116645	118161	ENSG00000238009_intron_4	intron	lncRNA	chr1	112804	120720
chr1	130486	130996	ENSG00000238009_intron_6	intron	lncRNA	chr1	129223	133373
chr1	132140	132639	ENSG00000238009_intron_6	intron	lncRNA	chr1	129223	133373
chr1	132140	132639	CICP27_exon_1	exon	processed_pseudogene	chr1	131025	134836
chr1	135784	135825	ENSG00000268903_exon_1	exon	processed_pseudogene	chr1	135141	135895
chr1	140234	140339	ENSG00000239906_exon_2	exon	lncRNA	chr1	140074	140339
chr1	141474	143011	ENSG00000241860_exon_1	exon	lncRNA	chr1	141474	143011
chr1	143011	144096	ENSG00000241860_intron_1	intron	lncRNA	chr1	143011	146385
chr1	145274	146385	ENSG00000241860_intron_1	intron	lncRNA	chr1	143011	146385
chr1	146385	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149880	150138	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	150975	152630	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153218	153623	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153729	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	149707	149826	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155831	157192	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	157319	157548	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	158711	158863	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	159231	159913	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	160039	160177	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	160223	161451	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	161522	163674	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	163854	164262	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	164262	164791	ENSG00000241860_exon_4	exon	lncRNA	chr1	164262	164791
chr1	164791	165198	ENSG00000241860_intron_4	intron	lncRNA	chr1	164791	165490
chr1	165529	165942	ENSG00000241860_exon_5	exon	lncRNA	chr1	165490	165942
chr1	165942	166029	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	166085	167128	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	167128	167764	ENSG00000241860_exon_6	exon	lncRNA	chr1	167128	168165
chr1	168420	168609	ENSG00000241860_intron_6	intron	lncRNA	chr1	168165	168609
chr1	168609	168767	ENSG00000241860_exon_7	exon	lncRNA	chr1	168609	168767
chr1	168767	168918	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	168999	169048	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	169048	169264	ENSG00000241860_exon_8	exon	lncRNA	chr1	169048	169264
chr1	169264	169661	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	170751	171487	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	171900	172545	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	173282	173615	ENSG00000241860_intron_9	intron	lncRNA	chr1	172688	173752
