# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	18819	18872	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	26967	27066	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	149823	149881	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	153602	153745	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	160175	160228	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	161450	161522	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	163790	163822	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	166023	166090	ENSG00000241860_intron_5	intron	lncRNA	chr1	165942	167128
chr1	168352	168432	ENSG00000241860_intron_6	intron	lncRNA	chr1	168165	168609
chr1	168894	168994	ENSG00000241860_intron_7	intron	lncRNA	chr1	168767	169048
chr1	170486	170752	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	171472	171900	ENSG00000241860_intron_8	intron	lncRNA	chr1	169264	172556
chr1	172556	172655	ENSG00000241860_exon_9	exon	lncRNA	chr1	172556	172688
chr1	173668	173728	ENSG00000241860_intron_9	intron	lncRNA	chr1	172688	173752
chr1	161450	161522	ENSG00000241599_exon_2	exon	lncRNA	chr1	161313	161525
chr1	297888	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	347968	348016	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	487945	487978	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	488570	488721	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	488898	489136	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	875855	876358	FAM41C_intron_4	intron	lncRNA	chr1	875155	876745
chr1	905050	905120	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	908495	908800	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	909426	909489	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	934061	934880	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	964641	964788	KLHL17_intron_11	intron	protein_coding	chr1	964530	964962
chr1	976764	976899	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977037	977295	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977321	978129	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	1033626	1033770	AGRN_intron_2	intron	protein_coding	chr1	1022462	1034105
chr1	1040934	1041032	AGRN_intron_5	intron	protein_coding	chr1	1040880	1041172
chr1	1049084	1049180	AGRN_intron_25	intron	protein_coding	chr1	1049059	1049235
chr1	1064890	1065284	ENSG00000217801_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	1064589	1065351
chr1	1088133	1088383	C1orf159_intron_6	intron	protein_coding	chr1	1087597	1090352
chr1	1115517	1115684	C1orf159_intron_14	intron	protein_coding	chr1	1115075	1116059
chr1	1139795	1140046	LINC01342_intron_1	intron	lncRNA	chr1	1137110	1140824
chr1	1141106	1141590	LINC01342_intron_2	intron	lncRNA	chr1	1141032	1142738
chr1	1244759	1245303	C1QTNF12_intron_7	intron	protein_coding	chr1	1244497	1246513
chr1	1284041	1284090	SCNN1D_exon_5	CDS	protein_coding	chr1	1283977	1284090
chr1	1284090	1284382	SCNN1D_intron_4	intron	protein_coding	chr1	1284090	1285570
chr1	1288789	1288823	SCNN1D_intron_10	intron	protein_coding	chr1	1288037	1290270
chr1	1288924	1288960	SCNN1D_intron_10	intron	protein_coding	chr1	1288037	1290270
chr1	1289021	1289162	SCNN1D_intron_10	intron	protein_coding	chr1	1288037	1290270
chr1	1289828	1289859	SCNN1D_intron_10	intron	protein_coding	chr1	1288037	1290270
chr1	1315700	1315851	INTS11_intron_13	intron	protein_coding	chr1	1315618	1318678
chr1	1322521	1322758	INTS11_intron_17	intron	protein_coding	chr1	1321984	1322891
chr1	1323888	1324198	INTS11_intron_18	intron	protein_coding	chr1	1323287	1324580
chr1	1428030	1428100	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	1428135	1428165	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	1518630	1518673	ATAD3A_intron_5	intron	protein_coding	chr1	1517775	1518920
chr1	1539995	1540159	TMEM240_intron_3	intron	protein_coding	chr1	1539790	1540289
chr1	1629839	1629922	MIB2_intron_22	intron	protein_coding	chr1	1629704	1630291
chr1	1630161	1630239	MIB2_intron_22	intron	protein_coding	chr1	1629704	1630291
chr1	1667069	1667132	SLC35E2B_intron_2	intron	protein_coding	chr1	1666019	1668326
chr1	1924050	1924305	CFAP74_intron_5	intron	protein_coding	chr1	1923929	1924390
chr1	1929352	1929384	CFAP74_intron_13	intron	protein_coding	chr1	1928882	1930059
chr1	1969207	1969329	CFAP74_intron_29	intron	protein_coding	chr1	1968833	1970658
chr1	1988862	1988888	CFAP74_intron_37	intron	protein_coding	chr1	1988655	1988888
chr1	2121899	2121933	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2122152	2122516	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2122568	2123030	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2123167	2123254	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2123364	2123710	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2123793	2123925	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2123985	2124265	PRKCZ_intron_14	intron	protein_coding	chr1	2116310	2133637
chr1	2169714	2169819	PRKCZ_intron_24	intron	protein_coding	chr1	2169604	2172054
chr1	2175395	2175464	PRKCZ_intron_29	intron	protein_coding	chr1	2175313	2184582
chr1	2281479	2281556	SKI_intron_1	intron	protein_coding	chr1	2229735	2302977
chr1	2289534	2289577	SKI_intron_1	intron	protein_coding	chr1	2229735	2302977
chr1	2309677	2309817	SKI_UTR_2	three_prime_UTR	protein_coding	chr1	2306765	2310213
chr1	2401284	2401309	RER1_intron_6	intron	protein_coding	chr1	2400935	2402096
chr1	2450454	2450827	PLCH2_intron_2	intron	protein_coding	chr1	2430629	2467458
chr1	2462089	2462429	PLCH2_intron_2	intron	protein_coding	chr1	2430629	2467458
chr1	2500713	2500987	PLCH2_intron_23	intron	protein_coding	chr1	2499720	2502111
chr1	2514504	2514717	PANK4_intron_9	intron	protein_coding	chr1	2514466	2515561
chr1	2592294	2592631	MMEL1_intron_3	intron	protein_coding	chr1	2592027	2592654
chr1	2634725	2634864	MMEL1-AS1_intron_1	intron	lncRNA	chr1	2632675	2636355
chr1	2634983	2635076	MMEL1-AS1_intron_1	intron	lncRNA	chr1	2632675	2636355
chr1	2640978	2641240	TTC34_UTR_1	three_prime_UTR	protein_coding	chr1	2636986	2641367
chr1	2644912	2645142	TTC34_intron_2	intron	protein_coding	chr1	2644478	2645292
chr1	2651907	2652073	TTC34_intron_3	intron	protein_coding	chr1	2645563	2783608
chr1	2660539	2660685	TTC34_intron_3	intron	protein_coding	chr1	2645563	2783608
