# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.108262	46.573604	29.689343
WASH7P	pseudogene	-1.000000	-1.000000	7.722008	36.399671	32.551965
MIR1302-10	lincRNA	-1.000000	-1.000000	50.392157	42.429907	47.652733
FAM138A	lincRNA	-1.000000	-1.000000	95.320197	98.381877	95.939751
RP11-34P13.7	lincRNA	-1.000000	-1.000000	0.000000	6.372995	5.859366
CICP27	pseudogene	-1.000000	-1.000000	13.461034	-1.000000	13.461034
AL627309.1	protein coding	0.000000	6.276596	4.436090	0.000000	2.635105
RP11-34P13.13	other	-1.000000	-1.000000	51.194705	28.365274	32.731258
RP11-34P13.9	lincRNA	-1.000000	-1.000000	36.842105	30.176565	32.993513
AP006222.2	lincRNA	-1.000000	-1.000000	6.400202	4.209051	4.427570
CICP7	pseudogene	-1.000000	-1.000000	85.379645	100.000000	87.094474
OR4F29	protein coding	100.000000	67.272727	98.189135	-1.000000	98.189135
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	64.044944	0.000000	63.333333
RP4-669L17.2	lincRNA	-1.000000	-1.000000	15.930599	28.504748	27.340441
RP5-857K21.15	lincRNA	-1.000000	-1.000000	49.777778	71.534196	65.143603
RP4-669L17.1	pseudogene	-1.000000	-1.000000	94.270833	-1.000000	94.270833
RP5-857K21.1	lincRNA	-1.000000	-1.000000	0.000000	22.119532	14.569805
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.289777	4.398375
OR4F16	protein coding	100.000000	65.454545	98.088531	-1.000000	98.088531
CICP3	pseudogene	-1.000000	-1.000000	4.156479	41.736695	8.929207
RP11-206L10.3	lincRNA	-1.000000	-1.000000	47.026137	32.954545	41.289772
RP11-206L10.2	lincRNA	-1.000000	-1.000000	0.000000	2.955111	2.672670
MMP23B	protein coding	57.331572	0.000000	52.100840	37.528090	37.977883
CDK11B	protein coding	7.454910	18.769716	9.747523	2.956813	4.026170
MMP23A	pseudogene	-1.000000	-1.000000	59.394479	70.673712	63.936170
CDK11A	protein coding	7.692308	14.320096	9.387504	2.697842	3.704218
PRAMEF10	protein coding	0.000000	0.000000	0.000000	4.519481	3.237812
PRAMEF7	protein coding	41.824561	2.392344	32.881172	16.783831	23.986404
