# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.567474	47.766749	31.929134
WASH7P	pseudogene	-1.000000	-1.000000	9.481481	43.912855	40.847949
MIR1302-2HG	lincRNA	-1.000000	-1.000000	34.803922	42.429907	37.427653
FAM138A	lincRNA	-1.000000	-1.000000	99.671593	100.000000	99.738048
OR4F5	protein coding	0.000000	8.251834	5.158579	0.000000	2.189426
ENSG00000238009	lincRNA	-1.000000	-1.000000	0.000000	7.114955	6.518412
CICP27	pseudogene	-1.000000	-1.000000	12.909997	-1.000000	12.909997
ENSG00000239906	lincRNA	-1.000000	-1.000000	32.608696	0.000000	19.125683
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.114316	68.264197	73.829814
ENSG00000241599	lincRNA	-1.000000	-1.000000	83.991228	100.000000	93.234476
WASH9P	pseudogene	-1.000000	-1.000000	17.120344	19.345306	19.040612
ENSG00000228463	pseudogene	-1.000000	-1.000000	19.530585	5.459752	6.596148
ENSG00000286448	lincRNA	-1.000000	-1.000000	11.156463	0.000000	4.555556
ENSG00000236601	lincRNA	-1.000000	-1.000000	32.266910	53.351910	50.145935
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	84.329564	100.000000	86.167558
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	2.444274	3.627959
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
