# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	12552	12625	AP006222.2_intron_1	intron	lncRNA	chr1	11831	12899
chr1	14353	14452	AC114498.1_intron_1	intron	lncRNA	chr1	14353	20565
chr1	112495	112615	OR4F21_exon_1	CDS	protein_coding	chr1	111903	112896
chr1	178449	178508	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	304838	306273	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	338512	338829	AL645608.6_intron_1	intron	lncRNA	chr1	334946	345393
chr1	405429	407960	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	463766	463894	AGRN_intron_2	intron	protein_coding	chr1	452593	464241
chr1	471076	471107	AGRN_intron_5	intron	protein_coding	chr1	471017	471298
chr1	471129	471168	AGRN_intron_5	intron	protein_coding	chr1	471017	471298
chr1	479148	479238	AGRN_intron_24	intron	protein_coding	chr1	479123	479298
chr1	494951	495099	AL390719.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	494633	495366
chr1	495125	495297	AL390719.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	494633	495366
chr1	516757	516996	C1orf159_intron_4	intron	protein_coding	chr1	516250	518966
chr1	544132	544199	C1orf159_intron_8	intron	protein_coding	chr1	543690	544674
chr1	544234	544277	C1orf159_intron_8	intron	protein_coding	chr1	543690	544674
chr1	567932	567990	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	568442	568660	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
