# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	32.237601	69.975186	44.212598
WASH7P	pseudogene	-1.000000	-1.000000	29.629630	61.689346	58.835553
MIR1302-2HG	lincRNA	-1.000000	-1.000000	69.607843	54.018692	64.244373
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4G4P	pseudogene	-1.000000	-1.000000	6.674613	-1.000000	6.674613
OR4G11P	pseudogene	-1.000000	-1.000000	0.000000	2.076396	1.626266
OR4F5	protein coding	0.000000	36.491443	22.812381	1.887856	10.768732
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.348993	18.057637	16.908256
CICP27	pseudogene	-1.000000	-1.000000	23.196012	-1.000000	23.196012
ENSG00000239906	lincRNA	-1.000000	-1.000000	64.285714	0.000000	37.704918
ENSG00000241860	lincRNA	-1.000000	-1.000000	94.548822	83.733387	86.257256
ENSG00000241599	lincRNA	-1.000000	-1.000000	78.289474	100.000000	90.824838
WASH9P	pseudogene	-1.000000	-1.000000	20.845272	23.732667	23.337257
ENSG00000228463	pseudogene	-1.000000	-1.000000	31.071385	10.932325	12.558806
ENSG00000286448	lincRNA	-1.000000	-1.000000	23.401361	0.000000	9.555556
ENSG00000236601	lincRNA	-1.000000	-1.000000	81.444241	67.251270	69.409312
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	98.263328	100.000000	98.467023
ENSG00000235146	lincRNA	-1.000000	-1.000000	22.082019	6.056879	7.480039
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	26.609617	100.000000	35.930274
MMP23B	protein coding	39.828269	0.000000	37.734668	24.300112	26.451613
CDK11B	protein coding	3.712960	0.000000	2.980797	3.069268	3.056291
MMP23A	pseudogene	-1.000000	-1.000000	40.452756	49.635922	44.565217
CDK11A	protein coding	4.301075	1.985112	3.529087	3.258678	3.303303
PLCH2	protein coding	0.000000	0.000000	0.000000	4.851204	4.471289
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
HES5	protein coding	10.778443	12.043796	11.564626	50.769231	16.600791
ENSG00000272449	lincRNA	-1.000000	-1.000000	2.465931	100.000000	91.365543
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	51.157106	28.717949	48.080439
TNFRSF14	protein coding	7.814270	43.404488	31.808118	17.403668	21.410243
ENSG00000228037	lincRNA	-1.000000	-1.000000	0.000000	1.746167	1.379078
PRXL2B	protein coding	0.000000	97.795879	71.664326	0.000000	41.020490
MMEL1	protein coding	4.273504	65.055762	15.635858	1.182308	2.163910
TTC34	protein coding	5.154321	0.000000	2.146806	9.706999	9.349937
ENSG00000285945	lincRNA	-1.000000	-1.000000	100.000000	100.000000	86.017306
PRAMEF10	protein coding	0.000000	0.000000	0.000000	5.584416	4.000744
PRAMEF7	protein coding	42.666667	8.488613	34.014675	31.392745	32.600821
PRAMEF29P	pseudogene	-1.000000	-1.000000	48.769772	42.392445	45.863223
PRAMEF6	protein coding	31.795947	1.420455	25.799215	49.665529	44.993412
PRAMEF28P	pseudogene	-1.000000	-1.000000	0.000000	3.129657	1.504837
PRAMEF27	protein coding	60.473208	56.188605	59.352518	23.035125	32.990562
HNRNPCL3	protein coding	84.013605	82.347140	83.122363	0.000000	74.727359
PRAMEF25	protein coding	100.000000	59.212880	88.577154	57.398419	64.157706
PRAMEF34P	pseudogene	-1.000000	-1.000000	99.930844	100.000000	99.964183
HNRNPCL2	protein coding	3.174603	0.000000	2.424242	0.000000	2.049780
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.586492	100.000000	99.785484
