# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	0.560915	0.485657
RP11-34P13.13	other	-1.000000	-1.000000	0.000000	2.618920	2.118068
RP11-34P13.9	lincRNA	-1.000000	-1.000000	9.868421	0.000000	4.170528
CICP7	pseudogene	-1.000000	-1.000000	13.691438	0.000000	12.085561
RP4-669L17.1	pseudogene	-1.000000	-1.000000	4.687500	-1.000000	4.687500
RP5-857K21.1	lincRNA	-1.000000	-1.000000	3.210464	0.000000	1.095779
RP11-206L10.1	pseudogene	-1.000000	-1.000000	3.967611	0.000000	2.557411
RP11-206L10.3	lincRNA	-1.000000	-1.000000	2.078617	0.000000	1.231257
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
RP11-54O7.16	lincRNA	-1.000000	-1.000000	0.000000	4.141957	4.011847
SAMD11	protein coding	0.000000	0.000000	0.000000	4.806046	4.133029
KLHL17	protein coding	0.000000	0.000000	0.000000	5.799922	2.905616
C1orf170	protein coding	0.000000	0.000000	0.000000	31.258106	17.418329
AGRN	protein coding	0.000000	0.000000	0.000000	1.220194	0.969633
RP11-465B22.3	pseudogene	-1.000000	-1.000000	0.000000	5.274460	4.084814
C1orf159	protein coding	0.000000	0.000000	0.000000	1.333858	1.178242
RP11-465B22.5	lincRNA	-1.000000	-1.000000	0.000000	13.210332	10.171899
FAM132A	protein coding	0.000000	0.000000	0.000000	16.666667	12.605239
SCNN1D	protein coding	1.968662	0.000000	1.217694	5.099749	3.752264
CPSF3L	protein coding	0.000000	0.000000	0.000000	6.876677	5.280024
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190806
TMEM240	protein coding	0.000000	0.000000	0.000000	3.599823	3.087706
MIB2	protein coding	0.000000	0.000000	0.000000	1.256213	0.914775
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.253175	0.201742
C1orf222	protein coding	0.333847	0.000000	0.317926	0.549529	0.534929
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.896885	0.861960
C1orf86	protein coding	0.000000	0.000000	0.000000	0.000000	1.206823
SKI	protein coding	0.000000	4.116788	2.512473	0.164882	0.326685
PLCH2	protein coding	0.000000	0.000000	0.000000	0.852785	0.784412
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674481
TTC34	protein coding	0.000000	0.000000	0.000000	0.142452	0.139855
PRDM16	protein coding	0.000000	0.000000	0.000000	0.105417	0.102855
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.917351	0.783153
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.453218
NPHP4	protein coding	0.000000	0.000000	0.000000	0.034494	0.033163
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.468155	0.435627
ACOT7	protein coding	0.000000	0.000000	0.000000	0.054003	0.052259
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.014559	0.014425
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.186088	0.175916
PLOD1	protein coding	0.000000	0.000000	0.000000	1.074468	0.977427
PRAMEF10	protein coding	0.000000	0.000000	0.000000	4.181818	2.995906
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.254897	0.246717
PRAMEF3	protein coding	15.145228	22.374429	17.403709	5.743001	12.757437
PRAMEF5	protein coding	1.187980	0.000000	0.916936	1.476165	1.363932
RP11-219C24.8	pseudogene	-1.000000	-1.000000	15.463918	17.531832	16.475096
PRAMEF8	protein coding	8.421053	0.000000	6.511123	0.000000	2.913328
PRAMEF9	protein coding	0.000000	0.000000	0.000000	1.280807	0.940841
PRAMEF21	protein coding	0.000000	0.000000	0.000000	0.754229	0.643560
PRAMEF20	protein coding	0.000000	0.000000	0.000000	2.258065	1.927313
KAZN	protein coding	0.000000	0.000000	0.000000	0.019805	0.019448
CASP9	protein coding	0.000000	1.582953	1.119724	0.465780	0.759061
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	0.010313
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.112324	0.108834
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.567980	0.523642
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.051444	0.050484
ECE1	protein coding	0.000000	0.000000	0.000000	0.155710	0.148140
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.949487	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.134779	0.128898
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.424818	0.293300
CNR2	protein coding	0.000000	0.000000	0.000000	2.471529	2.318909
PNRC2	protein coding	0.000000	2.180527	1.677721	21.843575	9.970136
SRSF10	protein coding	0.000000	2.969349	2.540567	5.586710	4.236184
RP11-4M23.7	pseudogene	-1.000000	-1.000000	48.929664	35.048232	42.163009
CLIC4	protein coding	0.000000	0.000000	0.000000	0.711251	0.680025
C1orf63	protein coding	0.000000	0.000000	0.000000	0.036170	0.035426
RHD	protein coding	2.078240	0.000000	1.097128	0.000000	0.058568
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.769078	1.353841
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.149189	0.136959
WDTC1	protein coding	0.000000	0.000000	0.000000	0.050506	0.047232
EPB41	protein coding	0.000000	0.000000	0.000000	0.022068	0.021464
MATN1	protein coding	0.000000	0.000000	0.000000	2.865904	1.974005
SDC3	protein coding	0.000000	0.000000	0.000000	0.309911	0.257037
PUM1	protein coding	0.000000	0.000000	0.000000	0.143899	0.137562
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.212164	0.175582
LCK	protein coding	0.000000	0.000000	0.000000	0.717511	0.664262
YARS	protein coding	0.000000	0.000000	0.000000	0.171384	0.158456
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.795752	3.516606
PHC2	protein coding	0.000000	0.000000	0.000000	0.266977	0.254121
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109957
RP5-1180C18.1	lincRNA	-1.000000	-1.000000	0.000000	0.132759	0.131492
RLF	protein coding	0.000000	0.000000	0.000000	0.039562	0.036456
HIVEP3	protein coding	0.000000	0.000000	0.000000	0.009752	0.007365
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.142345	0.136188
ST3GAL3	protein coding	0.000000	0.000000	0.000000	0.316706	0.310647
