# This table shows the intersection of dark by MAPQ regions by a gene annotation gff3, showing where dark by MAPQ regions fall within gene body elements
# chrom : Chromosome of dark by MAPQ region
# region_start : start position of dark by MAPQ region within gene-body element
# region_end : end position of dark by MAPQ region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by MAPQ region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by MAPQ reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	103817769	103817825	RP11-347K2.1_exon_1	exon	lincRNA	chr1	103817769	103817825
chr1	103822713	103823262	RP11-347K2.1_intron_1	intron	lincRNA	chr1	103817825	103827994
chr1	103817825	103822049	RP11-347K2.1_intron_1	intron	lincRNA	chr1	103817825	103827994
chr1	103820969	103821114	RP11-347K2.2_exon_1	exon	lincRNA	chr1	103820969	103821114
chr1	103821114	103821643	RP11-347K2.2_intron_1	intron	lincRNA	chr1	103821114	103821643
chr1	103821643	103821705	RP11-347K2.2_exon_2	exon	lincRNA	chr1	103821643	103821705
chr1	103822713	103823262	RP11-347K2.2_intron_2	intron	lincRNA	chr1	103821705	103832176
chr1	103821705	103822049	RP11-347K2.2_intron_2	intron	lincRNA	chr1	103821705	103832176
chr1	144195191	144195343	NBPF8_intron_54	intron	protein_coding	chr1	144194693	144195343
chr1	144195343	144195516	NBPF8_exon_55	CDS	protein_coding	chr1	144195343	144195516
chr1	144195516	144196230	NBPF8_intron_55	intron	protein_coding	chr1	144195516	144196230
chr1	144196230	144196339	NBPF8_exon_56	CDS	protein_coding	chr1	144196230	144196339
chr1	144196339	144196975	NBPF8_intron_56	intron	protein_coding	chr1	144196339	144196975
chrY	20230369	20230696	TCEB1P12_exon_1	exon	pseudogene	chrY	20230369	20230696
chrY	20242567	20242716	OFD1P2Y_exon_1	exon	pseudogene	chrY	20242567	20242716
chrY	20242716	20244335	OFD1P2Y_intron_1	intron	pseudogene	chrY	20242716	20244335
chrY	20244335	20244426	OFD1P2Y_exon_2	exon	pseudogene	chrY	20244335	20244426
chrY	20244426	20247441	OFD1P2Y_intron_2	intron	pseudogene	chrY	20244426	20247441
chrY	20247441	20247561	OFD1P2Y_exon_3	exon	pseudogene	chrY	20247441	20247561
chrY	20247561	20248864	OFD1P2Y_intron_3	intron	pseudogene	chrY	20247561	20248864
chrY	20248864	20248970	OFD1P2Y_exon_4	exon	pseudogene	chrY	20248864	20248970
chrY	20248970	20252059	OFD1P2Y_intron_4	intron	pseudogene	chrY	20248970	20252059
chrY	20252059	20252206	OFD1P2Y_exon_5	exon	pseudogene	chrY	20252059	20252206
chrY	20252206	20252530	OFD1P2Y_intron_5	intron	pseudogene	chrY	20252206	20252530
chrY	20252530	20252667	OFD1P2Y_exon_6	exon	pseudogene	chrY	20252530	20252667
chrY	20252667	20254190	OFD1P2Y_intron_6	intron	pseudogene	chrY	20252667	20254190
chrY	20254190	20254221	OFD1P2Y_exon_7	exon	pseudogene	chrY	20254190	20254221
chrY	20254221	20254306	OFD1P2Y_intron_7	intron	pseudogene	chrY	20254221	20254306
chrY	20254306	20254374	OFD1P2Y_exon_8	exon	pseudogene	chrY	20254306	20254374
chrY	20254374	20256568	OFD1P2Y_intron_8	intron	pseudogene	chrY	20254374	20256568
chrY	20256568	20256769	OFD1P2Y_exon_9	exon	pseudogene	chrY	20256568	20256769
chrY	20256769	20257990	OFD1P2Y_intron_9	intron	pseudogene	chrY	20256769	20257990
chrY	20257990	20258088	OFD1P2Y_exon_10	exon	pseudogene	chrY	20257990	20258088
chrY	20267200	20267292	TRAPPC2P8_exon_1	exon	pseudogene	chrY	20267200	20267292
chrY	20267292	20269241	TRAPPC2P8_intron_1	intron	pseudogene	chrY	20267292	20269241
chrY	20269241	20269388	TRAPPC2P8_exon_2	exon	pseudogene	chrY	20269241	20269388
chrY	20269388	20269832	TRAPPC2P8_intron_2	intron	pseudogene	chrY	20269388	20269832
chrY	20269832	20269988	TRAPPC2P8_exon_3	exon	pseudogene	chrY	20269832	20269988
chrY	20278413	20278550	USP9YP15_exon_1	exon	pseudogene	chrY	20278413	20278550
chrY	20278550	20278705	USP9YP15_intron_1	intron	pseudogene	chrY	20278550	20278705
chrY	20278705	20278734	USP9YP15_exon_2	exon	pseudogene	chrY	20278705	20278734
chrY	20278734	20278946	USP9YP15_intron_2	intron	pseudogene	chrY	20278734	20278946
chrY	20278946	20279105	USP9YP15_exon_3	exon	pseudogene	chrY	20278946	20279105
chrY	20279105	20279485	USP9YP15_intron_3	intron	pseudogene	chrY	20279105	20279485
chrY	20279485	20279581	USP9YP15_exon_4	exon	pseudogene	chrY	20279485	20279581
chrY	20283081	20283269	USP9YP16_exon_1	exon	pseudogene	chrY	20283081	20283269
chrY	20283269	20284894	USP9YP16_intron_1	intron	pseudogene	chrY	20283269	20284894
chrY	20284894	20284986	USP9YP16_exon_2	exon	pseudogene	chrY	20284894	20284986
chrY	20284986	20285559	USP9YP16_intron_2	intron	pseudogene	chrY	20284986	20285559
chrY	20285559	20285685	USP9YP16_exon_3	exon	pseudogene	chrY	20285559	20285685
chrY	20290496	20290830	AC024183.3_exon_1	exon	pseudogene	chrY	20290496	20290830
chrY	20290830	20297334	AC024183.3_intron_1	intron	pseudogene	chrY	20290830	20297334
chrY	20297334	20298913	AC024183.3_exon_2	exon	pseudogene	chrY	20297334	20298913
chrY	20309770	20310894	ACTG1P11_exon_1	exon	pseudogene	chrY	20309770	20310894
chrY	20323252	20323355	PRYP2_exon_1	exon	pseudogene	chrY	20323252	20323355
chrY	20323355	20325863	PRYP2_intron_1	intron	pseudogene	chrY	20323355	20325863
chrY	20325863	20325979	PRYP2_exon_2	exon	pseudogene	chrY	20325863	20325979
chrY	20325979	20338098	PRYP2_intron_2	intron	pseudogene	chrY	20325979	20338098
chrY	20338098	20338370	PRYP2_exon_3	exon	pseudogene	chrY	20338098	20338370
chrY	20340818	20341146	TCEB1P26_exon_1	exon	pseudogene	chrY	20340818	20341146
chrY	20344721	20346300	CDY9P_exon_1	exon	pseudogene	chrY	20344721	20346300
chrY	25833026	25833241	PRYP3_intron_2	intron	pseudogene	chrY	25829589	25837903
chrY	25833673	25837903	PRYP3_intron_2	intron	pseudogene	chrY	25829589	25837903
chrY	25837903	25838019	PRYP3_exon_3	exon	pseudogene	chrY	25837903	25838019
chrY	25838019	25840605	PRYP3_intron_3	intron	pseudogene	chrY	25838019	25840605
chrY	25840605	25840726	PRYP3_exon_4	exon	pseudogene	chrY	25840605	25840726
