region_id	chrom	length
1 #chrom 0
2 chr1 1581
3 chr1 196
4 chr1 742
5 chr1 1260
6 chr1 1026
7 chr1 1998
8 chr1 1361
9 chr1 742
10 chr1 1798
11 chr1 4758
12 chr1 333
13 chr1 143
14 chr1 322
15 chr1 1220
16 chr1 4264
17 chr1 369
18 chr1 322
19 chr1 343
20 chr1 350
21 chr1 346
22 chr1 195
23 chr1 248
24 chr1 122
25 chr1 525
26 chr1 1512
27 chr1 30
28 chr1 575
29 chr1 515
30 chr1 42
31 chr1 66
32 chr1 3895
33 chr1 2213
34 chr1 1328
35 chr1 1700
36 chr1 465
37 chr1 3156
38 chr1 266
39 chr1 854
40 chr1 325
41 chr1 583
42 chr1 270
43 chr1 142
44 chr1 494
45 chr1 847
46 chr1 127
47 chr1 516
48 chr1 676
49 chr1 704
50 chr1 136
51 chr1 452
52 chr1 353
53 chr1 259
54 chr1 656
55 chr1 965
56 chr1 259
57 chr1 387
58 chr1 268
59 chr1 608
60 chr1 895
61 chr1 718
62 chr1 6613
63 chr1 1743
64 chr1 111
65 chr1 1677
66 chr1 878
67 chr1 181
68 chr1 631
69 chr1 4679
70 chr1 610
71 chr1 9253
72 chr1 1062
73 chr1 920
74 chr1 882
75 chr1 1700
76 chr1 114
77 chr1 472
78 chr1 399
79 chr1 2244
80 chr1 19470
81 chr1 267
82 chr1 1520
83 chr1 14302
84 chr1 2852
85 chr1 4855
86 chr1 3278
87 chr1 1606
88 chr1 5829
89 chr1 1293
90 chr1 2852
91 chr1 17646
92 chr1 3677
93 chr1 224
94 chr1 7080
95 chr1 888
96 chr1 2960
97 chr1 9088
98 chr1 359
99 chr1 63
100 chr1 571
101 chr1 121
102 chr1 363
103 chr1 581
104 chr1 405
105 chr1 490
106 chr1 837
107 chr1 589
108 chr1 326
109 chr1 179
110 chr1 203
111 chr1 182
112 chr1 802
113 chr1 407
114 chr1 812
115 chr1 701
116 chr1 469
117 chr1 690
118 chr1 1032
119 chr1 541
120 chr1 145
121 chr1 332
122 chr1 2684
123 chr1 438
124 chr1 835
125 chr1 815
126 chr1 3250
127 chr1 1697
128 chr1 2393
129 chr1 142
130 chr1 654
131 chr1 388
132 chr1 843
133 chr1 1259
134 chr1 3261
135 chr1 73
136 chr1 198
137 chr1 126
138 chr1 485
139 chr1 827
140 chr1 247
141 chr1 745
142 chr1 235
143 chr1 2514
144 chr1 795
145 chr1 656
146 chr1 1144
147 chr1 403
148 chr1 228
149 chr1 204
150 chr1 282
151 chr1 364
152 chr1 230
153 chr1 302
154 chr1 59
155 chr1 182
156 chr1 213
157 chr1 269
158 chr1 30
159 chr1 56
160 chr1 25
161 chr1 1235
162 chr1 521
163 chr1 426
164 chr1 81
165 chr1 1266
166 chr1 436
167 chr1 617
168 chr1 276
169 chr1 847
170 chr1 431
171 chr1 3020
172 chr1 657
173 chr1 4297
174 chr1 174
175 chr1 501
176 chr1 224
177 chr1 882
178 chr1 149
179 chr1 1980
180 chr1 387
181 chr1 170
182 chr1 312
183 chr1 56
184 chr1 125
185 chr1 192
186 chr1 43
187 chr1 258
188 chr1 395
189 chr1 364
190 chr1 134
191 chr1 256
192 chr1 473
193 chr1 70
194 chr1 174
195 chr1 1027
196 chr1 1086
197 chr1 25
198 chr1 256
199 chr1 993
200 chr1 466
201 chr1 363
202 chr1 599
203 chr1 765
204 chr1 534
205 chr1 931
206 chr1 504
207 chr1 597
208 chr1 435
209 chr1 789
210 chr1 638
211 chr1 1715
212 chr1 1736
213 chr1 428
214 chr1 1552
215 chr1 335
216 chr1 1139
217 chr1 4428
218 chr1 83
219 chr1 1854
220 chr1 397
221 chr1 291
222 chr1 1114
223 chr1 1954
224 chr1 3308
225 chr1 337
226 chr1 442
227 chr1 451
228 chr1 486
229 chr1 381
230 chr1 683
231 chr1 730
232 chr1 344
233 chr1 1231
234 chr1 1932
235 chr1 2128
236 chr1 1413
237 chr1 212
238 chr1 840
239 chr1 423
240 chr1 344
241 chr1 405
242 chr1 4317
243 chr1 472
244 chr1 403
245 chr1 1511
246 chr1 1295
247 chr1 24
248 chr1 1799
249 chr1 338
250 chr1 2533
251 chr1 1626
252 chr1 809
253 chr1 904
254 chr1 172
255 chr1 954
256 chr1 715
257 chr1 1412
258 chr1 654
259 chr1 899
260 chr1 3228
261 chr1 2229
262 chr1 115
263 chr1 555
264 chr1 288
265 chr1 1994
266 chr1 54
267 chr1 84
268 chr1 273
269 chr1 71
270 chr1 2039
271 chr1 2816
272 chr1 5158
273 chr1 14957
274 chr1 870
275 chr1 6725
276 chr1 1586
277 chr1 4000
278 chr1 241
279 chr1 1505
280 chr1 726
281 chr1 121
282 chr1 1106
283 chr1 3371
284 chr1 2362
285 chr1 4905
286 chr1 5613
287 chr1 594
288 chr1 8925
289 chr1 437
290 chr1 6836
291 chr1 4760
292 chr1 607
293 chr1 45
294 chr1 362
295 chr1 1063
296 chr1 675
297 chr1 877
298 chr1 428
299 chr1 1724
300 chr1 924
301 chr1 816
302 chr1 5079
303 chr1 563
304 chr1 367
305 chr1 671
306 chr1 11954
307 chr1 5984
308 chr1 4973
309 chr1 160
310 chr1 595
311 chr1 113
312 chr1 1014
313 chr1 208
314 chr1 1721
315 chr1 120
316 chr1 2824
317 chr1 5114
318 chr1 15177
319 chr1 603
320 chr1 3647
321 chr1 2003
322 chr1 1367
323 chr1 3283
324 chr1 276
325 chr1 1508
326 chr1 986
327 chr1 85
328 chr1 3468
329 chr1 2410
330 chr1 4888
331 chr1 5465
332 chr1 908
333 chr1 9343
334 chr1 609
335 chr1 6997
336 chr1 5121
337 chr1 1003
338 chr1 98
339 chr1 375
340 chr1 847
341 chr1 212
342 chr1 510
343 chr1 439
344 chr1 1561
345 chr1 774
346 chr1 910
347 chr1 4841
348 chr1 601
349 chr1 447
350 chr1 12403
351 chr1 6508
352 chr1 4871
353 chr1 530
354 chr1 1054
355 chr1 168
356 chr1 188
357 chr1 683
358 chr1 216
359 chr1 329
360 chr1 1078
361 chr1 1135
362 chr1 7286
363 chr1 1686
364 chr1 1064
365 chr1 7035
366 chr1 787
367 chr1 23
368 chr1 198
369 chr1 551
370 chr1 350
371 chr1 960
372 chr1 206
373 chr1 341
374 chr1 33
375 chr1 21
376 chr1 483
377 chr1 29
378 chr1 1294
379 chr1 50
380 chr1 684
381 chr1 815
382 chr1 71
383 chr1 48
384 chr1 329
385 chr1 3724
386 chr1 156
387 chr1 430
388 chr1 280
389 chr1 238
390 chr1 321
391 chr1 182
392 chr1 512
393 chr1 385
394 chr1 144
395 chr1 339
396 chr1 860
397 chr1 467
398 chr1 376
399 chr1 276
400 chr1 288
401 chr1 1017
402 chr1 779
403 chr1 323
404 chr1 369
405 chr1 892
406 chr1 468
407 chr1 888
408 chr1 22
409 chr1 319
410 chr1 165
411 chr1 1846
412 chr1 490
413 chr1 873
414 chr1 402
415 chr1 259
416 chr1 72
417 chr1 1337
418 chr1 193
419 chr1 307
420 chr1 480
421 chr1 612
422 chr1 469
423 chr1 1257
424 chr1 559
425 chr1 519
426 chr1 678
427 chr1 264
428 chr1 33
429 chr1 235
430 chr1 86
431 chr1 23
432 chr1 446
433 chr1 588
434 chr1 836
435 chr1 72
436 chr1 369
437 chr1 3448
438 chr1 147
439 chr1 3479
440 chr1 474
441 chr1 214
442 chr1 535
443 chr1 591
444 chr1 1144
445 chr1 264
446 chr1 859
447 chr1 703
448 chr1 92
449 chr1 28
450 chr1 322
451 chr1 2020
452 chr1 462
453 chr1 42
454 chr1 387
455 chr1 1311
456 chr1 754
457 chr1 42
458 chr1 54
459 chr1 30
460 chr1 97
461 chr1 209
462 chr1 423
463 chr1 50
464 chr1 177
465 chr1 165
466 chr1 174
467 chr1 28
468 chr1 175
469 chr1 1356
470 chr1 459
471 chr1 22
472 chr1 649
473 chr1 48
474 chr1 399
475 chr1 104
476 chr1 889
477 chr1 1342
478 chr1 210
479 chr1 1019
480 chr1 319
481 chr1 238
482 chr1 450
483 chr1 417
484 chr1 1436
485 chr1 2203
486 chr1 62
487 chr1 318
488 chr1 77
489 chr1 154
490 chr1 10488
491 chr1 67107
492 chr1 10474
493 chr1 67054
494 chr1 2494
495 chr1 1034
496 chr1 1260
497 chr1 648
498 chr1 679
499 chr1 352
500 chr1 1506
501 chr1 539
502 chr1 1504
503 chr1 1836
504 chr1 4767
505 chr1 11612
506 chr1 7787
507 chr1 4668
508 chr1 691
509 chr1 324
510 chr1 227
511 chr1 3268
512 chr1 326
513 chr1 1476
514 chr1 569
515 chr1 829
516 chr1 387
517 chr1 971
518 chr1 1039
519 chr1 349
520 chr1 8813
521 chr1 4955
522 chr1 2726
523 chr1 6455
524 chr1 5876
525 chr1 1073
526 chr1 119
527 chr1 2273
528 chr1 199
529 chr1 5079
530 chr1 3363
531 chr1 11230
532 chr1 1075
533 chr1 333
534 chr1 1264
535 chr1 3587
536 chr1 3727
537 chr1 518
538 chr1 398
539 chr1 901
540 chr1 348
541 chr1 26
542 chr1 24
543 chr1 37
544 chr1 549
545 chr1 3390
546 chr1 286
547 chr1 5014
548 chr1 1112
549 chr1 435
550 chr1 1422
551 chr1 958
552 chr1 285
553 chr1 759
554 chr1 961
555 chr1 2799
556 chr1 104
557 chr1 4482
558 chr1 69
559 chr1 68
560 chr1 647
561 chr1 4189
562 chr1 16128
563 chr1 3219
564 chr1 3104
565 chr1 161
566 chr1 963
567 chr1 3946
568 chr1 2960
569 chr1 3543
570 chr1 475
571 chr1 16709
572 chr1 4378
573 chr1 313
574 chr1 722
575 chr1 293
576 chr1 448
577 chr1 5240
578 chr1 221
579 chr1 698
580 chr1 37
581 chr1 3112
582 chr1 1256
583 chr1 1050
584 chr1 834
585 chr1 2209
586 chr1 253
587 chr1 4978
588 chr1 242
589 chr1 3598
590 chr1 950
591 chr1 202
592 chr1 234
593 chr1 270
594 chr1 323
595 chr1 1004
596 chr1 418
597 chr1 710
598 chr1 205
599 chr1 1023
600 chr1 315
601 chr1 433
602 chr1 320
603 chr1 69
604 chr1 254
605 chr1 456
606 chr1 411
607 chr1 787
608 chr1 1434
609 chr1 345
610 chr1 315
611 chr1 333
612 chr1 316
613 chr1 374
614 chr1 383
615 chr1 136
616 chr1 599
617 chr1 189
618 chr1 225
619 chr1 772
620 chr1 302
621 chr1 246
622 chr1 2677
623 chr1 1245
624 chr1 526
625 chr1 1771
626 chr1 590
627 chr1 967
628 chr1 916
629 chr1 4181
630 chr1 1536
631 chr1 577
632 chr1 505
633 chr1 2867
634 chr1 2316
635 chr1 224
636 chr1 70
637 chr1 442
638 chr1 555
639 chr1 245
640 chr1 28
641 chr1 131
642 chr1 26
643 chr1 472
644 chr1 628
645 chr1 393
646 chr1 958
647 chr1 1166
648 chr1 60
649 chr1 513
650 chr1 568
651 chr1 238
652 chr1 460
653 chr1 386
654 chr1 256
655 chr1 187
656 chr1 759
657 chr1 296
658 chr1 1074
659 chr1 133
660 chr1 685
661 chr1 256
662 chr1 115
663 chr1 160
664 chr1 374
665 chr1 866
666 chr1 89
667 chr1 194
668 chr1 290
669 chr1 802
670 chr1 41
671 chr1 296
672 chr1 515
673 chr1 223
674 chr1 36
675 chr1 203
676 chr1 58
677 chr1 121
678 chr1 472
679 chr1 183
680 chr1 852
681 chr1 291
682 chr1 1994
683 chr1 3971
684 chr1 1018
685 chr1 3173
686 chr1 3840
687 chr1 32
688 chr1 1051
689 chr1 94
690 chr1 420
691 chr1 750
692 chr1 1368
693 chr1 1474
694 chr1 1249
695 chr1 1586
696 chr1 983
697 chr1 164
698 chr1 1066
699 chr1 1091
700 chr1 94
701 chr1 25
702 chr1 582
703 chr1 484
704 chr1 44
705 chr1 29
706 chr1 881
707 chr1 608
708 chr1 448
709 chr1 1517
710 chr1 843
711 chr1 396
712 chr1 961
713 chr1 450
714 chr1 257
715 chr1 423
716 chr1 359
717 chr1 212
718 chr1 936
719 chr1 267
720 chr1 400
721 chr1 270
722 chr1 492
723 chr1 620
724 chr1 2444
725 chr1 584
726 chr1 412
727 chr1 1817
728 chr1 367
729 chr1 1641
730 chr1 1630
731 chr1 7851
732 chr1 2135
733 chr1 5519
734 chr1 734
735 chr1 4975
736 chr1 9368
737 chr1 6452
738 chr1 1323
739 chr1 1430
740 chr1 4794
741 chr1 271
742 chr1 270
743 chr1 428
744 chr1 576
745 chr1 420
746 chr1 688
747 chr1 584
748 chr1 176
749 chr1 54
750 chr1 504
751 chr1 668
752 chr1 1303
753 chr1 896
754 chr1 76
755 chr1 773
756 chr1 1847
757 chr1 301
758 chr1 1209
759 chr1 697
760 chr1 160
761 chr1 1885
762 chr1 393
763 chr1 221
764 chr1 338
765 chr1 837
766 chr1 643
767 chr1 196
768 chr1 1747
769 chr1 841
770 chr1 502
771 chr1 108
772 chr1 657
773 chr1 332
774 chr1 9106
775 chr1 1868
776 chr1 964
777 chr1 1023
778 chr1 3272
779 chr1 1752
780 chr1 1001
781 chr1 91
782 chr1 1861
783 chr1 6650
784 chr1 795
785 chr1 1384
786 chr1 2886
787 chr1 958
788 chr1 529
789 chr1 271
790 chr1 2340
791 chr1 2762
792 chr1 265
793 chr1 8495
794 chr1 3650
795 chr1 2690
796 chr1 6030
797 chr1 2699
798 chr1 1999
799 chr1 2967
800 chr1 2850
801 chr1 485
802 chr1 728
803 chr1 1915
804 chr1 1268
805 chr1 326
806 chr1 997
807 chr1 2341
808 chr1 1475
809 chr1 381
810 chr1 72
811 chr1 513
812 chr1 255
813 chr1 23
814 chr1 1517
815 chr1 583
816 chr1 793
817 chr1 1015
818 chr1 21
819 chr1 38
820 chr1 636
821 chr1 135
822 chr1 433
823 chr1 262
824 chr1 302
825 chr1 32
826 chr1 145
827 chr1 258
828 chr1 699
829 chr1 460
830 chr1 266
831 chr1 801
832 chr1 302
833 chr1 24
834 chr1 139
835 chr1 1886
836 chr1 922
837 chr1 1341
838 chr1 496
839 chr1 964
840 chr1 354
841 chr1 2532
842 chr1 1283
843 chr1 3112
844 chr1 808
845 chr1 1689
846 chr1 583
847 chr1 1035
848 chr1 311
849 chr1 145
850 chr1 387
851 chr1 1074
852 chr1 1106
853 chr1 516
854 chr1 167
855 chr1 396
856 chr1 83
857 chr1 2286
858 chr1 2504
859 chr1 1350
860 chr1 698
861 chr1 80
862 chr1 26
863 chr1 523
864 chr1 301
865 chr1 30
866 chr1 479
867 chr1 777
868 chr1 438
869 chr1 456
870 chr1 1889
871 chr1 221
872 chr1 161
873 chr1 1038
874 chr1 169
875 chr1 1274
876 chr1 495
877 chr1 559
878 chr1 228
879 chr1 676
880 chr1 449
881 chr1 546
882 chr1 792
883 chr1 519
884 chr1 261
885 chr1 137
886 chr1 691
887 chr1 69
888 chr1 902
889 chr1 434
890 chr1 302
891 chr1 409
892 chr1 684
893 chr1 375
894 chr1 514
895 chr1 560
896 chr1 1018
897 chr1 937
898 chr1 46
899 chr1 897
900 chr1 79
901 chr1 154
902 chr1 708
903 chr1 102
904 chr1 34
905 chr1 391
906 chr1 2256
907 chr1 469
908 chr1 1317
909 chr1 2564
910 chr1 1178
911 chr1 1901
912 chr1 516
913 chr1 1335
914 chr1 1241
915 chr1 57
916 chr1 1013
917 chr1 814
918 chr1 44
919 chr1 1483
920 chr1 850
921 chr1 917
922 chr1 5574
923 chr1 2839
924 chr1 1337
925 chr1 6666
926 chr1 6210
927 chr1 1082
928 chr1 1007
929 chr1 3878
930 chr1 14507
931 chr1 1001
932 chr1 2923
933 chr1 497
934 chr1 2232
935 chr1 1691
936 chr1 2554
937 chr1 1519
938 chr1 10885
939 chr1 1097
940 chr1 812
941 chr1 2884
942 chr1 4080
943 chr1 2354
944 chr1 3616
945 chr1 2446
946 chr1 115
947 chr1 1040
948 chr1 409
949 chr1 614
950 chr1 1653
951 chr1 794
952 chr1 169
953 chr1 1031
954 chr1 2364
955 chr1 797
956 chr1 43
957 chr1 1380
