# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.567474	47.766749	31.929134
WASH7P	pseudogene	-1.000000	-1.000000	11.111111	46.163868	43.043650
MIR1302-2HG	lincRNA	-1.000000	-1.000000	34.803922	42.429907	37.427653
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.000000	9.046455	5.655331	0.000000	2.400259
ENSG00000238009	lincRNA	-1.000000	-1.000000	0.000000	7.053534	6.462141
CICP27	pseudogene	-1.000000	-1.000000	12.227762	-1.000000	12.227762
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.617094	69.991945	75.271706
ENSG00000241599	lincRNA	-1.000000	-1.000000	82.017544	100.000000	92.400371
WASH9P	pseudogene	-1.000000	-1.000000	17.191977	18.185951	18.049833
ENSG00000228463	pseudogene	-1.000000	-1.000000	19.773805	6.109366	7.212941
ENSG00000286448	lincRNA	-1.000000	-1.000000	12.108844	0.000000	4.944444
ENSG00000236601	lincRNA	-1.000000	-1.000000	32.266910	53.351910	50.145935
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	83.925687	100.000000	85.811052
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	2.444274	3.627959
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.145658	11.028104
MMP23B	protein coding	36.393659	0.000000	34.480601	13.997760	21.806452
CDK11B	protein coding	0.000000	0.000000	0.000000	2.098729	1.790894
MMP23A	pseudogene	-1.000000	-1.000000	35.334646	38.470874	36.739130
CDK11A	protein coding	0.000000	0.000000	0.000000	2.321399	1.938302
PLCH2	protein coding	0.000000	0.000000	0.000000	4.800742	4.424779
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
HES5	protein coding	10.778443	12.043796	11.564626	50.769231	16.600791
ENSG00000272449	lincRNA	-1.000000	-1.000000	2.465931	100.000000	91.365543
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	51.157106	28.717949	48.080439
TNFRSF14	protein coding	7.814270	43.404488	31.808118	17.403668	21.410243
PRXL2B	protein coding	0.000000	97.795879	71.664326	0.000000	41.020490
MMEL1	protein coding	4.273504	65.055762	15.635858	1.182308	2.163910
TTC34	protein coding	5.154321	0.000000	2.146806	9.687245	9.331115
ENSG00000285945	lincRNA	-1.000000	-1.000000	100.000000	100.000000	85.831030
MASP2	protein coding	0.000000	0.000000	0.000000	0.172109	0.150614
PRAMEF7	protein coding	31.228070	8.488613	25.471698	20.420958	22.748128
PRAMEF29P	pseudogene	-1.000000	-1.000000	48.769772	35.781742	42.850311
PRAMEF6	protein coding	28.092243	1.420455	22.826697	48.464164	43.445323
PRAMEF27	protein coding	60.473208	32.612967	53.186023	20.260043	29.285815
HNRNPCL3	protein coding	25.510204	76.035503	52.531646	0.000000	47.226174
PRAMEF25	protein coding	97.842728	59.212880	87.024048	48.051588	56.500489
PRAMEF34P	pseudogene	-1.000000	-1.000000	99.930844	100.000000	99.964183
PRAMEF36P	pseudogene	-1.000000	-1.000000	99.586492	100.000000	99.785484
PRAMEF26	protein coding	73.771429	48.533724	66.694079	51.113734	55.227445
HNRNPCL4	protein coding	25.510204	92.335329	58.008154	-1.000000	58.008154
PRAMEF9	protein coding	0.000000	0.000000	0.000000	19.312221	13.060045
PRAMEF5	protein coding	97.833683	1.182033	75.782093	48.083435	53.642958
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	31.733595	42.911877
PRAMEF8	protein coding	31.228070	22.162162	30.186335	20.512821	24.576050
NBPF1	protein coding	2.543860	0.000000	1.466869	0.612331	0.710341
ENSG00000282143	lincRNA	-1.000000	-1.000000	88.357843	35.018822	39.107562
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	1.096146	0.932415
ENSG00000279151	lincRNA	-1.000000	-1.000000	0.000000	8.399671	7.559289
ENSG00000282740	lincRNA	-1.000000	-1.000000	88.141809	35.004576	39.085532
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	1.645530
CLIC4	protein coding	0.000000	0.000000	0.000000	0.741899	0.709528
RSRP1	protein coding	0.000000	0.000000	0.000000	4.256851	4.127590
RHD	protein coding	0.000000	0.000000	0.000000	6.945936	6.575140
RHCE	protein coding	0.000000	0.000000	0.000000	5.110497	4.955625
BMP8A	protein coding	0.000000	0.000000	0.000000	0.656482	0.559726
BMP8B	protein coding	0.000000	0.000000	0.000000	0.796783	0.675441
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	2.285407	2.300234
CYP4Z1	protein coding	2.964427	0.000000	2.082369	2.603932	2.581870
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.109099	0.106560
FYB2	protein coding	0.000000	0.000000	0.000000	0.035922	0.034685
DOCK7	protein coding	0.000000	0.000000	0.000000	0.018792	0.017942
LEPR	protein coding	0.000000	0.000000	0.000000	0.186719	0.177450
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.305231	0.301987
ENSG00000287453	lincRNA	-1.000000	-1.000000	0.000000	0.388727	0.370776
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.051298	0.049431
NEGR1	protein coding	0.000000	0.000000	0.000000	0.088464	0.087187
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.010998	0.010689
LRRC53	protein coding	0.000000	0.000000	0.000000	0.095170	0.085579
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.061562	0.060638
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.061888	0.061184
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	14.231448	13.995170
COL24A1	protein coding	0.000000	0.000000	0.000000	0.256398	0.252274
CLCA4-AS1	lincRNA	-1.000000	-1.000000	19.469027	1.518290	2.641370
BCAR3	protein coding	0.000000	0.000000	0.000000	0.030219	0.029782
AMY2A	protein coding	18.880208	0.000000	18.319646	16.691285	16.999880
AMY1A	protein coding	83.333333	100.000000	85.980285	62.514351	67.386855
AMY1B	protein coding	85.481771	62.689805	80.220330	80.019881	80.064166
AMYP1	pseudogene	-1.000000	-1.000000	28.375734	22.044479	23.096942
AMY1C	protein coding	78.190104	6.331471	59.575494	40.812004	43.714094
NBPF4	protein coding	48.153693	0.000000	27.874061	49.710823	46.213628
ENSG00000238122	lincRNA	-1.000000	-1.000000	95.524194	40.697094	51.580885
SLC25A24P1	pseudogene	-1.000000	-1.000000	26.049973	43.119834	42.625173
