# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	153123	153154	AL669831.1_exon_1	exon	transcribed_unprocessed_pseudogene	chr1	152395	156314
chr1	168461	168487	AL669831.1_intron_3	intron	transcribed_unprocessed_pseudogene	chr1	162123	169689
chr1	178474	178501	AL669831.1_intron_7	intron	transcribed_unprocessed_pseudogene	chr1	173350	182609
chr1	199446	199477	AL669831.1_intron_13	intron	transcribed_unprocessed_pseudogene	chr1	196249	199512
chr1	216568	216657	LINC01409_intron_5	intron	lncRNA	chr1	214209	221787
chr1	304940	305072	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	305112	305328	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	305569	305979	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	306005	306098	FAM41C_intron_4	intron	lncRNA	chr1	304130	306663
chr1	338564	338771	AL645608.6_intron_1	intron	lncRNA	chr1	334946	345393
chr1	405454	405520	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	405565	405823	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	405873	407267	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	407296	407466	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	407504	407657	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	407753	407838	PERM1_intron_2	intron	protein_coding	chr1	405350	408720
chr1	567940	567973	LINC01342_intron_1	intron	lncRNA	chr1	565726	569439
chr1	569740	570162	LINC01342_intron_2	intron	lncRNA	chr1	569647	571353
chr1	660730	660891	B3GALT6_exon_1	CDS	protein_coding	chr1	660694	663498
chr1	673395	674198	C1QTNF12_intron_4	intron	protein_coding	chr1	673224	675446
chr1	713097	713456	SCNN1D_intron_4	intron	protein_coding	chr1	713097	714773
chr1	713478	713534	SCNN1D_intron_4	intron	protein_coding	chr1	713097	714773
chr1	718457	718484	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	718739	718784	SCNN1D_intron_10	intron	protein_coding	chr1	717240	721796
chr1	755412	755554	INTS11_intron_8	intron	protein_coding	chr1	754800	756165
chr1	755678	755711	INTS11_intron_8	intron	protein_coding	chr1	754800	756165
chr1	780743	781044	DVL1_exon_12	CDS	protein_coding	chr1	780521	781044
chr1	852146	852194	ANKRD65_exon_2	CDS	protein_coding	chr1	851981	852522
chr1	859369	861157	TMEM88B_intron_1	intron	protein_coding	chr1	858314	861437
chr1	1034432	1034641	FNDC10_exon_1	CDS	protein_coding	chr1	1032518	1034641
chr1	1101450	1101574	SLC35E2B_intron_2	intron	protein_coding	chr1	1100459	1102766
chr1	1358532	1358746	CFAP74_intron_5	intron	protein_coding	chr1	1358346	1358907
chr1	1363948	1364905	CFAP74_intron_11	intron	protein_coding	chr1	1363399	1365604
chr1	1629501	1629531	FAAP20_intron_5	intron	protein_coding	chr1	1629189	1629663
chr1	1639941	1640177	FAAP20_intron_8	intron	protein_coding	chr1	1638607	1641280
chr1	1663728	1664137	SKI_exon_1	CDS	protein_coding	chr1	1663728	1665144
chr1	1718073	1718107	SKI_intron_4	intron	protein_coding	chr1	1683489	1738942
chr1	1761107	1761419	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1761482	1761635	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1761744	1763032	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1763122	1763296	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1763389	1763512	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
chr1	1763635	1763696	MORN1_intron_2	intron	protein_coding	chr1	1760075	1771405
