# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000228463	pseudogene	-1.000000	-1.000000	16.709230	8.677907	9.326537
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	11.483024	10.956084
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	10.342780	10.202615
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	0.259563	0.257759
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.430336	0.423951
PDE4DIPP2	pseudogene	-1.000000	-1.000000	0.000000	1.542186	1.473308
ENSG00000275075	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
PPIAL4F	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
LINC01632	lincRNA	-1.000000	-1.000000	37.420043	60.756916	59.314888
ENSG00000224363	lincRNA	-1.000000	-1.000000	0.000000	51.123791	50.664737
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	14.432442	0.000000	12.418732	11.213205	11.388105
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	100.000000	67.689822	72.535018	-1.000000	72.535018
ENSG00000271546	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEC22B2P	pseudogene	-1.000000	-1.000000	47.202797	50.030758	49.895406
RNA5S5	rRNA	-1.000000	-1.000000	72.881356	-1.000000	72.881356
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S9	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S11	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4N3BP	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000281113	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000281087	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000260739	lincRNA	-1.000000	-1.000000	100.000000	86.976477	90.074333
RPS8P10	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1OR15-1	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
NPIPA3	protein coding	8.403361	18.396226	11.482558	19.696171	18.956871
ENSG00000261695	lincRNA	-1.000000	-1.000000	16.955017	25.059557	24.651932
NPIPA2	protein coding	8.403361	29.396985	12.979189	27.133583	26.006367
NOMO3	protein coding	11.646998	74.448529	19.338136	1.825663	6.320644
ENSG00000257563	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3180-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3670-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000257527	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3179-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NOMO2	protein coding	26.643877	81.311475	35.139266	17.392337	18.113551
NPIPB3	protein coding	13.058252	86.440678	28.097260	60.661447	58.881934
NPIPB5	protein coding	0.803547	69.372214	41.854776	44.159544	35.172606
ENSG00000261391	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
HERC2P5	pseudogene	-1.000000	-1.000000	51.110745	56.906787	55.897024
ENSG00000261682	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ABHD17AP9	pseudogene	-1.000000	-1.000000	35.100548	73.375000	66.270784
ENSG00000260419	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TP53TG3C	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000261507	lincRNA	-1.000000	-1.000000	69.573284	47.373796	47.470362
TP53TG3E	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
TP53TG3B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000261009	lincRNA	-1.000000	-1.000000	87.756926	100.000000	88.779689
TP53TG3F	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000282927	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000284209	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000288300	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286968	pseudogene	-1.000000	-1.000000	47.690015	8.768267	31.478261
ENSG00000179755	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000261566	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
CCNYL3	pseudogene	-1.000000	-1.000000	24.072217	15.403689	15.599447
ENSG00000266311	lincRNA	-1.000000	-1.000000	0.000000	38.077237	36.442750
ENSG00000236022	lincRNA	-1.000000	-1.000000	80.229226	89.256459	88.639922
ENSG00000268922	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000267053	lincRNA	-1.000000	-1.000000	0.000000	30.621354	28.470148
LINC00665	lincRNA	-1.000000	-1.000000	0.000000	30.152837	25.074069
RGPD2	protein coding	5.653576	0.000000	4.402423	8.544881	8.143364
IGKV1OR2-2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
UBTFL5	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000277747	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000271003	pseudogene	-1.000000	-1.000000	69.818182	34.681956	35.697027
UBTFL3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RGPD5	protein coding	98.669377	67.622804	88.109756	97.138175	95.998276
ENSG00000231583	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RGPD6	protein coding	98.369851	72.840953	90.464666	61.128258	63.626620
FAM182B	lincRNA	-1.000000	-1.000000	4.081931	31.827364	30.035619
FAM182A	lincRNA	-1.000000	-1.000000	18.256979	24.491939	23.861681
LINC01670	lincRNA	-1.000000	-1.000000	15.480427	21.526246	19.522265
ENSG00000274333	lincRNA	-1.000000	-1.000000	76.299258	69.697836	70.641543
ENSG00000279186	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000279784	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000279064	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000274559	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000280013	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000288187	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000275496	lincRNA	-1.000000	-1.000000	97.949253	41.669955	45.891893
ENSG00000280019	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000279709	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000278903	lincRNA	-1.000000	-1.000000	49.712423	46.951468	47.294050
ENSG00000280145	lincRNA	-1.000000	-1.000000	90.014684	100.000000	98.153679
ENSG00000279788	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000279728	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280164	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000280018	lincRNA	-1.000000	-1.000000	88.919978	97.785474	96.385329
ENSG00000279477	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000278884	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000277067	lincRNA	-1.000000	-1.000000	91.560353	46.617159	50.200845
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CTBP2P10	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000279303	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000279647	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000279895	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276077	lincRNA	-1.000000	-1.000000	89.131719	50.580630	53.984562
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CTBP2P9	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000277991	lincRNA	-1.000000	-1.000000	49.723544	25.240806	40.664237
ENSG00000273590	other	-1.000000	-1.000000	29.459148	87.603435	83.909643
ENSG00000278961	other	-1.000000	-1.000000	12.774071	7.544027	8.588840
ENSG00000279967	other	-1.000000	-1.000000	86.028513	-1.000000	86.028513
MIR6724-2	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000277671	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286149	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286032	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286091	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000286148	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SMIM11	protein coding	0.000000	0.000000	0.000000	0.000000	13.010776
SMIM34	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000272958	lincRNA	-1.000000	-1.000000	15.913556	-1.000000	15.913556
LINC00313	lincRNA	-1.000000	-1.000000	48.648649	61.877947	59.343348
HSF2BP	protein coding	20.611440	63.422819	40.670860	11.906320	12.327516
ACTR3BP7	pseudogene	-1.000000	-1.000000	97.177419	100.000000	97.441520
ENSG00000288075	lincRNA	-1.000000	-1.000000	0.000000	8.212537	7.973468
USP17L24	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
USP17L25	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
USP17L26	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
USP17L5	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
USP17L27	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
USP17L28	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
GUSBP3	pseudogene	-1.000000	-1.000000	0.000000	22.729516	21.989950
GUSBP13	pseudogene	-1.000000	-1.000000	0.000000	21.148030	20.854900
GUSBP14	pseudogene	-1.000000	-1.000000	0.000000	26.550005	26.212447
CICP15	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
SEPTIN14P5	lincRNA	-1.000000	-1.000000	71.349862	54.956721	55.874191
ENSG00000226587	lincRNA	-1.000000	-1.000000	28.682171	33.969634	33.870968
ARAFP3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000232165	pseudogene	-1.000000	-1.000000	29.932735	-1.000000	29.932735
ENSG00000227305	lincRNA	-1.000000	-1.000000	55.733333	69.910734	69.535114
ARAFP2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000285702	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
SPDYE11	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SPDYE9	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
SPDYE14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PMS2P10	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
