# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	42.211653	0.000000	14.407468
TMEM88B	protein coding	47.657841	-1.000000	47.657841	66.866438	61.181435
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.454107	0.361855
RP5-1166F10.1	lincRNA	-1.000000	-1.000000	0.000000	0.246212	0.205761
PRAMEF6	protein coding	0.000000	0.000000	0.000000	2.476390	2.396922
PRAMEF16	protein coding	60.771930	18.012422	56.431274	57.746479	57.052562
XX-FW84067D5.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
CAPZB	protein coding	0.000000	0.000000	0.000000	0.015307	0.014986
EPHB2	protein coding	0.000000	0.000000	0.000000	0.013095	0.012715
CNR2	protein coding	0.000000	0.000000	0.000000	1.081068	1.014311
RP11-4M23.7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
CLIC4	protein coding	0.000000	0.000000	0.000000	0.146900	0.140451
THRAP3	protein coding	0.000000	0.000000	0.000000	0.068129	0.064244
C1orf177	protein coding	0.000000	0.000000	0.000000	0.069741	0.066318
RP11-90C4.2	lincRNA	-1.000000	-1.000000	0.000000	1.117532	1.093548
C1orf168	protein coding	0.000000	0.000000	0.000000	0.347931	0.336003
INADL	protein coding	0.000000	0.000000	0.000000	0.084611	0.082811
PIGPP2	pseudogene	-1.000000	-1.000000	0.000000	8.767123	3.892944
DOCK7	protein coding	0.000000	0.000000	0.000000	0.150235	0.145139
PDE4B	protein coding	0.000000	0.000000	0.000000	0.028316	0.028004
ZRANB2-AS2	other	-1.000000	-1.000000	0.000000	0.076937	0.075860
TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035357	0.034954
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.079190	0.077998
EVI5	protein coding	0.000000	0.442745	0.295898	0.000000	0.007754
DPYD	protein coding	0.000000	0.000000	0.000000	0.002985	0.002965
AMY2A	protein coding	0.000000	0.000000	0.000000	1.166913	0.940140
TAF13	protein coding	0.000000	0.000000	0.000000	0.995475	0.813850
RP5-965F6.2	lincRNA	-1.000000	-1.000000	0.000000	1.397553	1.393390
RP6-206I17.1	lincRNA	-1.000000	-1.000000	0.000000	12.841975	12.505753
RP6-206I17.2	lincRNA	-1.000000	-1.000000	5.711551	39.937024	36.716310
NBPF8	protein coding	19.431897	100.000000	21.264856	15.197365	16.117570
LINC00623	lincRNA	-1.000000	-1.000000	13.567750	3.473018	4.336401
AL592284.1	protein coding	0.000000	0.000000	0.000000	18.531135	18.421575
RP6-137J22.3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89C	protein coding	21.933472	0.000000	11.152220	32.090229	31.112208
PFN1P5	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ABHD17AP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF12	protein coding	1.728790	0.000000	1.325467	0.385724	0.515935
PFN1P6	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NBPF16	protein coding	0.000000	8.480176	4.021938	0.159585	0.943396
FAM72C	protein coding	56.818182	0.000000	10.056315	6.915084	3.384778
RNVU1-19	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
HORMAD1	protein coding	0.000000	0.000000	0.000000	1.597245	1.463115
