# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	94.309560	100.000000	94.322483
AP006222.2	lincRNA	-1.000000	-1.000000	27.346939	67.696629	51.247920
AC114498.1	lincRNA	-1.000000	-1.000000	0.473186	22.327753	20.303827
AL731661.1	lincRNA	-1.000000	-1.000000	62.981366	51.923077	57.361026
WBP1LP6	pseudogene	-1.000000	-1.000000	1.418440	-1.000000	1.418440
OR4F21	protein coding	7.250755	-1.000000	7.250755	-1.000000	7.250755
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	5.652174	19.857372	16.576549
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	13.103999	11.506974
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	4.262779	3.282182
SCNN1D	protein coding	0.000000	-1.000000	0.000000	11.538462	8.248299
MMP23B	protein coding	52.495463	-1.000000	52.495463	7.502800	39.522118
CDK11B	protein coding	4.377195	-1.000000	4.377195	5.068596	4.960836
MMP23A	pseudogene	-1.000000	-1.000000	70.065253	75.732899	71.956522
AL031282.2	lincRNA	-1.000000	-1.000000	2.392531	4.248026	3.974668
PLCH2	protein coding	0.000000	-1.000000	0.000000	0.960895	0.832901
TTC34	protein coding	0.000000	-1.000000	0.000000	10.652854	10.234230
AC242022.2	lincRNA	-1.000000	-1.000000	0.000000	0.000000	13.417424
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.031177	0.030622
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	1.552675	1.264632
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.101152	0.093949
WRAP73	protein coding	0.000000	-1.000000	0.000000	1.834992	1.192989
C1orf174	protein coding	8.069296	-1.000000	8.069296	0.000000	3.169771
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.067515	0.066838
SLC45A1	protein coding	0.000000	-1.000000	0.000000	0.288481	0.257808
CASZ1	protein coding	0.000000	-1.000000	0.000000	0.096081	0.089282
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	1.740260	1.246744
PRAMEF7	protein coding	35.984606	-1.000000	35.984606	29.475309	33.029772
RNU6-1072P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF29P	pseudogene	-1.000000	-1.000000	40.246046	0.000000	21.903396
PRAMEF26	protein coding	13.104189	-1.000000	13.104189	0.000000	3.457070
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	21.449559	37.883142
PRAMEF8	protein coding	15.368421	3.326810	12.190083	24.012710	18.482725
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	5.660867	4.061103
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.694417	0.543974
AL355149.1	pseudogene	-1.000000	-1.000000	54.143019	39.685198	42.979054
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	36.378693	-1.000000	36.378693	40.027038	39.680766
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AL137798.3	pseudogene	-1.000000	-1.000000	42.424242	0.000000	20.467836
MST1P2	pseudogene	-1.000000	-1.000000	44.366812	36.811106	40.518534
CROCCP4	pseudogene	-1.000000	-1.000000	0.000000	5.850422	5.434681
LINC01783	lincRNA	-1.000000	-1.000000	4.263566	0.000000	3.854577
MST1L	pseudogene	-1.000000	-1.000000	5.395349	38.997186	27.213414
AL137802.2	lincRNA	-1.000000	-1.000000	9.630963	-1.000000	9.630963
CROCC	protein coding	1.385165	-1.000000	1.385165	13.636948	13.294397
MST1L	pseudogene	-1.000000	-1.000000	4.663897	29.693888	21.044046
AL137798.2	lincRNA	-1.000000	-1.000000	0.000000	17.374126	16.047534
MST1P2	pseudogene	-1.000000	-1.000000	25.212121	25.136861	25.176773
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RSRP1	protein coding	1.679049	-1.000000	1.679049	6.490713	6.153381
RHD	protein coding	6.700875	-1.000000	6.700875	10.070668	9.878435
RHCE	protein coding	8.922697	-1.000000	8.922697	9.675697	9.648762
EPB41	protein coding	0.000000	-1.000000	0.000000	0.020589	0.018827
