# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	257864	259025	ENSG00000228463_exon_1	exon	transcribed_processed_pseudogene	chr1	257864	259025
chr1	259025	260780	ENSG00000228463_intron_1	intron	transcribed_processed_pseudogene	chr1	259025	261549
chr1	285952	289265	ENSG00000228463_intron_4	intron	transcribed_processed_pseudogene	chr1	268816	289265
chr1	289265	289370	ENSG00000228463_exon_5	exon	transcribed_processed_pseudogene	chr1	289265	289370
chr1	289370	297344	ENSG00000228463_intron_5	intron	transcribed_processed_pseudogene	chr1	289370	297344
chr1	297344	297502	ENSG00000228463_exon_6	exon	transcribed_processed_pseudogene	chr1	297344	297502
chr1	347968	350185	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	297502	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	26642286	26642389	ENSG00000238316_exon_1	exon	snoRNA	chr1	26642286	26642389
chr1	246818076	246818180	ENSG00000235386_exon_1	exon	unprocessed_pseudogene	chr1	246818076	246818180
chr1	248519227	248519265	OR2G6_intron_2	intron	protein_coding	chr1	248509648	248521610
chr11	1897544	1897570	LINC01150_intron_1	intron	lncRNA	chr11	1897145	1901715
chr11	1900667	1901715	LINC01150_intron_1	intron	lncRNA	chr11	1897145	1901715
chr11	1901715	1901770	LINC01150_exon_2	exon	lncRNA	chr11	1901715	1901770
chr11	1901770	1902405	LINC01150_intron_2	intron	lncRNA	chr11	1901770	1902589
chr11	1902457	1902511	LINC01150_intron_2	intron	lncRNA	chr11	1901770	1902589
chr11	1902608	1902724	LINC01150_exon_3	exon	lncRNA	chr11	1902589	1902724
chr11	1902724	1903103	LINC01150_intron_3	intron	lncRNA	chr11	1902724	1903103
chr11	1903103	1903256	LINC01150_exon_4	exon	lncRNA	chr11	1903103	1903256
chr11	1903256	1906180	LINC01150_intron_4	intron	lncRNA	chr11	1903256	1907831
chr11	49715000	49718171	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr11	49718362	49718699	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr11	49720668	49721097	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr11	49724462	49724550	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr11	49724733	49724760	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr11	49724890	49728194	GRM5P1_intron_3	intron	transcribed_unprocessed_pseudogene	chr11	49576906	49783822
chr12	12392066	12393518	BORCS5_intron_2	intron	protein_coding	chr12	12361349	12435627
chr13	86266842	86266926	ENSG00000283371_exon_1	exon	unprocessed_pseudogene	chr13	86266842	86266926
chr13	113672557	113673020	GRK1_intron_3	intron	protein_coding	chr13	113671656	113723073
chr14	16057472	16057622	5_8S_rRNA_exon_1	exon	rRNA	chr14	16057472	16057622
chr14	93459969	93460045	UNC79_intron_2	intron	protein_coding	chr14	93431051	93467670
chr14	105864793	105864852	IGHJ2P_exon_1	exon	IG_J_pseudogene	chr14	105864793	105864852
