# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	27.635328	47.335025	33.739678
WASH7P	pseudogene	-1.000000	-1.000000	26.930502	64.101414	59.114162
MIR1302-10	lincRNA	-1.000000	-1.000000	69.901961	54.579439	64.630225
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4G4P	pseudogene	-1.000000	-1.000000	16.913319	29.400132	24.604141
OR4F5	protein coding	9.269357	-1.000000	9.269357	-1.000000	9.269357
RP11-34P13.7	lincRNA	-1.000000	-1.000000	9.725336	25.410903	24.146733
CICP27	pseudogene	-1.000000	-1.000000	26.633430	-1.000000	26.633430
AL627309.1	protein coding	0.000000	5.478723	3.872180	0.000000	2.300134
RP11-34P13.13	other	-1.000000	-1.000000	81.982564	67.240589	70.059899
RP11-34P13.9	lincRNA	-1.000000	-1.000000	24.561404	41.733547	34.476367
AP006222.2	lincRNA	-1.000000	-1.000000	11.737921	15.580776	15.197538
CICP7	pseudogene	-1.000000	-1.000000	99.757674	100.000000	99.786096
OR4F29	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	88.829873	89.864174
RP5-857K21.15	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	5.231867	33.210105	23.660714
RP5-857K21.2	lincRNA	-1.000000	-1.000000	23.343849	8.316679	9.651212
RP5-857K21.3	lincRNA	-1.000000	-1.000000	0.000000	13.169921	10.410509
hsa-mir-6723	pseudogene	-1.000000	-1.000000	8.236057	-1.000000	8.236057
WBP1LP6	pseudogene	-1.000000	-1.000000	13.947991	-1.000000	13.947991
OR4F16	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	23.553382	100.000000	33.262184
RP11-206L10.1	pseudogene	-1.000000	-1.000000	12.226721	0.000000	7.881002
RP11-206L10.3	lincRNA	-1.000000	-1.000000	79.008026	58.492823	70.644886
RP11-206L10.2	lincRNA	-1.000000	-1.000000	9.422492	5.315988	5.708476
LINC01128	other	-1.000000	-1.000000	1.409692	0.000000	0.351781
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	0.641212	0.498188
RP11-54O7.16	lincRNA	-1.000000	-1.000000	0.000000	2.613047	2.530964
SAMD11	protein coding	0.000000	0.000000	0.000000	2.527012	2.173140
KLHL17	protein coding	0.000000	0.000000	0.000000	3.620086	1.813573
C1orf170	protein coding	0.000000	0.000000	0.000000	15.434501	8.600752
RP11-465B22.3	pseudogene	-1.000000	-1.000000	0.000000	1.288418	0.997817
RP11-465B22.5	lincRNA	-1.000000	-1.000000	0.000000	15.516605	11.947720
B3GALT6	protein coding	16.868687	0.388457	6.232092	-1.000000	6.232092
