# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
PLCH2	protein coding	0.000000	0.000000	0.000000	4.800742	4.424779
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
HES5	protein coding	10.778443	12.043796	11.564626	50.769231	16.600791
ENSG00000272449	lincRNA	-1.000000	-1.000000	2.465931	100.000000	91.365543
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	51.157106	28.717949	48.080439
TNFRSF14	protein coding	7.814270	43.404488	31.808118	17.403668	21.410243
PRXL2B	protein coding	0.000000	97.795879	71.664326	0.000000	41.020490
MMEL1	protein coding	4.273504	65.055762	15.635858	1.182308	2.163910
PRAMEF5	protein coding	0.000000	0.000000	0.000000	1.042936	0.833604
SLC25A24P1	pseudogene	-1.000000	-1.000000	0.000000	0.734582	0.713295
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	10.985586	10.481473
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	9.894737	9.760643
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	4.691851	4.659244
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	7.778731	7.663308
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
PPIAL4F	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
LINC01632	lincRNA	-1.000000	-1.000000	62.579957	64.583626	64.459816
ENSG00000224363	lincRNA	-1.000000	-1.000000	13.034786	55.945368	55.560063
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	16.764064	0.000000	14.425030	12.247554	12.563466
