# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11871	12227	DDX11L1_exon_1	exon	pseudogene	chr1	11869	12227
chr1	12227	12594	DDX11L1_intron_1	intron	pseudogene	chr1	12227	12594
chr1	12594	12632	DDX11L1_exon_2	exon	pseudogene	chr1	12594	12721
chr1	18008	18061	WASH7P_exon_9	exon	pseudogene	chr1	17914	18061
chr1	18061	18204	WASH7P_intron_9	intron	pseudogene	chr1	18061	18267
chr1	20676	21069	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	22049	23013	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	23655	24550	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	24984	26634	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	27480	28236	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	29763	29806	WASH7P_exon_13	exon	pseudogene	chr1	29533	29806
chr1	29763	30039	MIR1302-10_exon_1	exon	lincRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-10_intron_1	intron	lincRNA	chr1	30039	30266
chr1	30266	30505	MIR1302-10_exon_2	exon	lincRNA	chr1	30266	30667
chr1	34611	35174	FAM138A_exon_1	exon	lincRNA	chr1	34554	35174
chr1	35179	35244	FAM138A_intron_1	intron	lincRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lincRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lincRNA	chr1	35481	35720
chr1	35720	36081	FAM138A_exon_3	exon	lincRNA	chr1	35720	36081
chr1	100140	100262	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	110018	110416	RP11-34P13.7_intron_2	intron	lincRNA	chr1	92240	110952
chr1	116645	116930	RP11-34P13.7_intron_4	intron	lincRNA	chr1	112804	120720
chr1	117497	118157	RP11-34P13.7_intron_4	intron	lincRNA	chr1	112804	120720
chr1	129957	129987	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	130446	131021	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	132148	132663	RP11-34P13.7_intron_6	intron	lincRNA	chr1	129223	133373
chr1	132148	132663	CICP27_exon_1	exon	pseudogene	chr1	131025	134836
chr1	135687	135729	AL627309.1_UTR_1	three_prime_UTR	protein_coding	chr1	134901	135802
chr1	141474	143011	RP11-34P13.13_exon_1	exon	processed_transcript	chr1	141474	143011
chr1	143011	143536	RP11-34P13.13_intron_1	intron	processed_transcript	chr1	143011	146385
chr1	145261	145909	RP11-34P13.13_intron_1	intron	processed_transcript	chr1	143011	146385
chr1	148171	149499	RP11-34P13.13_exon_2	exon	processed_transcript	chr1	146385	149707
chr1	151306	151679	RP11-34P13.13_intron_2	intron	processed_transcript	chr1	149707	155766
chr1	153862	154225	RP11-34P13.13_intron_2	intron	processed_transcript	chr1	149707	155766
chr1	154991	155081	RP11-34P13.13_intron_2	intron	processed_transcript	chr1	149707	155766
chr1	155766	155831	RP11-34P13.13_exon_3	exon	processed_transcript	chr1	155766	155831
chr1	155831	155994	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	156710	156867	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	158721	158863	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	159228	159775	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	161139	161464	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	161509	162092	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	163607	163677	RP11-34P13.13_intron_3	intron	processed_transcript	chr1	155831	164262
chr1	164598	164740	RP11-34P13.13_exon_4	exon	processed_transcript	chr1	164262	164791
chr1	165539	165883	RP11-34P13.13_intron_4	intron	processed_transcript	chr1	164791	165883
chr1	165883	165942	RP11-34P13.13_exon_5	exon	processed_transcript	chr1	165883	165942
chr1	165942	166033	RP11-34P13.13_intron_5	intron	processed_transcript	chr1	165942	168099
chr1	166085	166932	RP11-34P13.13_intron_5	intron	processed_transcript	chr1	165942	168099
