# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AP006222.2	lincRNA	-1.000000	-1.000000	0.000000	5.805243	3.438713
AC114498.1	lincRNA	-1.000000	-1.000000	0.473186	1.481005	1.387672
OR4F21	protein coding	11.077543	-1.000000	11.077543	-1.000000	11.077543
AL669831.1	pseudogene	-1.000000	-1.000000	0.000000	0.181281	0.159187
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	18.537023	14.801555
AL645608.6	lincRNA	-1.000000	-1.000000	0.000000	3.053508	2.954524
PERM1	protein coding	0.000000	-1.000000	0.000000	55.188166	31.633416
AGRN	protein coding	0.000000	-1.000000	0.000000	1.221696	0.854297
AL390719.1	pseudogene	-1.000000	-1.000000	0.000000	4.834606	3.733582
C1orf159	protein coding	0.000000	-1.000000	0.000000	1.371019	1.128962
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.784831	10.613811
C1QTNF12	protein coding	0.000000	-1.000000	0.000000	33.161866	20.535145
SCNN1D	protein coding	1.217694	-1.000000	1.217694	6.482950	4.981576
INTS11	protein coding	0.000000	-1.000000	0.000000	14.181227	5.313642
TMEM88B	protein coding	0.000000	-1.000000	0.000000	67.275056	58.135030
ATAD3A	protein coding	0.000000	-1.000000	0.000000	0.218978	0.186476
TMEM240	protein coding	0.000000	-1.000000	0.000000	3.595623	2.360588
MIB2	protein coding	0.000000	-1.000000	0.000000	1.157742	0.473840
SLC35E2B	protein coding	0.000000	-1.000000	0.000000	0.237894	0.175710
CFAP74	protein coding	0.124271	-1.000000	0.124271	2.085638	1.837733
PRKCZ	protein coding	0.000000	-1.000000	0.000000	0.113613	0.107111
FAAP20	protein coding	0.000000	-1.000000	0.000000	1.826659	1.160562
SKI	protein coding	1.516070	-1.000000	1.516070	0.393062	0.482945
MORN1	protein coding	0.000000	-1.000000	0.000000	1.841326	1.558456
RER1	protein coding	0.000000	-1.000000	0.000000	5.144578	3.052617
PLCH2	protein coding	1.093099	-1.000000	1.093099	0.891141	0.918042
MMEL1	protein coding	0.000000	-1.000000	0.000000	0.742626	0.674878
TTC34	protein coding	1.690684	-1.000000	1.690684	0.148059	0.208680
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.439234	0.431419
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	9.872107	8.040691
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.959667	0.891328
TP73	protein coding	0.000000	-1.000000	0.000000	0.302626	0.278646
AL805961.1	lincRNA	-1.000000	-1.000000	0.000000	17.848037	5.165289
AJAP1	protein coding	0.000000	-1.000000	0.000000	0.097929	0.089049
NPHP4	protein coding	0.000000	-1.000000	0.000000	1.300681	1.170214
KCNAB2	protein coding	0.000000	-1.000000	0.000000	0.666027	0.561175
ACOT7	protein coding	0.000000	-1.000000	0.000000	0.016667	0.016139
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.213696	0.211553
SLC2A5	protein coding	0.000000	-1.000000	0.000000	0.082741	0.072535
CLSTN1	protein coding	0.000000	-1.000000	0.000000	0.330172	0.311998
DISP3	protein coding	0.000000	-1.000000	0.000000	0.096923	0.086983
PLOD1	protein coding	0.000000	-1.000000	0.000000	1.105126	0.962911
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.629103	0.505772
PRAMEF31P	pseudogene	-1.000000	-1.000000	8.540146	0.000000	4.195052
PRAMEF32P	pseudogene	-1.000000	-1.000000	0.000000	6.072478	2.969349
LRRC38	protein coding	0.000000	-1.000000	0.000000	0.146468	0.138337
KAZN	protein coding	0.000000	-1.000000	0.000000	0.018462	0.018254
FHAD1	protein coding	0.000000	-1.000000	0.000000	0.053342	0.048890
CASP9	protein coding	0.759301	-1.000000	0.759301	0.538906	0.571429
NBPF1	protein coding	1.307073	-1.000000	1.307073	2.375655	2.274234
MST1P2	pseudogene	-1.000000	-1.000000	2.314410	0.000000	1.135633
