# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	148370	149707	ENSG00000241860_exon_2	exon	lncRNA	chr1	146385	149707
chr1	149707	155766	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	155766	155831	ENSG00000241860_exon_3	exon	lncRNA	chr1	155766	155831
chr1	155831	157503	ENSG00000241860_intron_3	intron	lncRNA	chr1	155831	164262
chr1	347968	350185	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	1426741	1427553	TMEM88B_intron_1	intron	protein_coding	chr1	1426385	1427553
chr1	1427553	1427787	TMEM88B_exon_2	CDS	protein_coding	chr1	1427553	1427787
chr1	1427787	1428823	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	187495696	187497597	LINC01036_intron_24	intron	lncRNA	chr1	187487248	187571132
chr1	246818076	246818180	ENSG00000235386_exon_1	exon	unprocessed_pseudogene	chr1	246818076	246818180
chr1	248517648	248519265	OR2G6_intron_2	intron	protein_coding	chr1	248509648	248521610
chr11	3289311	3289642	ENSG00000276951_exon_1	exon	processed_pseudogene	chr11	3289311	3289642
chr12	12392064	12393518	BORCS5_intron_2	intron	protein_coding	chr12	12361349	12435627
chr13	86266842	86266926	ENSG00000283371_exon_1	exon	unprocessed_pseudogene	chr13	86266842	86266926
chr13	113672557	113673020	GRK1_intron_3	intron	protein_coding	chr13	113671656	113723073
chr14	93459969	93460046	UNC79_intron_2	intron	protein_coding	chr14	93431051	93467670
chr14	105864793	105864852	IGHJ2P_exon_1	exon	IG_J_pseudogene	chr14	105864793	105864852
chr14	105865199	105865250	IGHJ2_exon_1	exon	IG_J_gene	chr14	105865199	105865250
