# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	858701	861437	TMEM88B_intron_1	intron	protein_coding	chr1	858314	861437
chr1	861437	861671	TMEM88B_exon_2	CDS	protein_coding	chr1	861437	861671
chr1	1101461	1101574	SLC35E2B_intron_2	intron	protein_coding	chr1	1100459	1102766
chr1	1875627	1875669	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	3080153	3080211	MEGF6_intron_35	intron	protein_coding	chr1	3055435	3088285
chr1	3244012	3244053	TP73_intron_15	intron	protein_coding	chr1	3243092	3244345
chr1	3927432	3927462	LINC01777_intron_1	intron	lncRNA	chr1	3926171	3929121
chr1	5531142	5531230	KCNAB2_intron_4	intron	protein_coding	chr1	5521910	5533323
chr1	8611665	8611755	SLC2A5_intron_15	intron	protein_coding	chr1	8607012	8619056
chr1	12669559	12669708	PRAMEF25_intron_1	intron	protein_coding	chr1	12668742	12670491
chr1	15767525	15767551	FBXO42_intron_10	intron	protein_coding	chr1	15756912	15793773
chr1	20634512	20634574	EIF4G3_intron_1	intron	protein_coding	chr1	20634067	20637424
chr1	39533055	39533426	NT5C1A_intron_3	intron	protein_coding	chr1	39531849	39534894
chr1	50443898	50444209	FAF1_intron_7	intron	protein_coding	chr1	50419347	50447007
chr1	51864936	51865265	RAB3B_intron_4	intron	protein_coding	chr1	51858301	51872065
chr1	65675713	65675783	PDE4B_intron_2	intron	protein_coding	chr1	65670723	65790703
chr1	65675937	65676030	PDE4B_intron_2	intron	protein_coding	chr1	65670723	65790703
chr1	68642464	68642526	AL033530.1_intron_2	intron	lncRNA	chr1	68575849	68741348
chr1	69824835	69825141	LRRC7_intron_10	intron	protein_coding	chr1	69809732	69858875
chr1	69855337	69855363	LRRC7_intron_10	intron	protein_coding	chr1	69809732	69858875
chr1	75682772	75682795	MSH4_intron_7	intron	protein_coding	chr1	75659242	75684894
chr1	75723827	75723964	MSH4_intron_15	intron	protein_coding	chr1	75720510	75726746
chr1	83601062	83601111	LINC01725_intron_3	intron	lncRNA	chr1	83592786	83641829
chr1	91613370	91613684	TGFBR3_intron_16	intron	protein_coding	chr1	91611015	91615738
chr1	103638929	103638962	AMY1B_exon_11	CDS	protein_coding	chr1	103638920	103638962
chr1	103638962	103639051	AMY1B_intron_11	intron	protein_coding	chr1	103638962	103639051
chr1	103639051	103639464	AMY1B_exon_12	CDS	protein_coding	chr1	103639051	103639464
chr1	103656733	103656963	AMYP1_exon_1	exon	unprocessed_pseudogene	chr1	103656733	103656963
chr1	103656963	103657472	AMYP1_intron_1	intron	unprocessed_pseudogene	chr1	103656963	103657764
chr1	103693103	103693427	AMY1A_intron_1	intron	protein_coding	chr1	103693071	103693427
chr1	103693427	103693473	AMY1A_UTR_2	five_prime_UTR	protein_coding	chr1	103693427	103693473
chr1	103693473	103693641	AMY1A_exon_1	CDS	protein_coding	chr1	103693473	103693641
chr1	103693641	103693949	AMY1A_intron_2	intron	protein_coding	chr1	103693641	103693949
chr1	103693949	103694133	AMY1A_exon_2	CDS	protein_coding	chr1	103693949	103694133
chr1	103694133	103694936	AMY1A_intron_3	intron	protein_coding	chr1	103694133	103694936
chr1	103694936	103695134	AMY1A_exon_3	CDS	protein_coding	chr1	103694936	103695134
chr1	103695134	103695582	AMY1A_intron_4	intron	protein_coding	chr1	103695134	103695582
chr1	103695582	103695813	AMY1A_exon_4	CDS	protein_coding	chr1	103695582	103695813
chr1	103695813	103696552	AMY1A_intron_5	intron	protein_coding	chr1	103695813	103696552
chr1	103696552	103696686	AMY1A_exon_5	CDS	protein_coding	chr1	103696552	103696686
chr1	103696686	103697502	AMY1A_intron_6	intron	protein_coding	chr1	103696686	103697502
chr1	103697502	103697625	AMY1A_exon_6	CDS	protein_coding	chr1	103697502	103697625
chr1	103697625	103697719	AMY1A_intron_7	intron	protein_coding	chr1	103697625	103697719
chr1	103697719	103697819	AMY1A_exon_7	CDS	protein_coding	chr1	103697719	103697819
chr1	103697819	103699798	AMY1A_intron_8	intron	protein_coding	chr1	103697819	103699798
chr1	103699798	103699917	AMY1A_exon_8	CDS	protein_coding	chr1	103699798	103699917
chr1	103699917	103700027	AMY1A_intron_9	intron	protein_coding	chr1	103699917	103700027
chr1	103700027	103700153	AMY1A_exon_9	CDS	protein_coding	chr1	103700027	103700153
chr1	103700153	103700575	AMY1A_intron_10	intron	protein_coding	chr1	103700153	103700575
chr1	103700575	103700746	AMY1A_exon_10	CDS	protein_coding	chr1	103700575	103700746
chr1	103700746	103701471	AMY1A_intron_11	intron	protein_coding	chr1	103700746	103701471
chr1	103701471	103701661	AMY1A_exon_11	CDS	protein_coding	chr1	103701471	103701661
chr1	103701661	103701695	AMY1A_UTR_3	three_prime_UTR	protein_coding	chr1	103701661	103701695
chr1	120334135	120334385	AC244669.1_intron_1	intron	transcribed_unprocessed_pseudogene	chr1	120281102	120350135
chr1	149468304	149468335	PRPF3_exon_12	CDS	protein_coding	chr1	149468175	149468504
