# This table shows the intersection of dark by depth regions by a gene annotation gff3, showing where dark by depth regions fall within gene body elements
# chrom : Chromosome of dark by depth region
# region_start : start position of dark by depth region within gene-body element
# region_end : end position of dark by depth region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by depth region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by depth reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	18837	18862	WASH7P_intron_9	intron	unprocessed_pseudogene	chr1	18366	24737
chr1	26987	27021	WASH7P_intron_10	intron	unprocessed_pseudogene	chr1	24891	29533
chr1	66244	66321	OR4F5_intron_2	intron	protein_coding	chr1	65573	69036
chr1	153653	153689	ENSG00000241860_intron_2	intron	lncRNA	chr1	149707	155766
chr1	173695	173719	ENSG00000241860_intron_9	intron	lncRNA	chr1	172688	173752
chr1	261054	261081	ENSG00000228463_intron_1	intron	transcribed_processed_pseudogene	chr1	259025	261549
chr1	297913	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	347968	348011	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	489012	489055	CICP7_exon_1	exon	processed_pseudogene	chr1	487101	489387
chr1	722237	722269	CICP3_exon_1	exon	processed_pseudogene	chr1	722092	724360
chr1	857695	857743	LINC01128_exon_9	exon	lncRNA	chr1	851926	859446
chr1	876136	876181	FAM41C_intron_4	intron	lncRNA	chr1	875155	876745
chr1	908548	908739	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	909419	909481	ENSG00000272438_intron_1	intron	lncRNA	chr1	904957	915749
chr1	934043	934213	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934353	934435	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934520	934588	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	934669	934819	SAMD11_intron_6	intron	protein_coding	chr1	931089	935771
chr1	964682	964770	KLHL17_intron_11	intron	protein_coding	chr1	964530	964962
chr1	976841	976867	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977336	977870	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	977934	978016	PERM1_intron_2	intron	protein_coding	chr1	976624	978880
chr1	1065024	1065119	ENSG00000217801_intron_6	intron	transcribed_unprocessed_pseudogene	chr1	1064589	1065351
chr1	1141125	1141551	LINC01342_intron_2	intron	lncRNA	chr1	1141032	1142738
chr1	1232278	1232434	B3GALT6_exon_1	CDS	protein_coding	chr1	1232278	1233268
chr1	1244891	1244976	C1QTNF12_intron_7	intron	protein_coding	chr1	1244497	1246513
chr1	1245005	1245265	C1QTNF12_intron_7	intron	protein_coding	chr1	1244497	1246513
chr1	1284090	1284331	SCNN1D_intron_4	intron	protein_coding	chr1	1284090	1285570
chr1	1289070	1289114	SCNN1D_intron_10	intron	protein_coding	chr1	1288037	1290270
chr1	1315730	1315794	INTS11_intron_13	intron	protein_coding	chr1	1315618	1318678
chr1	1323903	1324041	INTS11_intron_18	intron	protein_coding	chr1	1323287	1324580
chr1	1349118	1349418	DVL1_UTR_3	five_prime_UTR	protein_coding	chr1	1349065	1349418
chr1	1420216	1420264	ANKRD65_exon_2	CDS	protein_coding	chr1	1420051	1420592
chr1	1428025	1428120	TMEM88B_UTR_2	three_prime_UTR	protein_coding	chr1	1427787	1430255
chr1	1599926	1600015	FNDC10_exon_1	CDS	protein_coding	chr1	1599334	1600015
chr1	1600015	1600135	FNDC10_UTR_2	five_prime_UTR	protein_coding	chr1	1600015	1600135
chr1	1667010	1667134	SLC35E2B_intron_2	intron	protein_coding	chr1	1666019	1668326
chr1	1705542	1705574	CDK11A_intron_8	intron	protein_coding	chr1	1705025	1705641
chr1	1712935	1713004	CDK11A_intron_15	intron	protein_coding	chr1	1712427	1716345
