# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF6	protein coding	50.000000	50.051282	50.013031	11.089318	12.338379
RP13-221M14.6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF25	pseudogene	-1.000000	-1.000000	21.093203	12.383702	15.118838
XX-FW84067D5.1	pseudogene	-1.000000	-1.000000	53.879544	40.158172	46.297645
snoU13	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-347K2.1	lincRNA	-1.000000	-1.000000	86.570743	53.063231	54.383148
RP11-347K2.2	lincRNA	-1.000000	-1.000000	58.600000	90.204588	89.152294
RNVU1-1	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP6-206I17.1	lincRNA	-1.000000	-1.000000	15.312500	4.891881	5.164708
NBPF8	protein coding	79.803683	100.000000	80.263158	80.375761	80.358683
LINC00623	lincRNA	-1.000000	-1.000000	45.302788	32.572624	33.661411
AL592284.1	protein coding	0.000000	0.000000	0.000000	8.551551	8.500993
RP6-137J22.3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
GPR89C	protein coding	52.286902	0.000000	26.585624	51.109730	49.964202
RP4-565E6.1	other	-1.000000	-1.000000	16.540928	5.413839	6.309493
NBPF14	protein coding	11.365261	0.000000	8.587632	8.283832	8.334458
CAPN8	protein coding	0.000000	0.000000	0.000000	15.878944	15.409573
KIF28P	pseudogene	-1.000000	-1.000000	0.000000	2.438222	2.291230
RP11-397A15.4	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM21B	protein coding	24.328636	0.000000	21.180556	30.873916	30.117893
ASAH2C	protein coding	1.921025	0.000000	1.752678	2.075505	2.063091
FAM35EP	pseudogene	-1.000000	-1.000000	43.987730	100.000000	87.171561
RN7SL527P	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM21D	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
LINC01150	lincRNA	-1.000000	-1.000000	58.280255	58.578926	58.561124
RP11-707M1.1	pseudogene	-1.000000	-1.000000	0.000000	2.948202	2.920519
LOH12CR1	protein coding	0.000000	0.000000	0.000000	1.347739	1.322079
PTPRQ	protein coding	0.993125	0.000000	0.840155	0.310528	0.328538
UNC79	protein coding	0.000000	0.000000	0.000000	0.020838	0.020285
IGHJ3	other	-1.000000	-1.000000	6.250000	-1.000000	6.250000
IGHJ2P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-26	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-25	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-24	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-23	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-22	other	-1.000000	-1.000000	6.666667	-1.000000	6.666667
AL122127.25	lincRNA	-1.000000	-1.000000	76.652893	74.837743	74.973048
IGHD6-19	other	-1.000000	-1.000000	50.000000	-1.000000	50.000000
IGHD5-18	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-17	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-16	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-15	other	-1.000000	-1.000000	30.000000	-1.000000	30.000000
RP11-403B2.7	lincRNA	-1.000000	-1.000000	31.605247	0.000000	1.914057
RP11-467N20.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-152F13.3	pseudogene	-1.000000	-1.000000	16.220831	45.096793	43.569364
GOLGA6L17P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
DNM1P38	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RPS17	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP13-608F4.6	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ADAMTS7P2	pseudogene	-1.000000	-1.000000	6.786622	6.664944	6.682194
WSCD1	protein coding	0.000000	0.000000	0.000000	0.077264	0.075527
TBC1D3H	protein coding	0.000000	0.000000	0.000000	0.089106	0.086794
RBFOX3	protein coding	0.000000	5.838098	4.191876	3.227347	3.235799
AC125387.1	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGKV2-40	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-685N3.1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP4-576H24.4	protein coding	0.000000	0.000000	0.000000	8.861968	8.719715
RP4-576H24.5	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
APP	protein coding	0.000000	0.000000	0.000000	0.189478	0.186520
DSCAM	protein coding	0.000000	0.000000	0.000000	0.524295	0.518933
DNAH12	protein coding	0.000000	0.000000	0.000000	0.068241	0.064741
snoU13	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM86KP	pseudogene	-1.000000	-1.000000	9.736308	11.415525	11.279309
ALG1L14P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM90A26	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AREGB	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
C4orf51	protein coding	0.000000	0.000000	0.000000	0.902450	0.514159
C5orf60	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP1-60O19.1	lincRNA	-1.000000	-1.000000	0.000000	2.613583	2.388392
PRKAR1B	protein coding	0.000000	0.000000	0.000000	0.325226	0.318851
AC118138.2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
GATSL2	protein coding	88.585859	38.461538	77.751386	66.869798	67.098817
COG5	protein coding	0.000000	0.000000	0.000000	0.942815	0.922694
SPIDR	protein coding	0.000000	0.000000	0.000000	2.838312	2.812691
FAM203B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
AC110280.1	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL590812.3	pseudogene	-1.000000	-1.000000	8.484848	-1.000000	8.484848
ATP5A1P9	pseudogene	-1.000000	-1.000000	59.318182	-1.000000	59.318182
RP11-144A16.1	pseudogene	-1.000000	-1.000000	77.534247	48.551862	49.287353
RP11-15J10.1	pseudogene	-1.000000	-1.000000	36.085627	45.664354	45.485884
MEP1AP2	pseudogene	-1.000000	-1.000000	36.733524	20.671168	24.804601
JADE3	protein coding	0.000000	0.000000	0.000000	13.628240	13.158531
MAGIX	protein coding	0.000000	0.093721	0.068666	0.000000	0.052074
CCNB3	protein coding	0.000000	0.000000	0.000000	0.035597	0.033714
RBM22P10	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP11-472D17.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-472D17.2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-472D17.4	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
XAGE2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
CT47A12	protein coding	87.399194	62.582057	79.572119	3.304097	5.320488
RP6-166C19.21	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A11	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP6-166C19.22	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A10	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP6-166C19.23	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A9	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP6-166C19.18	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CT47A8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RP6-166C19.16	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MAMLD1	protein coding	0.000000	0.000000	0.000000	9.581634	9.152980
PNMA6A	protein coding	0.000000	0.000000	0.000000	34.004855	33.193702
