# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	257864	259025	ENSG00000228463_exon_1	exon	transcribed_processed_pseudogene	chr1	257864	259025
chr1	259025	260780	ENSG00000228463_intron_1	intron	transcribed_processed_pseudogene	chr1	259025	261549
chr1	285952	289265	ENSG00000228463_intron_4	intron	transcribed_processed_pseudogene	chr1	268816	289265
chr1	289265	289370	ENSG00000228463_exon_5	exon	transcribed_processed_pseudogene	chr1	289265	289370
chr1	289370	297344	ENSG00000228463_intron_5	intron	transcribed_processed_pseudogene	chr1	289370	297344
chr1	297344	297502	ENSG00000228463_exon_6	exon	transcribed_processed_pseudogene	chr1	297344	297502
chr1	347968	350185	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	297502	297968	ENSG00000228463_intron_6	intron	transcribed_processed_pseudogene	chr1	297502	356684
chr1	26642286	26642389	ENSG00000238316_exon_1	exon	snoRNA	chr1	26642286	26642389
chr1	243214676	243221723	CEP170_intron_17	intron	protein_coding	chr1	243211964	243221723
chr1	243221723	243221813	CEP170_exon_17	CDS	protein_coding	chr1	243221723	243221813
chr1	243221813	243225175	CEP170_intron_18	intron	protein_coding	chr1	243221813	243225175
chr1	243225175	243225280	CEP170_exon_18	CDS	protein_coding	chr1	243225175	243225280
chr1	243225280	243225321	CEP170_UTR_5	five_prime_UTR	protein_coding	chr1	243225280	243225321
chr1	243225321	243253101	CEP170_intron_19	intron	protein_coding	chr1	243225321	243253101
chr1	243253101	243253320	CEP170_UTR_6	five_prime_UTR	protein_coding	chr1	243253101	243253320
chr1	243253320	243254350	CEP170_intron_20	intron	protein_coding	chr1	243253320	243254350
chr1	243254350	243254470	CEP170_UTR_7	five_prime_UTR	protein_coding	chr1	243254350	243254470
chr1	243254470	243255039	CEP170_intron_21	intron	protein_coding	chr1	243254470	243255039
chr1	243255039	243255348	CEP170_UTR_8	five_prime_UTR	protein_coding	chr1	243255039	243255348
chr1	243256040	243256173	SDCCAG8_UTR_1	five_prime_UTR	protein_coding	chr1	243256040	243256173
chr1	243256173	243256240	SDCCAG8_exon_1	CDS	protein_coding	chr1	243256173	243256240
chr1	243256240	243270104	SDCCAG8_intron_1	intron	protein_coding	chr1	243256240	243270104
chr1	243270104	243270257	SDCCAG8_exon_2	CDS	protein_coding	chr1	243270104	243270257
chr1	243270257	243270977	SDCCAG8_intron_2	intron	protein_coding	chr1	243270257	243270977
chr1	243270977	243271063	SDCCAG8_exon_3	CDS	protein_coding	chr1	243270977	243271063
chr1	243271063	243274542	SDCCAG8_intron_3	intron	protein_coding	chr1	243271063	243274542
chr1	243274542	243274656	SDCCAG8_exon_4	CDS	protein_coding	chr1	243274542	243274656
chr1	243274656	243286271	SDCCAG8_intron_4	intron	protein_coding	chr1	243274656	243286271
chr1	243286271	243286397	SDCCAG8_exon_5	CDS	protein_coding	chr1	243286271	243286397
chr1	243286397	243293090	SDCCAG8_intron_5	intron	protein_coding	chr1	243286397	243293090
chr1	243293090	243293219	SDCCAG8_exon_6	CDS	protein_coding	chr1	243293090	243293219
chr1	243293219	243293398	SDCCAG8_intron_6	intron	protein_coding	chr1	243293219	243293398
