region_id	chrom	length
1 #chrom 0
2 chr1 74187
3 chr1 2281933
4 chr1 311
5 chr1 184
6 chr1 42
7 chr1 835
8 chr1 29
9 chr1 692
10 chr1 7701
11 chr1 5853
12 chr1 203
13 chr1 54
14 chr1 119
15 chr2 78674
16 chr2 430835
17 chr2 14544
18 chr2 330
19 chr2 433
20 chr2 7187
21 chr2 454
22 chr2 575
23 chr2 42
24 chr2 453
25 chr3 19973
26 chr3 21175
27 chr3 3555
28 chr3 3388
29 chr3 291532
30 chr3 43
31 chr3 7273
32 chr3 545
33 chr3 1465
34 chr3 425
35 chr3 44
36 chr3 239
37 chr3 5316
38 chr3 1372
39 chr3 147105
40 chr3 115496
41 chr3 8621
42 chr3 17786
43 chr3 42
44 chr3 442545
45 chr3 62486
46 chr3 121
47 chr3 137
48 chr3 131250
49 chr3 6597
50 chr3 1286
51 chr3 279092
52 chr3 92818
53 chr3 175979
54 chr4 60961
55 chr4 70870
56 chr4 415
57 chr4 3249
58 chr4 9536
59 chr4 441
60 chr4 830
61 chr4 12192
62 chr4 2549
63 chr4 171767
64 chr4 327
65 chr4 48
66 chr4 593
67 chr4 130218
68 chr4 262
69 chr4 10772
70 chr4 221
71 chr4 147
72 chr4 160
73 chr4 515
74 chr4 3683
75 chr4 56
76 chr4 1090
77 chr4 353
78 chr4 35696
79 chr4 501
80 chr4 106523
81 chr4 1836
82 chr4 98
83 chr4 450
84 chr4 4799
85 chr4 236
86 chr4 274
87 chr4 1219
88 chr4 831
89 chr4 470
90 chr4 1518
91 chr4 113
92 chr4 636
93 chr4 1123
94 chr4 136
95 chr4 14470
96 chr4 7483
97 chr4 13183
98 chr4 444872
99 chr4 6396
100 chr4 8856
101 chr4 5380
102 chr4 3157
103 chr4 140
104 chr4 6709
105 chr4 16978
106 chr4 1861
107 chr4 426
108 chr4 388
109 chr4 3368
110 chr4 1196
111 chr4 205
112 chr4 1887
113 chr4 1984
114 chr4 42
115 chr5 394
116 chr5 5134
117 chr5 204
118 chr5 405
119 chr5 1030
120 chr5 65549
121 chr5 97672
122 chr5 95
123 chr5 484
124 chr5 193
125 chr5 3374
126 chr5 2019
127 chr5 810
128 chr5 231
129 chr5 4465
130 chr5 54
131 chr5 9448
132 chr5 847
133 chr5 1345
134 chr5 2574
135 chr5 78
136 chr5 50
137 chr5 10034
138 chr5 179
139 chr5 9743
140 chr5 78
141 chr5 593
142 chr5 39856
143 chr5 252
144 chr5 107
145 chr5 3467
146 chr5 113
147 chr5 635
148 chr5 197
149 chr5 118
150 chr6 1542
151 chr6 938
152 chr6 709646
153 chr6 1114
154 chr6 1140
155 chr6 111
156 chr6 54664
157 chr6 767
158 chr7 619
159 chr7 6405
160 chr7 63218
161 chr7 83280
162 chr7 400275
163 chr7 752700
164 chr7 741594
165 chr7 577223
166 chr7 654
167 chr7 13420
168 chr7 5862
169 chr7 268
170 chr7 603
171 chr7 13471
172 chr7 296
173 chr7 737
174 chr7 533
175 chr7 252
176 chr8 190153
177 chr8 967561
178 chr8 148174
179 chr8 155740
180 chr8 363380
181 chr8 12913
182 chr9 614471
183 chr9 481
184 chr9 28
185 chr9 1042
186 chr9 53
187 chr9 534
188 chr9 1343
189 chr9 1674
190 chr9 9856
191 chr10 10815
192 chr10 60575
193 chr10 716
194 chr10 4449
195 chr10 18008
196 chr10 517
197 chr10 444
198 chr10 398
199 chr10 493
200 chr10 568
201 chr10 499
202 chr10 14999
203 chr10 9846
204 chr10 481
205 chr10 642
206 chr10 2744
207 chr10 1173
208 chr10 6475
209 chr10 5828
210 chr10 35
211 chr10 1510
