region_id	chrom	length
1 #chrom 0
2 chr1 3405
3 chr1 78
4 chr1 15651
5 chr1 40067
6 chr1 83
7 chr1 3684
8 chr1 39632
9 chr1 14626
10 chr1 17551
11 chr1 26718
12 chr1 34436
13 chr1 30324
14 chr1 73945
15 chr1 38544
16 chr1 11002
17 chr1 4236
18 chr1 5506
19 chr1 676
20 chr1 2260
21 chr1 202
22 chr1 19173
23 chr1 57470
24 chr1 3937
25 chr1 209
26 chr1 3363
27 chr1 3425
28 chr1 48109
29 chr1 83103
30 chr1 6694
31 chr1 16744
32 chr1 44067
33 chr1 28129
34 chr1 18511
35 chr1 11815
36 chr2 3936
37 chr2 8761
38 chr2 21776
39 chr2 7498
40 chr2 10481
41 chr2 12190
42 chr2 13477
43 chr2 5253
44 chr2 134364
45 chr2 117294
46 chr4 27648
47 chr4 12601
48 chr5 8752
49 chr5 12165
50 chr5 875
51 chr5 8855
52 chr5 9135
53 chr5 20644
54 chr5 47
55 chr5 9994
56 chr5 39
57 chr5 116
58 chr5 28352
59 chr7 146
60 chr7 7114
61 chr7 368
62 chr7 10055
63 chr7 21886
64 chr7 12876
65 chr7 2282
66 chr7 74
67 chr7 38
68 chr7 5757
69 chr7 30969
70 chr7 5066
71 chr8 60
72 chr8 17193
73 chr8 23
74 chr8 25513
75 chr8 18668
76 chr8 14999
77 chr9 23519
78 chr9 44347
79 chr9 2294
80 chr9 34833
81 chr9 5971
82 chr9 44386
83 chr9 5343
84 chr9 52536
85 chr9 115
86 chr9 4400
87 chr9 1613
88 chr9 20734
89 chr9 64511
90 chr9 59417
91 chr9 92
92 chr9 44275
93 chr9 163
94 chr9 2260
95 chr9 7343
96 chr9 298
97 chr9 37
98 chr9 41613
99 chr9 1038
100 chr9 51017
101 chr9 65
102 chr9 5740
103 chr9 19781
104 chr9 21666
105 chr9 26530
106 chr9 43
107 chr9 29
108 chr9 62
109 chr9 62760
110 chr9 29869
111 chr9 746
112 chr9 102
113 chr9 699
114 chr9 1184
115 chr9 21
116 chr9 395
117 chr9 539
118 chr9 1462
119 chr9 18855
120 chr9 109
121 chr9 10438
122 chr9 90
123 chr9 332
124 chr9 22975
125 chr9 248
126 chr9 726
127 chr9 500
128 chr9 7392
129 chr9 27
130 chr9 94
131 chr9 35312
132 chr9 10352
133 chr9 22596
134 chr9 3455
135 chr9 32418
136 chr9 41972
137 chr10 578
138 chr10 25987
139 chr10 50089
140 chr10 665
141 chr10 22371
142 chr10 59556
143 chr10 61
144 chr10 169
145 chr10 249
146 chr10 38470
147 chr11 13674
148 chr12 122528
149 chr15 10939
150 chr15 12318
151 chr15 21
152 chr15 59175
153 chr15 7475
154 chr15 178
155 chr15 3443
156 chr15 65082
157 chr16 3976
158 chr16 341
159 chr16 25
160 chr16 5780
161 chr16 214
162 chr16 8687
163 chr16 22574
164 chr16 23
165 chr16 27232
166 chr16 19622
167 chr16 11463
168 chr16 19255
169 chr16 42856
170 chr16 30
171 chr16 19780
172 chr16 37142
173 chr17 3682
174 chr17 9570
175 chr19 17929
176 chr20 978
177 chr20 27850
178 chr20 24339
179 chr21 884
180 chr21 24341
181 chr22 896
182 chr22 926
183 chr22 334
184 chrX 24243
185 chrX 80616
186 chrX 107131
187 chrX 49617
188 chrX 4402
189 chrX 9628
190 chrX 25749
191 chrX 15784
192 chrX 25272
193 chrX 103
194 chrX 20136
195 chrX 16334
196 chrX 6706
197 chrX 35
198 chrX 53773
199 chrX 19590
200 chrX 8333
201 chrX 81
202 chrX 7546
203 chrY 45
204 chrY 64999
205 chrY 67689
206 chrY 70
207 chrY 25
208 chrY 62405
209 chrY 58036
210 chrY 204115
211 chrY 176407
212 chrY 16695
213 chrY 21022
214 chrY 99
215 chrY 44728
216 chrY 5101
217 chrY 194868
218 chrY 80365
219 chrY 121005
220 chrY 160817
221 chrY 135195
222 chrY 8758
223 chrY 34064
224 chrY 16693
225 chrY 6919
226 chrY 59516
227 chrY 33116
228 chrY 97138
229 chrY 13335
230 chrY 26
231 chrY 19284
232 chrY 17993
233 chrY 14364
234 chrY 18745
235 chrY 27919
236 chrY 614
237 chrY 84
238 chrY 299
239 chrY 24
240 chrY 99257
241 chrY 48375
242 chrY 42293
243 chrY 17564
244 chrY 64694
245 chrY 11312
246 chrY 34246
247 chrY 59260
248 chrY 97747
249 chrY 23029
250 chrY 149256
251 chrY 120693
252 chrY 68
253 chrY 32733
254 chrY 41707
255 chrY 24
256 chrY 23930
257 chrY 66463
258 chrY 159123
259 chrY 142918
260 chrY 6028
261 chrY 19679
262 chrY 47
263 chrY 17468
264 chrY 352
265 chrY 38
266 chrY 161
267 chrY 311
268 chrY 739
269 chrY 28289
270 chrY 5064
271 chrY 234
272 chrY 106
273 chrY 99960
274 chrY 56133
275 chrY 37759
276 chrY 136
277 chrY 49206
278 chrY 59049
279 chrY 157
280 chrY 255
281 chrY 1486
282 chrY 5679
283 chrY 201549
284 chrY 45751
285 chrY 44
286 chrY 30944
287 chrY 943
288 chrY 65
289 chrY 80901
290 chrY 46454
291 chrY 28526
292 chrY 40185
293 chrY 53
294 chrY 29
295 chrY 452
296 chrY 1071
