# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	27.521368	46.573604	33.425088
WASH7P	pseudogene	-1.000000	-1.000000	26.303089	57.834119	53.603574
MIR1302-10	lincRNA	-1.000000	-1.000000	69.901961	54.579439	64.630225
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	98.381877	99.672561
RP11-34P13.7	lincRNA	-1.000000	-1.000000	1.569507	19.750387	18.285108
CICP27	pseudogene	-1.000000	-1.000000	26.633430	-1.000000	26.633430
AL627309.1	protein coding	0.000000	5.478723	3.872180	0.000000	2.300134
RP11-34P13.13	other	-1.000000	-1.000000	76.977720	53.191571	57.740521
RP11-34P13.9	lincRNA	-1.000000	-1.000000	24.561404	41.733547	34.476367
AP006222.2	lincRNA	-1.000000	-1.000000	11.712623	9.903321	10.083758
CICP7	pseudogene	-1.000000	-1.000000	98.505654	100.000000	98.680927
OR4F29	protein coding	100.000000	67.272727	98.189135	-1.000000	98.189135
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	64.044944	0.000000	63.333333
RP4-669L17.2	lincRNA	-1.000000	-1.000000	72.870662	55.915017	57.485030
RP5-857K21.15	lincRNA	-1.000000	-1.000000	49.777778	71.534196	65.143603
RP4-669L17.1	pseudogene	-1.000000	-1.000000	96.875000	-1.000000	96.875000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	0.000000	33.210105	21.875000
RP5-857K21.2	lincRNA	-1.000000	-1.000000	23.343849	8.316679	9.651212
RP5-857K21.3	lincRNA	-1.000000	-1.000000	0.000000	9.721645	7.684729
WBP1LP6	pseudogene	-1.000000	-1.000000	13.947991	-1.000000	13.947991
OR4F16	protein coding	100.000000	65.454545	98.088531	-1.000000	98.088531
CICP3	pseudogene	-1.000000	-1.000000	22.290139	100.000000	32.159374
RP11-206L10.1	pseudogene	-1.000000	-1.000000	9.311741	0.000000	6.002088
RP11-206L10.3	lincRNA	-1.000000	-1.000000	77.176374	58.492823	69.559917
RP11-206L10.2	lincRNA	-1.000000	-1.000000	9.422492	5.315988	5.708476
MMP23B	protein coding	63.540291	0.000000	57.743097	37.528090	40.947867
CDK11B	protein coding	8.657315	27.760252	12.527964	4.097724	5.425264
MMP23A	pseudogene	-1.000000	-1.000000	67.764915	70.673712	68.936170
CDK11A	protein coding	8.933002	21.179302	12.065251	3.738827	4.991434
PRAMEF10	protein coding	0.000000	0.000000	0.000000	8.051948	5.768515
PRAMEF7	protein coding	60.561404	5.980861	48.182311	21.001757	33.163389
PRAMEF6	protein coding	45.981831	21.846154	39.848840	10.144902	11.098102
PRAMEF22	protein coding	50.519031	-1.000000	50.519031	69.418521	59.795631
PRAMEF25	pseudogene	-1.000000	-1.000000	38.962859	15.527751	22.887324
