region_id	chrom	length
1 #chrom 0
2 chr1 17381
3 chr1 867
4 chr1 52
5 chr1 39
6 chr1 73
7 chr1 87
8 chr1 48984
9 chr1 824
10 chr1 7960
11 chr1 176
12 chr1 206
13 chr1 2183
14 chr1 876
15 chr1 10811
16 chr1 69
17 chr1 4188
18 chr1 3635
19 chr1 197
20 chr1 47
21 chr1 202
22 chr1 40
23 chr1 27
24 chr1 2986
25 chr1 129
26 chr1 339
27 chr1 1143
28 chr1 53
29 chr1 32
30 chr1 3136
31 chr1 378
32 chr1 80
33 chr1 250
34 chr1 47
35 chr1 1112
36 chr1 833
37 chr1 3218
38 chr1 24968
39 chr1 24
40 chr1 382559
41 chr1 294544
42 chr1 500118
43 chr1 929
44 chr1 1837
45 chr1 314285
46 chr1 693
47 chr1 280784
48 chr1 328
49 chr1 24
50 chr1 220
51 chr1 71
52 chr1 3261
53 chr1 160
54 chr1 289717
55 chr1 522
56 chr1 164476
57 chr1 562
58 chr1 3198
59 chr1 148611
60 chr1 233
61 chr1 43822
62 chr1 45903
63 chr1 31
64 chr1 880
65 chr1 141011
66 chr1 106
67 chr1 48
68 chr1 35
69 chr1 15371
70 chr1 32
71 chr1 47188
72 chr1 25048
73 chr1 9702
74 chr1 24103
75 chr1 13670
76 chr2 5687
77 chr2 3684
78 chr2 10646
79 chr2 1406
80 chr2 50092
81 chr2 26779
82 chr2 70
83 chr2 2156
84 chr2 401
85 chr2 234
86 chr2 179
87 chr2 146
88 chr2 21
89 chr2 100533
90 chr2 1991
91 chr2 393
92 chr2 7694
93 chr2 85
94 chr2 20767
95 chr2 5821
96 chr2 756
97 chr2 167
98 chr2 1853
99 chr2 65
100 chr2 885
101 chr2 268
102 chr2 93
103 chr2 33
104 chr2 202
105 chr2 26
106 chr2 672
107 chr2 49
108 chr2 251
109 chr2 485
110 chr2 24
111 chr2 66
112 chr2 496
113 chr2 39683
114 chr2 15424
115 chr2 355
116 chr2 28
117 chr2 105
118 chr2 7444
119 chr2 1204
120 chr2 720
121 chr2 724
122 chr2 91
123 chr2 58
124 chr2 406
125 chr2 32
126 chr2 327
127 chr2 23084
128 chr2 21
129 chr2 391
130 chr2 33
131 chr2 389
132 chr2 45
133 chr2 362
134 chr2 78
135 chr2 185
136 chr2 391
137 chr2 49
138 chr2 1591
139 chr2 622
140 chr2 15956
141 chr2 840
142 chr2 310
143 chr2 164
144 chr2 291
145 chr2 85
146 chr2 124
147 chr2 234
148 chr2 167
149 chr2 1753
150 chr2 61
151 chr2 29
152 chr2 2026
153 chr2 2881
154 chr2 1229
155 chr2 3632
156 chr2 1422
157 chr2 10754
158 chr2 9046
159 chr2 2275
160 chr2 8998
161 chr2 21116
162 chr2 747
163 chr2 80
164 chr2 33
165 chr2 19654
166 chr2 1807
167 chr2 633
168 chr2 25
169 chr2 369
170 chr2 187
171 chr2 337
172 chr2 57
173 chr2 21
174 chr2 69
175 chr2 194
176 chr2 772
177 chr2 1978
178 chr2 8646
179 chr2 3209
180 chr2 1009
181 chr2 85
182 chr2 369
183 chr2 37
184 chr2 236
185 chr2 35
186 chr2 743
187 chr2 845
188 chr2 801
189 chr2 28
190 chr2 623
191 chr2 701
192 chr2 1309
193 chr2 1035
194 chr2 1403
195 chr2 440
196 chr2 144
197 chr2 313
198 chr2 171
199 chr2 149
200 chr2 901
201 chr2 342
202 chr2 612
203 chr2 854
204 chr2 149
205 chr2 21
206 chr2 679
207 chr2 278
208 chr2 95
209 chr2 34
210 chr2 285
211 chr2 25
212 chr2 174
213 chr2 46
214 chr2 572
215 chr2 34
216 chr2 855
217 chr2 47
218 chr2 4122
219 chr2 1852
220 chr2 1094
221 chr2 64
222 chr2 733
223 chr2 12630
224 chr2 99
225 chr2 13292
226 chr2 5298
227 chr2 223
228 chr2 108
229 chr2 34
230 chr2 21
231 chr2 134864
232 chr2 116608
233 chr2 24
234 chr3 30
235 chr3 32
236 chr3 274
237 chr3 10214
238 chr3 199
239 chr3 2514
240 chr3 571
241 chr3 98
242 chr3 1305
243 chr3 443
244 chr3 21
245 chr3 77
246 chr3 45
247 chr3 26
248 chr3 68
249 chr3 150
250 chr3 418
251 chr3 51
252 chr3 158
253 chr3 1362
254 chr3 99
255 chr3 22
256 chr3 1697
257 chr3 33
258 chr3 996
259 chr3 849
260 chr3 376
261 chr3 835
262 chr3 1346
263 chr3 849
264 chr3 38
265 chr3 185
266 chr3 36
267 chr3 292
268 chr3 85
269 chr3 283
270 chr3 76
271 chr3 114
272 chr3 114
273 chr3 24
274 chr3 170
275 chr3 170
276 chr3 147
277 chr3 1789
278 chr3 27
