# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.798155	47.766749	32.086614
WASH7P	pseudogene	-1.000000	-1.000000	11.111111	51.787782	48.166952
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.098039	42.429907	47.459807
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	21.332518	13.679786	4.226543	8.238729
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.439181	8.069236
CICP27	pseudogene	-1.000000	-1.000000	12.909997	-1.000000	12.909997
ENSG00000239906	lincRNA	-1.000000	-1.000000	32.608696	0.000000	19.125683
ENSG00000241860	lincRNA	-1.000000	-1.000000	93.807886	76.302859	80.387798
ENSG00000241599	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
WASH9P	pseudogene	-1.000000	-1.000000	17.120344	23.619004	22.729056
ENSG00000228463	pseudogene	-1.000000	-1.000000	27.581175	14.121632	15.208659
ENSG00000286448	lincRNA	-1.000000	-1.000000	11.156463	0.000000	4.555556
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.593018	85.239750
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	99.878837	100.000000	99.893048
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.382014	4.482421
MTND2P28	pseudogene	-1.000000	-1.000000	19.175455	-1.000000	19.175455
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.789731	65.826331	11.668445
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.141957	4.011847
SAMD11	protein coding	0.000000	0.000000	0.000000	4.808885	3.941507
KLHL17	protein coding	0.000000	0.000000	0.000000	5.799922	2.901655
PERM1	protein coding	0.000000	0.000000	0.000000	35.219194	17.184564
AGRN	protein coding	0.000000	0.000000	0.000000	1.246251	0.969498
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.605477	4.064957
C1orf159	protein coding	0.000000	0.000000	0.000000	1.330065	1.178242
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	16.586716	12.771701
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.666667	12.605239
SCNN1D	protein coding	1.968662	0.000000	1.217694	6.037786	4.364703
INTS11	protein coding	0.000000	0.000000	0.000000	7.156153	5.281636
TMEM88B	protein coding	0.000000	3.524229	2.985075	0.000000	2.189781
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.247004	2.788231
MIB2	protein coding	0.000000	0.000000	0.000000	1.256213	0.917431
MMP23B	protein coding	39.299868	0.000000	37.234043	24.412094	26.225806
CDK11B	protein coding	0.000000	0.000000	0.000000	2.098729	1.790894
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
MMP23A	pseudogene	-1.000000	-1.000000	35.334646	38.470874	36.739130
CDK11A	protein coding	1.075269	0.000000	0.716846	3.220533	2.807353
CFAP74	protein coding	0.263692	0.000000	0.232850	0.558300	0.536111
PRKCZ	protein coding	0.000000	0.000000	0.000000	0.900741	0.865288
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.543004	2.268990	0.164882	0.321147
PLCH2	protein coding	0.000000	0.000000	0.000000	0.851041	0.784393
MMEL1	protein coding	0.000000	0.000000	0.000000	0.724069	0.674894
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.000000	4.540967
TTC34	protein coding	0.000000	3.569068	2.082530	11.939233	11.473708
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	6.495614
PRDM16	protein coding	0.000000	0.000000	0.000000	0.115126	0.112328
ARHGEF16	protein coding	0.000000	0.000000	0.000000	2.040995	1.758167
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.445948
WRAP73	protein coding	0.000000	0.000000	0.000000	1.984625	1.795944
C1orf174	protein coding	0.000000	0.000000	0.000000	4.044444	3.259312
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	8.356861	2.246850
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.292254	0.280877
NPHP4	protein coding	0.000000	0.000000	0.000000	0.034529	0.033163
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.477936	0.431683
ACOT7	protein coding	0.000000	0.000000	0.000000	0.053675	0.052510
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.063204	0.062484
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.186088	0.176734
CASZ1	protein coding	0.000000	0.000000	0.000000	0.045611	0.043113
PLOD1	protein coding	0.000000	0.000000	0.000000	1.077128	0.979847
PRAMEF10	protein coding	0.000000	0.000000	0.000000	2.129870	1.525865
PRAMEF7	protein coding	31.929825	21.946170	29.402516	24.496193	26.756822
PRAMEF29P	pseudogene	-1.000000	-1.000000	49.121265	39.979014	44.954567
PRAMEF6	protein coding	30.258560	6.250000	25.518789	51.767918	46.629337
PRAMEF27	protein coding	0.000000	0.000000	0.000000	18.785174	13.635723
HNRNPCL3	protein coding	13.038549	66.272189	41.508439	0.000000	37.316264
PRAMEF25	protein coding	69.589422	62.254025	67.535070	47.524615	51.862713
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000233336	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF26	protein coding	65.657143	50.879765	61.513158	47.588140	51.264792
HNRNPCL4	protein coding	31.972789	80.359281	55.503786	-1.000000	55.503786
PRAMEF9	protein coding	0.000000	0.000000	0.000000	21.119099	14.281960
PRAMEF31P	pseudogene	-1.000000	-1.000000	37.080292	18.816068	27.787738
PRAMEF5	protein coding	23.759609	14.893617	21.736785	51.537315	45.555916
PRAMEF32P	pseudogene	-1.000000	-1.000000	53.608247	53.672870	53.639847
PRAMEF8	protein coding	24.912281	22.162162	24.596273	28.609987	26.924080
PRAMEF33	protein coding	0.000000	0.000000	0.000000	5.245391	3.763040
KAZN	protein coding	0.000000	0.000000	0.000000	0.011197	0.011100
CASP9	protein coding	0.000000	1.386667	1.017812	0.715850	0.759061
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.643752	0.527953
NBPF1	protein coding	11.929825	61.569096	32.945540	4.998121	8.225514
CROCCP2	pseudogene	-1.000000	-1.000000	0.000000	0.619466	0.525924
ENSG00000282143	lincRNA	-1.000000	-1.000000	88.357843	48.387425	51.451386
RNU1-3	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ESPNP	pseudogene	-1.000000	-1.000000	0.000000	6.254478	5.320251
ENSG00000279151	lincRNA	-1.000000	-1.000000	0.000000	8.399671	7.559289
ENSG00000282740	lincRNA	-1.000000	-1.000000	88.264059	39.540323	43.282321
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	2.576378
MST1L	pseudogene	-1.000000	-1.000000	0.000000	1.521968	1.037385
ENSG00000223643	lincRNA	-1.000000	-1.000000	46.411483	43.146718	44.604701
MFAP2	protein coding	0.000000	22.357724	10.536398	0.000000	1.794454
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.114125	0.110636
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.565745	0.488032
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.051740	0.050405
ECE1	protein coding	0.000000	0.000000	0.000000	0.154039	0.146503
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.932140	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.126697	0.121716
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.424818	0.293210
ENSG00000289694	protein coding	0.000000	0.000000	0.000000	0.048510	0.045722
ENSG00000284699	lincRNA	-1.000000	-1.000000	0.000000	0.177710	0.165328
CLIC4	protein coding	0.000000	0.000000	0.000000	2.127412	2.034587
RSRP1	protein coding	0.000000	0.000000	0.000000	4.363246	4.230753
RHD	protein coding	2.078240	0.000000	1.113294	6.945936	6.633708
RHCE	protein coding	0.000000	0.000000	0.000000	5.280493	5.120469
FAM110D	protein coding	0.000000	6.357215	4.503217	0.000000	2.580381
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.769078	1.362903
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.146783	0.134750
WDTC1	protein coding	0.000000	0.000000	0.000000	0.050506	0.047295
EPB41	protein coding	0.000000	0.000000	0.000000	0.023967	0.022751
MATN1	protein coding	0.000000	0.000000	0.000000	2.865904	1.974326
MATN1-AS1	lincRNA	-1.000000	-1.000000	4.026846	0.000000	1.946414
SDC3	protein coding	0.000000	0.000000	0.000000	0.309911	0.257050
PUM1	protein coding	0.000000	0.000000	0.000000	0.143899	0.137562
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.212164	0.175781
LCK	protein coding	0.000000	0.000000	0.000000	0.723696	0.670084
YARS1	protein coding	0.000000	0.000000	0.000000	0.171384	0.158901
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.786627	3.516606
ENSG00000225313	lincRNA	-1.000000	-1.000000	0.000000	1.330412	1.202950
PHC2	protein coding	0.000000	0.000000	0.000000	0.265996	0.254020
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109978
ENSG00000223944	lincRNA	-1.000000	-1.000000	0.000000	0.049047	0.048139
ZC3H12A-DT	lincRNA	-1.000000	-1.000000	0.000000	0.223264	0.217008
BMP8A	protein coding	0.000000	0.000000	0.000000	0.656482	0.559726
BMP8B	protein coding	0.000000	0.000000	0.000000	1.991958	1.688603
RLF	protein coding	0.000000	0.000000	0.000000	0.039562	0.036462
HIVEP3	protein coding	0.000000	0.000000	0.000000	0.009756	0.007365
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.141692	0.135561
RAD54L	protein coding	0.000000	0.000000	0.000000	0.000000	0.452856
FAAH	protein coding	0.000000	0.000000	0.000000	1.624064	1.454099
CYP4Z2P	pseudogene	-1.000000	-1.000000	2.817783	3.609292	3.587248
CYP4Z1	protein coding	2.964427	0.000000	2.082369	3.100601	3.057529
TRABD2B	protein coding	0.000000	0.000000	0.000000	0.106395	0.103016
SKINT1L	pseudogene	-1.000000	-1.000000	0.000000	0.112657	0.110035
RAB3B	protein coding	0.000000	0.000000	0.000000	0.343029	0.290051
ZYG11B	protein coding	0.000000	0.000000	0.000000	0.030212	0.027755
LRP8	protein coding	0.000000	0.000000	0.000000	0.420767	0.373962
ENSG00000234810	lincRNA	-1.000000	-1.000000	0.000000	0.053770	0.053155
LINC01753	lincRNA	-1.000000	-1.000000	0.000000	1.081232	1.055247
DAB1	protein coding	0.000000	0.000000	0.000000	0.021247	0.075646
PATJ	protein coding	0.000000	0.000000	0.000000	0.022285	0.021779
KANK4	protein coding	0.000000	0.000000	0.000000	0.049702	0.045635
DOCK7	protein coding	0.000000	0.000000	0.000000	0.144523	0.137982
CACHD1	protein coding	0.000000	0.000000	0.000000	0.085488	0.082986
JAK1	protein coding	0.000000	0.000000	0.000000	0.045210	0.043917
LEPR	protein coding	0.000000	0.000000	0.000000	0.181003	0.172018
ENSG00000285407	lincRNA	-1.000000	-1.000000	0.000000	0.291462	0.288363
ENSG00000287453	lincRNA	-1.000000	-1.000000	0.000000	0.503578	0.480324
LRRC7	protein coding	0.000000	0.000000	0.000000	0.005668	0.005308
ZRANB2-DT	lincRNA	-1.000000	-1.000000	0.000000	0.072630	0.069986
NEGR1	protein coding	0.000000	0.000000	0.000000	0.081369	0.080194
FPGT-TNNI3K	protein coding	0.000000	0.000000	0.000000	0.035373	0.034377
SLC44A5	protein coding	0.000000	0.000000	0.000000	0.161352	0.158930
ENSG00000233290	lincRNA	-1.000000	-1.000000	0.000000	0.097526	0.096415
ENSG00000285201	lincRNA	-1.000000	-1.000000	0.000000	16.790730	16.511961
BCL10-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.103014	0.100154
COL24A1	protein coding	0.000000	0.000000	0.000000	0.261151	0.256950
CLCA4-AS1	lincRNA	-1.000000	-1.000000	19.504425	1.543489	2.667208
ZNF644	protein coding	0.000000	0.000000	0.000000	0.033667	0.031783
BCAR3	protein coding	0.000000	0.000000	0.000000	0.031997	0.031534
SLC44A3-AS1	pseudogene	-1.000000	-1.000000	0.000000	0.036699	0.035180
TLCD4-RWDD3	protein coding	0.000000	0.000000	0.000000	0.239512	0.235882
RWDD3-DT	lincRNA	-1.000000	-1.000000	0.000000	0.450477	0.421713
PTBP2	protein coding	0.000000	0.000000	0.000000	0.092485	0.081314
AGL	protein coding	0.000000	0.000000	0.000000	0.083176	0.074665
AMY2A	protein coding	26.888021	72.340426	28.237524	23.426883	24.338561
AMY1A	protein coding	83.333333	100.000000	85.980285	64.437428	68.910621
AMY1B	protein coding	85.481771	100.000000	88.833250	89.179210	89.102777
