# This table shows the intersection of dark by MAPQ regions by a gene annotation gff3, showing where dark by MAPQ regions fall within gene body elements
# chrom : Chromosome of dark by MAPQ region
# region_start : start position of dark by MAPQ region within gene-body element
# region_end : end position of dark by MAPQ region within gene-body element
# gene_body_id : ID of gene body element that contains this dark by MAPQ region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark by MAPQ reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	11869	12227	DDX11L1_exon_1	exon	pseudogene	chr1	11869	12227
chr1	12227	12594	DDX11L1_intron_1	intron	pseudogene	chr1	12227	12594
chr1	12594	12721	DDX11L1_exon_2	exon	pseudogene	chr1	12594	12721
chr1	17858	17914	WASH7P_intron_8	intron	pseudogene	chr1	17742	17914
chr1	17914	18061	WASH7P_exon_9	exon	pseudogene	chr1	17914	18061
chr1	18061	18267	WASH7P_intron_9	intron	pseudogene	chr1	18061	18267
chr1	18267	18342	WASH7P_exon_10	exon	pseudogene	chr1	18267	18379
chr1	18459	18545	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	18682	18812	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	19330	19400	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	19612	19691	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	20592	23123	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	23157	23335	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	23399	24733	WASH7P_intron_10	intron	pseudogene	chr1	18379	24733
chr1	24733	24891	WASH7P_exon_11	exon	pseudogene	chr1	24733	24891
chr1	24891	26976	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	27037	28505	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	28658	28760	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	29059	29228	WASH7P_intron_11	intron	pseudogene	chr1	24891	29320
chr1	29503	29533	WASH7P_intron_12	intron	pseudogene	chr1	29370	29533
chr1	29641	29806	WASH7P_exon_13	exon	pseudogene	chr1	29533	29806
chr1	29641	30039	MIR1302-10_exon_1	exon	lincRNA	chr1	29554	30039
chr1	30039	30266	MIR1302-10_intron_1	intron	lincRNA	chr1	30039	30266
chr1	30266	30589	MIR1302-10_exon_2	exon	lincRNA	chr1	30266	30667
chr1	30740	30805	MIR1302-10_intron_2	intron	lincRNA	chr1	30667	30975
chr1	34554	35174	FAM138A_exon_1	exon	lincRNA	chr1	34554	35174
chr1	35174	35244	FAM138A_intron_1	intron	lincRNA	chr1	35174	35244
chr1	35244	35481	FAM138A_exon_2	exon	lincRNA	chr1	35244	35481
chr1	35481	35720	FAM138A_intron_2	intron	lincRNA	chr1	35481	35720
chr1	35720	36081	FAM138A_exon_3	exon	lincRNA	chr1	35720	36081
chr1	52571	52661	OR4G4P_exon_1	exon	pseudogene	chr1	52473	53312
chr1	53085	53132	OR4G4P_exon_1	exon	pseudogene	chr1	52473	53312
chr1	53289	53312	OR4G4P_exon_1	exon	pseudogene	chr1	52473	53312
chr1	53312	53758	OR4G4P_intron_1	intron	pseudogene	chr1	53312	54829
