# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
CEP170	protein coding	3.851471	20.542636	10.502554	32.289821	30.889093
SDCCAG8	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
FCF1P7	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
AKT3	protein coding	84.601227	92.326960	91.401485	54.073571	55.473396
ENSG00000236031	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NOS1	protein coding	0.000000	0.000000	0.000000	0.000000	0.059010
CYB5AP3	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MOAP1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000259066	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
GON7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000240096	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
BTBD7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000241499	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
UNC79	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1258P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRIMA1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000279593	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM181A-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM181A	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ASB2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000258987	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
CCDC197	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
OTUB2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
DDX24	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27L1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
IFI27L2	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
PPP4R4	protein coding	0.000000	8.050089	3.627570	4.136998	4.118079
IGHG3	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ATP6V1G1P1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHM	other	-1.000000	100.000000	100.000000	100.000000	100.000000
MIR4539	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4538	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4537	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ6	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ3P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ5	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ4	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ3	other	-1.000000	-1.000000	91.666667	-1.000000	91.666667
FAM30A	lincRNA	-1.000000	-1.000000	96.120272	30.595429	43.422702
IGHD1-7	other	-1.000000	-1.000000	62.500000	-1.000000	62.500000
IGHD5-5	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-4	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-3	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV6-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-1-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ADAM6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000225200	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-2	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-2-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-3	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV4-4	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV7-4-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV2-5	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-5-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHVIII-5-2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-6	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-7	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV3-11	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-11-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-12	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-13	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-13-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-14	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-15	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-15-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-16	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVIII-16-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-17	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
SLC20A1P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-18	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV3-19	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000271201	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-20	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000289598	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-21	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV3-43	other	-1.000000	100.000000	64.434180	100.000000	71.268657
IGHVII-43-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHVIII-44	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000283464	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC00221	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHVIV-44-1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHVII-44-2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-45	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV1-46	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-46-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-47	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHVIII-47-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-48	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV3-49	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-49-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-50	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-51	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV8-51-1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHVII-51-2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-52	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-53	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHVII-53-1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV3-54	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV4-55	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV7-56	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV3-57	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHV1-58	other	-1.000000	100.000000	100.000000	100.000000	100.000000
IGHV4-59	other	-1.000000	100.000000	100.000000	100.000000	100.000000
BMERB1	protein coding	69.088937	87.093216	81.023766	50.364182	50.804238
MARF1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
NDE1	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
MYH11	protein coding	84.759672	89.152893	85.372532	45.137254	46.951453
ENSG00000263065	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NOMO3	protein coding	11.646998	74.448529	19.338136	2.112652	11.824305
MIR3670-2	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000257366	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3180-2	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
Y_RNA	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000183889	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000277920	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PKD1P2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NPIPA7	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000261181	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000260126	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000261362	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000284209	protein coding	67.715618	13.274707	27.664818	84.012896	77.835939
ENSG00000288300	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000261499	pseudogene	-1.000000	-1.000000	92.116538	79.745071	80.056519
TBC1D3G	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
TBC1D3F	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
TBC1D3JP	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000289011	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ZNHIT3	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
RNA5SP439	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MYO19	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
