# This table shows the intersection of dark regions by a gene annotation gff3, showing where dark regions fall within gene body elements
# chrom : Chromosome of dark region
# region_start : start position of dark region within gene-body element
# region_end : end position of dark region within gene-body element
# gene_body_id : ID of gene body element that contains this dark region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this dark reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	858701	861437	TMEM88B_intron_1	intron	protein_coding	chr1	858314	861437
chr1	861437	861671	TMEM88B_exon_2	CDS	protein_coding	chr1	861437	861671
chr1	1101461	1101574	SLC35E2B_intron_2	intron	protein_coding	chr1	1100459	1102766
chr1	1875627	1875669	PLCH2_intron_2	intron	protein_coding	chr1	1870228	1908570
chr1	3080153	3080211	MEGF6_intron_35	intron	protein_coding	chr1	3055435	3088285
chr1	3244012	3244053	TP73_intron_15	intron	protein_coding	chr1	3243092	3244345
chr1	3927432	3927462	LINC01777_intron_1	intron	lncRNA	chr1	3926171	3929121
chr1	5531142	5531230	KCNAB2_intron_4	intron	protein_coding	chr1	5521910	5533323
chr1	8611665	8611755	SLC2A5_intron_15	intron	protein_coding	chr1	8607012	8619056
chr1	12669559	12669708	PRAMEF25_intron_1	intron	protein_coding	chr1	12668742	12670491
chr1	15767525	15767551	FBXO42_intron_10	intron	protein_coding	chr1	15756912	15793773
chr1	20634512	20634574	EIF4G3_intron_1	intron	protein_coding	chr1	20634067	20637424
chr1	39533055	39533426	NT5C1A_intron_3	intron	protein_coding	chr1	39531849	39534894
chr1	50443898	50444209	FAF1_intron_7	intron	protein_coding	chr1	50419347	50447007
chr1	51864936	51865265	RAB3B_intron_4	intron	protein_coding	chr1	51858301	51872065
chr1	65675713	65675783	PDE4B_intron_2	intron	protein_coding	chr1	65670723	65790703
chr1	65675937	65676030	PDE4B_intron_2	intron	protein_coding	chr1	65670723	65790703
chr1	68642464	68642526	AL033530.1_intron_2	intron	lncRNA	chr1	68575849	68741348
chr1	69824835	69825141	LRRC7_intron_10	intron	protein_coding	chr1	69809732	69858875
chr1	69855337	69855363	LRRC7_intron_10	intron	protein_coding	chr1	69809732	69858875
chr1	75682772	75682795	MSH4_intron_7	intron	protein_coding	chr1	75659242	75684894
chr1	75723827	75723964	MSH4_intron_15	intron	protein_coding	chr1	75720510	75726746
chr1	83601062	83601111	LINC01725_intron_3	intron	lncRNA	chr1	83592786	83641829
chr1	91613370	91613684	TGFBR3_intron_16	intron	protein_coding	chr1	91611015	91615738
chr1	103504156	103504794	AMY1A_exon_1	CDS	protein_coding	chr1	103504156	103504794
chr1	103504794	103504883	AMY1A_intron_1	intron	protein_coding	chr1	103504794	103504883
chr1	103504883	103504925	AMY1A_exon_2	CDS	protein_coding	chr1	103504883	103504925
chr1	103504925	103505151	AMY1A_intron_2	intron	protein_coding	chr1	103504925	103505151
chr1	103505151	103505365	AMY1A_exon_3	CDS	protein_coding	chr1	103505151	103505365
chr1	103505365	103505673	AMY1A_intron_3	intron	protein_coding	chr1	103505365	103505673
chr1	103505673	103505857	AMY1A_exon_4	CDS	protein_coding	chr1	103505673	103505857
chr1	103505857	103506660	AMY1A_intron_4	intron	protein_coding	chr1	103505857	103506660
chr1	103506660	103506858	AMY1A_exon_5	CDS	protein_coding	chr1	103506660	103506858
chr1	103506858	103507306	AMY1A_intron_5	intron	protein_coding	chr1	103506858	103507306
chr1	103507306	103507537	AMY1A_exon_6	CDS	protein_coding	chr1	103507306	103507537
chr1	103507537	103508276	AMY1A_intron_6	intron	protein_coding	chr1	103507537	103508276
chr1	103508276	103508410	AMY1A_exon_7	CDS	protein_coding	chr1	103508276	103508410
chr1	103508410	103509226	AMY1A_intron_7	intron	protein_coding	chr1	103508410	103509226
chr1	103509226	103509349	AMY1A_exon_8	CDS	protein_coding	chr1	103509226	103509349
chr1	103509349	103509443	AMY1A_intron_8	intron	protein_coding	chr1	103509349	103509443
chr1	103509443	103509543	AMY1A_exon_9	CDS	protein_coding	chr1	103509443	103509543
chr1	103509543	103511523	AMY1A_intron_9	intron	protein_coding	chr1	103509543	103511523
chr1	103511523	103511642	AMY1A_exon_10	CDS	protein_coding	chr1	103511523	103511642
chr1	103511642	103511752	AMY1A_intron_10	intron	protein_coding	chr1	103511642	103511752
chr1	103511752	103511878	AMY1A_exon_11	CDS	protein_coding	chr1	103511752	103511878
chr1	103511878	103512301	AMY1A_intron_11	intron	protein_coding	chr1	103511878	103512301
chr1	103512301	103512472	AMY1A_exon_12	CDS	protein_coding	chr1	103512301	103512472
chr1	103512472	103513197	AMY1A_intron_12	intron	protein_coding	chr1	103512472	103513197
chr1	103513197	103513416	AMY1A_exon_13	CDS	protein_coding	chr1	103513197	103513416
chr1	103516938	103517135	AC105272.1_exon_1	exon	unprocessed_pseudogene	chr1	103516938	103517135
chr1	103536281	103536314	AMY1B_UTR_1	three_prime_UTR	protein_coding	chr1	103536281	103536314
chr1	103536314	103536504	AMY1B_exon_1	CDS	protein_coding	chr1	103536314	103536504
chr1	103536504	103537823	AMY1B_intron_1	intron	protein_coding	chr1	103536504	103537823
chr1	103537823	103537949	AMY1B_exon_2	CDS	protein_coding	chr1	103537823	103537949
chr1	103537949	103538059	AMY1B_intron_2	intron	protein_coding	chr1	103537949	103538059
chr1	103538059	103538178	AMY1B_exon_3	CDS	protein_coding	chr1	103538059	103538178
