# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.621083	46.573604	30.043256
WASH7P	pseudogene	-1.000000	-1.000000	4.633205	49.397951	43.391828
MIR1302-10	lincRNA	-1.000000	-1.000000	50.490196	42.429907	47.717042
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-34P13.7	lincRNA	-1.000000	-1.000000	4.204036	8.775766	8.407310
CICP27	pseudogene	-1.000000	-1.000000	13.513514	-1.000000	13.513514
AL627309.1	protein coding	0.000000	3.297872	2.330827	2.530253	2.411791
RP11-34P13.13	other	-1.000000	-1.000000	75.944462	54.875162	58.904533
RP11-34P13.9	lincRNA	-1.000000	-1.000000	46.491228	27.929374	35.773865
AP006222.2	lincRNA	-1.000000	-1.000000	6.248419	8.093036	7.909077
CICP7	pseudogene	-1.000000	-1.000000	99.757674	100.000000	99.786096
OR4F29	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	84.258812	85.716372
RP5-857K21.15	lincRNA	-1.000000	-1.000000	88.296296	100.000000	96.562228
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	3.210464	22.119532	15.665584
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.412759	4.510436
MTND2P28	pseudogene	-1.000000	-1.000000	19.463087	-1.000000	19.463087
OR4F16	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.952730	42.016807	8.786909
RP11-206L10.1	pseudogene	-1.000000	-1.000000	3.967611	0.000000	2.557411
RP11-206L10.3	lincRNA	-1.000000	-1.000000	52.541675	37.051435	46.226990
RP11-206L10.2	lincRNA	-1.000000	-1.000000	0.000000	2.922990	2.643620
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
RP11-54O7.16	lincRNA	-1.000000	-1.000000	0.000000	4.012231	3.886196
SAMD11	protein coding	0.000000	0.000000	0.000000	4.806046	4.133029
KLHL17	protein coding	0.000000	0.000000	0.000000	5.799922	2.905616
C1orf170	protein coding	0.000000	0.000000	0.000000	31.258106	17.418329
AGRN	protein coding	0.000000	0.000000	0.000000	1.220194	0.969633
RP11-465B22.3	pseudogene	-1.000000	-1.000000	0.000000	5.274460	4.084814
