# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
WASH7P	pseudogene	-1.000000	-1.000000	0.000000	1.056746	0.962680
ENSG00000241860	lincRNA	-1.000000	-1.000000	1.177560	5.743053	4.677658
ENSG00000241599	lincRNA	-1.000000	-1.000000	17.982456	0.000000	7.599629
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	0.126076	0.115894
CICP7	pseudogene	-1.000000	-1.000000	16.195477	0.000000	14.295900
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
ENSG00000272438	lincRNA	-1.000000	-1.000000	0.000000	4.012231	3.886196
SAMD11	protein coding	0.000000	0.000000	0.000000	4.808885	3.941507
KLHL17	protein coding	0.000000	0.000000	0.000000	5.799922	2.901655
PERM1	protein coding	0.000000	0.000000	0.000000	35.219194	17.184564
AGRN	protein coding	0.000000	0.000000	0.000000	1.246251	0.969498
ENSG00000217801	pseudogene	-1.000000	-1.000000	0.000000	5.605477	4.064957
C1orf159	protein coding	0.000000	0.000000	0.000000	1.330065	1.178242
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	13.210332	10.171899
C1QTNF12	protein coding	0.000000	0.000000	0.000000	16.666667	12.605239
SCNN1D	protein coding	1.968662	0.000000	1.217694	6.605892	4.735616
INTS11	protein coding	0.000000	0.000000	0.000000	7.156153	5.281636
TMEM88B	protein coding	0.000000	3.671072	3.109453	0.000000	2.281022
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190916
TMEM240	protein coding	0.000000	0.000000	0.000000	4.247004	2.788231
MIB2	protein coding	0.000000	0.000000	0.000000	1.238138	0.904231
SLC35E2B	protein coding	0.000000	0.000000	0.000000	0.240000	0.189383
CFAP74	protein coding	0.263692	0.000000	0.232850	0.564853	0.542217
PRKCZ	protein coding	0.000000	0.000000	0.000000	1.449052	1.392017
FAAP20	protein coding	0.000000	0.000000	0.000000	0.000000	1.206695
SKI	protein coding	0.000000	3.543004	2.268990	0.160924	0.317484
RER1	protein coding	0.000000	0.000000	0.000000	0.289990	0.182922
PLCH2	protein coding	0.000000	0.000000	0.000000	1.346117	1.240698
PANK4	protein coding	0.000000	0.000000	0.000000	1.822427	1.555925
MMEL1	protein coding	0.000000	0.000000	0.000000	0.817742	0.762206
MMEL1-AS1	lincRNA	-1.000000	-1.000000	0.000000	5.679348	5.157947
TTC34	protein coding	0.000000	5.507821	3.213781	0.723899	0.841494
ENSG00000285945	lincRNA	-1.000000	-1.000000	0.000000	0.000000	0.510756
PRDM16	protein coding	0.000000	0.000000	0.000000	0.111797	0.109080
ARHGEF16	protein coding	0.000000	0.000000	0.000000	0.908572	0.782668
MEGF6	protein coding	0.000000	0.000000	0.000000	0.476042	0.445948
ENSG00000284703	lincRNA	-1.000000	-1.000000	0.000000	8.356861	2.246850
ENSG00000289893	lincRNA	-1.000000	-1.000000	0.000000	0.286791	0.275627
NPHP4	protein coding	0.000000	0.000000	0.000000	0.027302	0.026222
KCNAB2	protein coding	0.000000	0.000000	0.000000	0.479944	0.433497
ACOT7	protein coding	0.000000	0.000000	0.000000	0.053675	0.052510
CAMTA1	protein coding	0.000000	0.000000	0.000000	0.014593	0.014427
CLSTN1	protein coding	0.000000	0.000000	0.000000	0.186088	0.176734
PLOD1	protein coding	0.000000	0.000000	0.000000	1.077128	0.979847
PRAMEF6	protein coding	0.000000	0.000000	0.000000	0.286689	0.230567
PRAMEF27	protein coding	0.000000	32.612967	8.530319	0.000000	2.338358
PRAMEF5	protein coding	0.000000	15.366430	3.505933	0.000000	0.703692
PRAMEF33	protein coding	4.210526	0.000000	3.955175	0.000000	1.117735
KAZN	protein coding	0.000000	0.000000	0.000000	0.011197	0.011100
CASP9	protein coding	0.000000	1.386667	1.017812	0.715850	0.759061
ENSG00000282143	lincRNA	-1.000000	-1.000000	0.000000	1.658358	1.531235
CROCC	protein coding	0.000000	0.000000	0.000000	0.000000	0.009884
ARHGEF10L	protein coding	0.000000	0.000000	0.000000	0.114125	0.110636
VWA5B1	protein coding	0.000000	0.000000	0.000000	0.565745	0.488032
EIF4G3	protein coding	0.000000	0.000000	0.000000	0.050080	0.048788
ECE1	protein coding	0.000000	0.000000	0.000000	0.154039	0.146503
NBPF2P	pseudogene	-1.000000	-1.000000	0.000000	0.932140	0.748055
ALPL	protein coding	0.000000	0.000000	0.000000	0.129713	0.124614
LDLRAD2	protein coding	0.000000	0.000000	0.000000	0.368921	0.254630
ENSG00000284699	lincRNA	-1.000000	-1.000000	0.000000	0.177710	0.165328
CLIC4	protein coding	0.000000	0.000000	0.000000	0.714422	0.683249
RSRP1	protein coding	0.000000	0.000000	0.000000	0.036539	0.035430
RHD	protein coding	2.078240	0.000000	1.113294	0.000000	0.058568
FAM110D	protein coding	0.000000	6.104945	4.324518	0.000000	2.477985
CNKSR1	protein coding	0.000000	0.000000	0.000000	1.769078	1.362903
RPS6KA1	protein coding	0.000000	0.000000	0.000000	0.141970	0.130332
WDTC1	protein coding	0.000000	0.000000	0.000000	0.047620	0.044592
EPB41	protein coding	0.000000	0.000000	0.000000	0.024419	0.023180
MATN1	protein coding	0.000000	0.000000	0.000000	2.865904	1.974326
MATN1-AS1	lincRNA	-1.000000	-1.000000	4.026846	0.000000	1.946414
SDC3	protein coding	0.000000	0.000000	0.000000	0.306843	0.254505
PUM1	protein coding	0.000000	0.000000	0.000000	0.143899	0.137562
SPOCD1	protein coding	0.000000	0.000000	0.000000	0.212164	0.175781
LCK	protein coding	0.000000	0.000000	0.000000	0.717511	0.664357
YARS1	protein coding	0.000000	0.000000	0.000000	0.171384	0.158901
A3GALT2	protein coding	0.000000	-1.000000	0.000000	3.786627	3.516606
ENSG00000225313	lincRNA	-1.000000	-1.000000	0.000000	1.330412	1.202950
PHC2	protein coding	0.000000	0.000000	0.000000	0.265996	0.254020
THRAP3	protein coding	0.000000	0.000000	0.000000	0.116605	0.109978
ENSG00000223944	lincRNA	-1.000000	-1.000000	0.000000	0.049047	0.048139
ZC3H12A-DT	lincRNA	-1.000000	-1.000000	0.000000	0.223264	0.217008
RLF	protein coding	0.000000	0.000000	0.000000	0.039562	0.036462
HIVEP3	protein coding	0.000000	0.000000	0.000000	0.008005	0.006043
FOXJ3	protein coding	0.000000	0.000000	0.000000	0.141692	0.135561
RAD54L	protein coding	0.000000	0.000000	0.000000	0.000000	0.452856
FAAH	protein coding	0.000000	0.000000	0.000000	1.624064	1.454099
CYP4Z2P	pseudogene	-1.000000	-1.000000	0.000000	0.109427	0.106379
TRABD2B	protein coding	0.000000	0.000000	0.000000	0.106395	0.103016
SPATA6	protein coding	0.000000	0.000000	0.000000	0.036099	0.035061
RAB3B	protein coding	0.000000	0.000000	0.000000	0.343029	0.290051
