region_id	chrom	length
1 #chrom 0
2 chr1 3603
3 chr1 2033
4 chr1 77
5 chr1 2304
6 chr1 872
7 chr1 39640
8 chr1 2342
9 chr1 2280975
10 chr2 82835
11 chr2 430835
12 chr2 26966
13 chr2 55421
14 chr2 313
15 chr2 77
16 chr2 313
17 chr2 761
18 chr2 1104
19 chr2 31206
20 chr2 614
21 chr2 3674
22 chr2 391
23 chr2 454
24 chr2 201
25 chr2 86
26 chr2 20995
27 chr2 714
28 chr2 66
29 chr2 124
30 chr2 3742
31 chr2 9186
32 chr2 459
33 chr2 1220
34 chr2 565
35 chr2 22226
36 chr2 8220
37 chr2 6508
38 chr2 5030
39 chr2 173
40 chr2 666
41 chr2 460
42 chr2 3642
43 chr2 11034
44 chr2 617
45 chr2 68
46 chr2 303
47 chr2 377
48 chr2 4232
49 chr2 367
50 chr2 562
51 chr2 239
52 chr2 103
53 chr2 215
54 chr2 44
55 chr2 57
56 chr2 1504
57 chr2 1255
58 chr2 246
59 chr2 1534
60 chr2 9922
61 chr2 2870
62 chr2 1288
63 chr2 1685
64 chr2 1412
65 chr2 248
66 chr2 642
67 chr3 43
68 chr3 99
69 chr3 1505
70 chr3 101
71 chr3 186
72 chr3 787
73 chr3 25153
74 chr3 48
75 chr3 59
76 chr3 120
77 chr3 286
78 chr3 47
79 chr3 13165
80 chr3 31
81 chr3 48
82 chr3 2150
83 chr3 178
84 chr3 928
85 chr3 83756
86 chr3 535
87 chr3 330
88 chr3 3142
89 chr3 59
90 chr3 263
91 chr3 226
92 chr3 964
93 chr3 77
94 chr3 741
95 chr3 906
96 chr3 142613
97 chr3 92484
98 chr3 432
99 chr3 253
100 chr3 433985
101 chr3 60384
102 chr3 219
103 chr3 881
104 chr3 32375
105 chr3 3093
106 chr3 3686
107 chr3 1613
108 chr3 44599
109 chr3 4805
110 chr3 37
111 chr3 25
112 chr3 277451
113 chr3 622
114 chr3 95044
115 chr3 173566
116 chr3 892
117 chr4 70370
118 chr4 161
119 chr4 1422
120 chr4 751
121 chr4 498
122 chr4 3341
123 chr4 2800
124 chr4 472
125 chr4 159
126 chr4 94
127 chr4 120
128 chr4 300
129 chr4 442
130 chr4 680
131 chr4 213
132 chr4 188
133 chr4 40
134 chr4 146180
135 chr4 37
136 chr4 54
137 chr4 117349
138 chr4 119
139 chr4 28
140 chr4 84
141 chr4 208
142 chr4 94597
143 chr4 551
144 chr4 394
145 chr4 94
146 chr4 12004
147 chr4 22
148 chr4 4303
149 chr4 1447
150 chr4 380
151 chr4 57153
152 chr4 189
153 chr4 1202
154 chr4 317
155 chr4 281762
156 chr4 1231
157 chr4 109
158 chr4 8393
159 chr4 335
160 chr4 1597
161 chr4 27
162 chr4 351
163 chr4 6187
164 chr4 2557
165 chr4 37
166 chr4 1673
167 chr4 4256
168 chr4 679
169 chr4 716
170 chr4 124
171 chr4 329
172 chr4 86
173 chr4 102
174 chr4 1257
175 chr4 2002
176 chr4 42
177 chr5 4623
178 chr5 1301
179 chr5 292
180 chr5 1495
181 chr6 3741
182 chr6 1646
183 chr6 116004
184 chr6 16537
185 chr6 73
186 chr6 1208
187 chr6 20258
188 chr6 477
189 chr6 907
190 chr6 1887
191 chr6 3902
192 chr6 29
193 chr6 240
194 chr6 277
195 chr6 126
196 chr6 505701
197 chr6 1240
198 chr6 1156
199 chr6 167
200 chr6 55820
201 chr6 789
202 chr7 55959
203 chr7 83280
204 chr7 400275
205 chr7 161334
206 chr7 92
207 chr7 211178
208 chr7 85380
209 chr7 10774
210 chr7 237566
211 chr7 606866
212 chr7 105961
213 chr7 577223
214 chr8 190477
215 chr8 501811
216 chr8 455322
217 chr8 541
218 chr8 2242
219 chr8 92284
220 chr8 175
221 chr8 10651
222 chr8 719
223 chr8 76138
224 chr8 549
225 chr8 250
226 chr8 354762
227 chr8 12913
228 chr9 192
229 chr9 606687
230 chr9 1786
231 chr9 169
232 chr9 3940
233 chr9 34
234 chr9 6035
235 chr9 2978
236 chr9 2806
237 chr9 9071
238 chr9 1779
239 chr10 17777
240 chr10 497
241 chr10 148
242 chr10 599
243 chr10 231
244 chr10 552
245 chr10 45
246 chr10 464
