# This table shows what percentage of genes are dark by depth, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by depth within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by depth
# perc_intron : percent of intronic bases that are dark by depth
# perc_total : percent of total gene that is dark by depth
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
ENSG00000241860	lincRNA	-1.000000	-1.000000	18.602805	31.014901	28.118439
ENSG00000228463	pseudogene	-1.000000	-1.000000	0.000000	2.368742	2.177436
TMEM88B	protein coding	47.560976	38.032305	39.490050	69.520548	47.490876
TTC34	protein coding	0.000000	0.000000	0.000000	0.814386	0.775923
LINC01036	lincRNA	-1.000000	-1.000000	0.000000	0.272091	0.266300
AKT3	protein coding	2.822086	1.661518	1.800544	2.776036	2.739454
ENSG00000235386	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR2T1	protein coding	0.000000	74.520070	40.608654	21.087487	29.344328
OR2G6	protein coding	0.000000	0.000000	0.000000	12.350781	8.378322
DUX4L29	pseudogene	-1.000000	-1.000000	0.294985	-1.000000	0.294985
AP2A2	protein coding	23.746975	0.000000	11.125506	18.968087	18.413763
MUC6	protein coding	12.469055	7.480315	12.018490	26.898693	21.644696
ENSG00000231487	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
FAM99A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000276951	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRH1	protein coding	0.000000	0.000000	0.000000	0.000000	1.087847
ATP8A2	protein coding	0.000000	0.000000	0.000000	4.666906	4.596889
ENSG00000283371	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
LINC02336	lincRNA	-1.000000	-1.000000	0.000000	0.620372	0.616986
GRK1	protein coding	0.000000	0.000000	0.000000	0.698499	0.656579
5_8S_rRNA	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ3	other	-1.000000	-1.000000	6.250000	-1.000000	6.250000
IGHJ2P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ2	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD7-27	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHJ1P	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000289536	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
FAM30A	lincRNA	-1.000000	-1.000000	3.879728	65.065162	53.087381
IGHD1-26	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-25	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-24	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-23	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-22	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-21	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-20	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-19	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-18	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-17	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-16	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD2-15	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-14	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD6-13	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD5-12	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD4-11	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD3-10	other	-1.000000	-1.000000	3.333333	-1.000000	3.333333
IGHD2-8	other	-1.000000	-1.000000	100.000000	-1.000000	100.000000
IGHD1-7	other	-1.000000	-1.000000	12.500000	-1.000000	12.500000
IGHV3-64D	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
IGHV5-10-1	other	-1.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000260409	lincRNA	-1.000000	-1.000000	15.865084	2.391786	3.207747
ENSG00000259214	pseudogene	-1.000000	-1.000000	18.817204	-1.000000	18.817204
POTEB2	protein coding	17.308869	0.000000	16.785291	24.230927	23.825221
ENSG00000260739	lincRNA	-1.000000	-1.000000	11.580882	15.605278	14.648010
ENSG00000278552	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
HERC2	protein coding	0.000000	0.000000	0.000000	7.930492	7.353450
RPL41P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR4509-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
