# This table shows what percentage of genes are camo, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are camo within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are camo
# perc_intron : percent of intronic bases that are camo
# perc_total : percent of total gene that is camo
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
NBPF5P	pseudogene	-1.000000	-1.000000	0.000000	10.892691	10.392841
SLC25A24P2	pseudogene	-1.000000	-1.000000	0.000000	9.811066	9.678106
ENSG00000274642	pseudogene	-1.000000	-1.000000	0.000000	0.239850	0.238183
ENSG00000223804	pseudogene	-1.000000	-1.000000	0.000000	0.397652	0.391752
ENSG00000275767	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
LINC02802	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RNA5SP529	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
KMT2CP2	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PPIAL4E	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
PPIAL4F	protein coding	100.000000	99.621212	99.868248	-1.000000	99.868248
ENSG00000224363	lincRNA	-1.000000	-1.000000	0.000000	53.949208	53.464785
RNA5SP59	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000273825	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF20	protein coding	11.941444	0.000000	10.275295	9.778046	9.850188
RNU6-1071P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4P2	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNU6-1171P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NUDT4B	protein coding	99.816850	0.000000	14.968415	-1.000000	14.968415
RNA5S5	rRNA	-1.000000	-1.000000	79.661017	-1.000000	79.661017
RNA5S6	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S7	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S8	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S10	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RNA5S11	rRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000281113	lincRNA	-1.000000	-1.000000	95.943563	0.000000	24.738518
ENSG00000281087	pseudogene	-1.000000	-1.000000	99.355878	-1.000000	99.355878
ENSG00000281179	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000260739	lincRNA	-1.000000	-1.000000	100.000000	0.000000	23.786620
RPS8P10	pseudogene	-1.000000	-1.000000	99.355878	-1.000000	99.355878
IGHV1OR15-1	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
NPIPA3	protein coding	8.403361	18.396226	11.482558	13.193080	13.039117
ENSG00000261695	lincRNA	-1.000000	-1.000000	16.955017	25.059557	24.651932
NPIPA2	protein coding	8.403361	29.396985	12.979189	27.133583	26.006367
NOMO3	protein coding	11.646998	74.448529	19.338136	1.820476	6.313324
ENSG00000257563	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3180-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
ENSG00000257527	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
MIR3179-3	miRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
NOMO2	protein coding	10.114619	63.715847	18.444293	1.295702	1.992601
NPIPB3	protein coding	5.825243	75.517891	20.108066	43.356273	44.489532
NPIPB5	protein coding	0.665004	69.372214	41.799177	31.938397	27.244226
ENSG00000260419	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TP53TG3C	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
