# This table shows what percentage of genes are dark, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark
# perc_intron : percent of intronic bases that are dark
# perc_total : percent of total gene that is dark
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	22.222222	46.573604	29.767991
WASH7P	pseudogene	-1.000000	-1.000000	7.722008	49.771894	44.130027
MIR1302-10	lincRNA	-1.000000	-1.000000	50.392157	42.429907	47.652733
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP11-34P13.7	lincRNA	-1.000000	-1.000000	4.119955	8.756111	8.382463
CICP27	pseudogene	-1.000000	-1.000000	13.461034	-1.000000	13.461034
AL627309.1	protein coding	0.000000	7.978723	5.639098	2.420242	4.332291
RP11-34P13.13	other	-1.000000	-1.000000	75.524701	55.253111	59.129925
RP11-34P13.9	lincRNA	-1.000000	-1.000000	46.491228	30.176565	37.071362
AP006222.2	lincRNA	-1.000000	-1.000000	6.425500	8.252767	8.070538
CICP7	pseudogene	-1.000000	-1.000000	99.676898	100.000000	99.714795
OR4F29	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
AL732372.1	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
RP4-669L17.2	lincRNA	-1.000000	-1.000000	100.000000	84.339289	85.789397
RP5-857K21.15	lincRNA	-1.000000	-1.000000	88.148148	100.000000	96.518712
RP4-669L17.1	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
RP5-857K21.1	lincRNA	-1.000000	-1.000000	3.448276	22.119532	15.746753
RP5-857K21.2	lincRNA	-1.000000	-1.000000	15.772871	3.289777	4.398375
MTND2P28	pseudogene	-1.000000	-1.000000	15.915628	-1.000000	15.915628
OR4F16	protein coding	100.000000	100.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	4.156479	41.736695	8.929207
RP11-206L10.1	pseudogene	-1.000000	-1.000000	4.615385	0.000000	2.974948
RP11-206L10.3	lincRNA	-1.000000	-1.000000	51.265693	37.589713	45.690601
RP11-206L10.2	lincRNA	-1.000000	-1.000000	0.000000	2.955111	2.672670
FAM41C	lincRNA	-1.000000	-1.000000	0.000000	7.286505	5.661232
RP11-54O7.16	lincRNA	-1.000000	-1.000000	0.000000	4.040030	3.913122
SAMD11	protein coding	0.000000	0.000000	0.000000	4.835567	4.158416
KLHL17	protein coding	0.000000	0.000000	0.000000	5.722071	2.866615
C1orf170	protein coding	0.000000	0.000000	0.000000	30.998703	17.273779
AGRN	protein coding	0.000000	0.000000	0.000000	1.181736	0.939071
RP11-465B22.3	pseudogene	-1.000000	-1.000000	0.000000	5.274460	4.084814
C1orf159	protein coding	0.000000	0.000000	0.000000	1.333858	1.178242
RP11-465B22.5	lincRNA	-1.000000	-1.000000	0.000000	16.808118	12.942179
FAM132A	protein coding	0.000000	0.000000	0.000000	16.697588	12.628625
SCNN1D	protein coding	1.968662	0.000000	1.217694	7.253270	5.158285
CPSF3L	protein coding	0.000000	0.000000	0.000000	6.886614	5.287655
ATAD3A	protein coding	0.000000	0.000000	0.000000	0.218718	0.190806
TMEM240	protein coding	0.000000	0.000000	0.000000	3.599823	3.087706
