region_id	chrom	length
1 #chrom 0
2 chr1 73297
3 chr1 44735
4 chr1 35615
5 chr1 61412
6 chr1 30
7 chr1 18535
8 chr1 6624
9 chr1 195
10 chr1 80
11 chr1 21155
12 chr1 39
13 chr1 35617
14 chr1 413
15 chr1 23
16 chr1 857
17 chr1 126
18 chr1 9410
19 chr1 860
20 chr1 24847
21 chr1 109636
22 chr1 60677
23 chr1 58
24 chr1 7863
25 chr1 5876
26 chr1 3862
27 chr1 102906
28 chr1 1518
29 chr1 6136
30 chr1 153
31 chr1 4047
32 chr1 100
33 chr1 37269
34 chr1 142165
35 chr1 29
36 chr1 167
37 chr1 7100
38 chr1 4951
39 chr1 271
40 chr1 82
41 chr1 13912
42 chr1 102
43 chr1 149915
44 chr1 7212
45 chr1 4639
46 chr1 80746
47 chr1 113
48 chr1 116
49 chr1 138
50 chr1 27
51 chr1 4907
52 chr1 40
53 chr1 21623
54 chr1 5873
55 chr1 12839
56 chr1 18042
57 chr1 5080
58 chr1 308
59 chr1 265
60 chr1 91
61 chr1 4672
62 chr1 13355
63 chr1 8990
64 chr1 50
65 chr1 91
66 chr1 4258
67 chr1 80
68 chr1 221
69 chr1 80
70 chr1 207
71 chr1 458
72 chr1 145
73 chr1 556
74 chr1 127
75 chr1 5045
76 chr1 522
77 chr1 42
78 chr1 25776
79 chr1 10099
80 chr1 109
81 chr1 480
82 chr1 23
83 chr1 92
84 chr1 56889
85 chr1 52235
86 chr1 651
87 chr1 268
88 chr1 92
89 chr1 25
90 chr1 9127
91 chr1 42522
92 chr1 150
93 chr1 1213
94 chr1 22
95 chr1 77389
96 chr1 3323
97 chr1 11255
98 chr1 62
99 chr1 760
100 chr1 51
101 chr1 29076
102 chr1 142
103 chr1 47
104 chr1 116
105 chr1 60
106 chr1 65389
107 chr1 6422
108 chr1 160
109 chr1 13747
110 chr1 2043
111 chr1 29
112 chr1 27
113 chr1 672
114 chr1 35
115 chr1 21
116 chr1 126
117 chr1 29
118 chr1 65
119 chr1 74
120 chr1 143
121 chr1 171
122 chr1 46257
123 chr1 17260
124 chr1 208
125 chr1 37
126 chr1 48445
127 chr1 216
128 chr1 12749
129 chr1 1737
130 chr1 156
131 chr1 203
132 chr1 348
133 chr1 18041
134 chr1 17296
135 chr1 56
136 chr1 2393
137 chr1 101
138 chr1 76
139 chr1 118
140 chr1 1460
141 chr1 143
142 chr1 30680
143 chr1 22863
144 chr1 22
145 chr1 75570
146 chr1 7271
147 chr1 99
148 chr1 12384
149 chr1 41800
150 chr1 37262
151 chr1 25755
152 chr1 1389
153 chr1 47
154 chr1 114
155 chr1 310688
156 chr1 455
157 chr1 5955
158 chr1 1986
159 chr1 598
160 chr1 57963
161 chr1 485
162 chr1 16564
163 chr1 37013
164 chr1 732
165 chr1 99
166 chr1 883
167 chr1 1182
168 chr1 21
169 chr1 506
170 chr1 61
171 chr1 33
172 chr1 24
173 chr1 65
174 chr1 851
175 chr1 188
176 chr1 632
177 chr1 39
178 chr1 50
179 chr1 20630
180 chr1 100
181 chr1 20673
182 chr1 27
183 chr1 6444
184 chr1 12331
185 chr1 40196
186 chr1 46796
187 chr1 26192
188 chr1 15597
189 chr1 1473
190 chr1 33444
191 chr1 63129
192 chr1 3254
193 chr1 706
194 chr1 21
195 chr1 28
196 chr1 3599
197 chr1 56161
198 chr1 18481
199 chr1 57
200 chr1 1239
201 chr1 10333
202 chr1 40
203 chr1 786
204 chr1 61
205 chr1 25
206 chr1 647
207 chr1 103
208 chr1 3209
209 chr1 15607
210 chr1 131
211 chr1 13555
212 chr1 244
213 chr1 109
214 chr1 198
215 chr1 92985
216 chr1 20703
217 chr1 90
218 chr1 7644
219 chr1 7459
220 chr1 1601
221 chr1 12517
222 chr1 14634
223 chr1 781
224 chr1 22651
225 chr1 88
226 chr1 76
227 chr1 70
228 chr1 115
229 chr1 8978
230 chr1 18783
231 chr1 19049
232 chr1 199
233 chr1 146
234 chr1 22
235 chr1 34330
236 chr1 727
237 chr1 11645
238 chr1 93978
