# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
DDX11L1	pseudogene	-1.000000	-1.000000	24.740484	47.766749	32.047244
WASH7P	pseudogene	-1.000000	-1.000000	14.148148	51.273885	47.969142
MIR1302-2HG	lincRNA	-1.000000	-1.000000	50.294118	42.429907	47.588424
FAM138A	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
OR4F5	protein coding	0.917431	22.249389	14.252961	4.282897	8.514434
ENSG00000238009	lincRNA	-1.000000	-1.000000	4.026846	8.495688	8.121005
CICP27	pseudogene	-1.000000	-1.000000	12.175282	-1.000000	12.175282
ENSG00000268903	pseudogene	-1.000000	-1.000000	4.111406	-1.000000	4.111406
ENSG00000239906	lincRNA	-1.000000	-1.000000	26.708075	0.000000	15.664845
ENSG00000241860	lincRNA	-1.000000	-1.000000	92.828791	70.471204	75.688527
ENSG00000241599	lincRNA	-1.000000	-1.000000	84.210526	100.000000	93.327155
WASH9P	pseudogene	-1.000000	-1.000000	17.406877	21.095704	20.590543
ENSG00000228463	pseudogene	-1.000000	-1.000000	28.201386	14.102400	15.241070
ENSG00000286448	lincRNA	-1.000000	-1.000000	13.061224	0.000000	5.333333
ENSG00000236601	lincRNA	-1.000000	-1.000000	100.000000	82.576627	85.225851
WBP1LP7	pseudogene	-1.000000	-1.000000	100.000000	-1.000000	100.000000
OR4F29	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP7	pseudogene	-1.000000	-1.000000	82.794830	100.000000	84.812834
ENSG00000235146	lincRNA	-1.000000	-1.000000	15.772871	3.197540	4.314330
MTND2P28	pseudogene	-1.000000	-1.000000	15.819751	-1.000000	15.819751
OR4F16	protein coding	100.000000	-1.000000	100.000000	-1.000000	100.000000
CICP3	pseudogene	-1.000000	-1.000000	3.300733	64.705882	11.099253
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	3.357934	2.585595
SCNN1D	protein coding	0.000000	0.000000	0.000000	0.673801	0.439921
MMP23B	protein coding	38.110964	0.000000	36.107635	24.636058	25.709677
CDK11B	protein coding	0.000000	0.000000	0.000000	2.044536	1.744650
MMP23A	pseudogene	-1.000000	-1.000000	36.712598	38.470874	37.500000
CDK11A	protein coding	1.075269	0.000000	0.716846	3.302272	2.875603
SKI	protein coding	0.000000	0.000000	0.000000	0.027700	0.025643
PLCH2	protein coding	97.663551	82.110092	94.398074	67.364502	69.481597
ENSG00000224387	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000229393	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
PANK4	protein coding	100.000000	100.000000	100.000000	98.346196	98.588040
HES5	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000272449	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14-AS1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
TNFRSF14	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
ENSG00000225931	other	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000228037	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
ENSG00000289610	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRXL2B	protein coding	100.000000	100.000000	100.000000	100.000000	100.000000
MMEL1	protein coding	93.418803	65.055762	88.116748	85.554065	85.728107
MMEL1-AS1	lincRNA	-1.000000	-1.000000	50.537634	26.956522	29.121422
TTC34	protein coding	60.771605	58.559154	59.480653	55.760604	55.936299
ENSG00000285945	lincRNA	-1.000000	-1.000000	100.000000	100.000000	99.519289
