# This table shows what percentage of genes are dark by MAPQ, stratefied by genebody element
# gene_name : Ensembl gene name
# biotype : GENCODE biotype of gene
# biotype : percent of CDS bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_UTR : percent of UTR bases that are dark by MAPQ within gene (non protein-coding genes will have value of -1)
# perc_exon : percent of exonic bases that are dark by MAPQ
# perc_intron : percent of intronic bases that are dark by MAPQ
# perc_total : percent of total gene that is dark by MAPQ
gene_name	biotype	perc_CDS	perc_UTR	perc_exon	perc_intron	perc_total
AL627309.3	lincRNA	-1.000000	-1.000000	99.848255	100.000000	99.848600
AP006222.2	lincRNA	-1.000000	-1.000000	60.816327	84.925094	75.097060
AC114498.1	lincRNA	-1.000000	-1.000000	24.447950	41.194462	39.643587
AL731661.1	lincRNA	-1.000000	-1.000000	91.677019	64.543269	77.886378
WBP1LP6	pseudogene	-1.000000	-1.000000	93.144208	-1.000000	93.144208
OR4F21	protein coding	48.338369	-1.000000	48.338369	-1.000000	48.338369
AC092192.1	lincRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
CICP18	pseudogene	-1.000000	-1.000000	30.100334	36.892326	35.323652
CICP3	pseudogene	-1.000000	-1.000000	29.330065	10.924370	26.987522
AL669831.1	pseudogene	-1.000000	-1.000000	23.495568	29.395515	28.676471
AC093752.3	lincRNA	-1.000000	-1.000000	1.220866	-1.000000	1.220866
AC093392.2	pseudogene	-1.000000	-1.000000	74.404762	-1.000000	74.404762
AC093392.2	pseudogene	-1.000000	-1.000000	48.214286	-1.000000	48.214286
AL669831.2	lincRNA	-1.000000	-1.000000	0.000000	4.494382	2.597403
PERM1	protein coding	0.000000	-1.000000	0.000000	0.630846	0.361596
LINC01342	lincRNA	-1.000000	-1.000000	0.000000	6.052777	4.660415
SCNN1D	protein coding	0.000000	-1.000000	0.000000	11.429421	8.170351
ATAD3B	protein coding	0.000000	-1.000000	0.000000	0.545033	0.385261
ATAD3A	protein coding	1.046964	-1.000000	1.046964	0.391032	0.488390
MMP23B	protein coding	69.646098	-1.000000	69.646098	34.602464	59.541492
CDK11B	protein coding	8.186976	-1.000000	8.186976	6.295834	6.590584
FO704657.1	lincRNA	-1.000000	-1.000000	0.000000	3.822099	3.356729
SLC35E2B	protein coding	1.253276	-1.000000	1.253276	0.000000	0.327595
MMP23A	pseudogene	-1.000000	-1.000000	95.187602	71.498371	87.282609
AL031282.2	lincRNA	-1.000000	-1.000000	5.037930	4.792472	4.828634
CFAP74	protein coding	0.000000	-1.000000	0.000000	0.045641	0.039872
PRKCZ	protein coding	0.000000	-1.000000	0.000000	0.029192	0.027522
SKI	protein coding	0.000000	-1.000000	0.000000	0.032975	0.030336
PLCH2	protein coding	0.000000	-1.000000	0.000000	1.247028	1.080921
TTC34	protein coding	0.000000	-1.000000	0.000000	14.544172	13.972631
AC242022.2	lincRNA	-1.000000	-1.000000	0.000000	0.000000	19.366383
PRDM16	protein coding	0.000000	-1.000000	0.000000	0.149538	0.146877
ARHGEF16	protein coding	0.000000	-1.000000	0.000000	2.600624	2.118172
MEGF6	protein coding	0.000000	-1.000000	0.000000	0.068851	0.063948
WRAP73	protein coding	0.000000	-1.000000	0.000000	3.253582	2.115261
TP73	protein coding	0.000000	-1.000000	0.000000	0.357302	0.328990
C1orf174	protein coding	8.912697	-1.000000	8.912697	0.000000	3.501074
AJAP1	protein coding	0.000000	-1.000000	0.000000	0.045382	0.041267
NPHP4	protein coding	0.000000	-1.000000	0.000000	0.140568	0.126468
CAMTA1	protein coding	0.000000	-1.000000	0.000000	0.087054	0.086181
SLC45A1	protein coding	0.000000	-1.000000	0.000000	1.475376	1.318503
CASZ1	protein coding	0.000000	-1.000000	0.000000	0.202912	0.188554
PRAMEF10	protein coding	0.000000	-1.000000	0.000000	7.766234	5.563826
PRAMEF7	protein coding	46.440026	-1.000000	46.440026	31.867284	39.824869
RNU6-1072P	snRNA	-1.000000	-1.000000	100.000000	-1.000000	100.000000
PRAMEF29P	pseudogene	-1.000000	-1.000000	47.715290	0.000000	25.968436
PRAMEF6	protein coding	0.000000	0.000000	0.000000	8.287746	6.663002
PRAMEF26	protein coding	15.628357	-1.000000	15.628357	0.000000	4.122981
AC245056.1	lincRNA	-1.000000	-1.000000	5.221932	9.375000	6.054280
PRAMEF36P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF34P	pseudogene	-1.000000	-1.000000	100.000000	100.000000	100.000000
PRAMEF25	protein coding	30.588235	-1.000000	30.588235	0.000000	11.267606
PRAMEF5	protein coding	11.925538	-1.000000	11.925538	0.000000	2.252252
PRAMEF32P	pseudogene	-1.000000	-1.000000	64.667291	44.466210	54.789272
PRAMEF8	protein coding	27.438596	20.547945	25.619835	48.297776	37.690263
PRAMEF33	protein coding	0.000000	-1.000000	0.000000	10.828356	7.768256
CROCCP3	pseudogene	-1.000000	-1.000000	0.000000	0.931241	0.729491
AL355149.1	pseudogene	-1.000000	-1.000000	65.947787	61.687877	62.658392
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
NBPF1	protein coding	49.118174	-1.000000	49.118174	47.868905	47.987475
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
AL137798.3	pseudogene	-1.000000	-1.000000	49.696970	74.576271	62.573099
MST1P2	pseudogene	-1.000000	-1.000000	46.593886	50.105175	48.382258
CROCCP4	pseudogene	-1.000000	-1.000000	0.000000	14.666265	13.624055
LINC01783	lincRNA	-1.000000	-1.000000	8.575581	0.000000	7.752957
MST1L	pseudogene	-1.000000	-1.000000	6.846512	46.432878	32.550401
AL137802.2	lincRNA	-1.000000	-1.000000	50.765077	-1.000000	50.765077
CROCC	protein coding	1.385165	-1.000000	1.385165	23.125169	22.517334
MST1L	pseudogene	-1.000000	-1.000000	6.325529	37.202114	26.531811
AL137798.2	lincRNA	-1.000000	-1.000000	40.073529	43.369466	43.117807
MST1P2	pseudogene	-1.000000	-1.000000	48.929293	36.450730	43.068352
BX284668.1	lincRNA	-1.000000	-1.000000	100.000000	100.000000	100.000000
EIF4G3	protein coding	0.000000	-1.000000	0.000000	0.064523	0.062846
MSTRG.78	protein coding	2.920134	-1.000000	2.920134	0.000000	0.448441
USP48	protein coding	0.000000	-1.000000	0.000000	0.033281	0.029548
ELOA-AS1	lincRNA	-1.000000	-1.000000	0.000000	0.124276	0.118904
ELOA	protein coding	0.000000	-1.000000	0.000000	0.303299	0.216839
HMGCL	protein coding	0.000000	-1.000000	0.000000	0.371652	0.314884
RSRP1	protein coding	6.106984	-1.000000	6.106984	7.977281	7.846160
RHD	protein coding	7.908240	-1.000000	7.908240	11.434728	11.233556
RHCE	protein coding	10.608553	-1.000000	10.608553	10.229422	10.242984
AL645944.2	lincRNA	-1.000000	-1.000000	0.000000	0.114400	0.108204
AL445248.1	lincRNA	-1.000000	-1.000000	0.000000	0.272096	0.264101
AK2	protein coding	0.000000	-1.000000	0.000000	0.404489	0.351280
CSMD2	protein coding	0.000000	-1.000000	0.000000	0.137583	0.133750
MACF1	protein coding	0.160932	-1.000000	0.160932	0.000000	0.017446
BMP8A	protein coding	0.887311	-1.000000	0.887311	1.470054	1.385192
