# This table shows the intersection of camo regions by a gene annotation gff3, showing where camo regions fall within gene body elements
# chrom : Chromosome of camo region
# region_start : start position of camo region within gene-body element
# region_end : end position of camo region within gene-body element
# gene_body_id : ID of gene body element that contains this camo region
# region_type : genebody element type (e.g. exon, intron, UTR, etc.)
# biotype : GENCODE biotype of gene that contains this camo reigon
# gene_body_chrom : Chromosome of the genebody element
# gene_body_start : start position of the genebody element
# gene_body_end : end position of the genebody element
#chrom	start	end	gene_body_id	region_type	biotype	gene_body_chrom	gene_body_start	gene_body_end
chr1	2491335	2494855	PLCH2_intron_14	intron	protein_coding	chr1	2491335	2494855
chr1	2492300	2492596	ENSG00000224387_exon_1	exon	lncRNA	chr1	2492300	2492596
chr1	2492596	2493100	ENSG00000224387_intron_1	intron	lncRNA	chr1	2492596	2493100
chr1	2493100	2493258	ENSG00000224387_exon_2	exon	lncRNA	chr1	2493100	2493258
chr1	2493437	2493853	ENSG00000229393_exon_1	exon	lncRNA	chr1	2493437	2493853
chr1	2493853	2494382	ENSG00000229393_intron_1	intron	lncRNA	chr1	2493853	2494382
chr1	2494382	2494479	ENSG00000229393_exon_2	exon	lncRNA	chr1	2494382	2494479
chr1	2530011	2530110	HES5_intron_2	intron	protein_coding	chr1	2530011	2530110
chr1	2530110	2530164	HES5_exon_3	CDS	protein_coding	chr1	2530110	2530164
chr1	2530164	2530263	HES5_UTR_2	five_prime_UTR	protein_coding	chr1	2530164	2530263
chr1	2530064	2530102	ENSG00000272449_exon_1	exon	lncRNA	chr1	2530064	2530102
chr1	2530102	2545968	ENSG00000272449_intron_1	intron	lncRNA	chr1	2530102	2545968
chr1	2552703	2553814	TNFRSF14-AS1_exon_3	exon	lncRNA	chr1	2550991	2554296
chr1	2554723	2556696	TNFRSF14-AS1_exon_4	exon	lncRNA	chr1	2554723	2556696
chr1	2556696	2556976	TNFRSF14-AS1_intron_4	intron	lncRNA	chr1	2556696	2556976
chr1	2556976	2557031	TNFRSF14-AS1_exon_5	exon	lncRNA	chr1	2556976	2557031
